gene_name	baseMean	log2FoldChange	padj	N1_1	N1_2	WT_1	WT_2
2210418O10Rik	635.91130003266	2.44136636273172	0.00017247661293956	1347.2595318828	1215.08658209046	260.33365762825	320.495642924598
3110039I08Rik	274.358708008474	-1.73897433311588	0.00464275749115454	204.927667022537	151.170576699682	520.543061752043	377.599131416778
3110070M22Rik	67.8828226926162	1.25092715390268	0.0441055704207796	128.705794385433	115.210412731473	41.6160228348044	61.4953944956743
9330159F19Rik	3176.4885250131	-2.93324384077483	1.73493194160856e-41	438.686569978146	535.930005315128	3899.98843229484	3962.81242070064
A830011K09Rik	78.6203877691589	-9.40835748219374	8.12950833208415e-08	0	0	100.487469771845	128.031395097551
Agrn	1846.44197074405	-1.8207069877533	0.0312329629000232	1382.57999325564	757.795912177295	1952.97862414471	5469.9185169093
Akap10	243.374961411733	1.7807892376036	0.000216743651833885	330.853231879883	308.522220191222	125.542287253393	206.928837637924
Amot	693.61690352093	-2.3408310338069	2.16796124064816e-07	328.519312665296	276.621244453941	1413.85229946574	1423.03025027302
Ankrd13c	2113.2943725622	1.36183885074727	1.5607041236845e-06	2372.30826640111	2207.27713139701	871.179383727665	1214.63347156416
Ankrd45	721.129366437383	-2.50971780334597	0.0265175497770175	340.399507162799	248.497037728449	821.597742119511	2524.14439733001
Apba2	9593.83755693696	2.04782443363958	4.44871315656141e-24	13181.9261430721	12903.1398997973	2714.55085206541	3607.89598422423
Appbp2	989.813175368532	-5.64593035362996	8.60472539313454e-38	22.820176309474	55.3372848552743	1897.08162629877	1972.89322996778
Arsa	494.187514716781	1.37675947580206	2.02673963884328e-08	753.97862526502	830.966441433299	329.883107836864	281.265820726117
Asb6	811.045257613153	-1.57100910542944	2.90334148474505e-13	360.558785689689	372.846296319963	1065.77619454987	1111.95770702834
Asxl3	457.595734475896	1.76194204638069	0.00712223717724739	899.682195453251	618.502655865854	140.167781651163	264.716819245608
Atp6v1h	4904.10000723974	-1.5055834420267	2.70788882412982e-46	2047.76509319559	2176.01497965575	5763.4559728234	6345.49625778156
Basp1	21082.8268380237	-1.28581458731883	6.45255029560945e-10	8636.06752255733	10905.98095951	23858.1613837092	23797.7095486047
Bax	428.471646404089	2.19369951509958	0.000267991215496286	1222.84121812655	1169.10328150594	300.955622901814	64.2773641457017
Baz2a	1613.23962864574	-3.15768485433366	0.0100528660246019	446.684977983575	138.850456270456	1720.12149146137	3260.20782399774
Bco2	138.834115691794	-1.18499278063133	0.00203407161420331	109.972030073961	66.4975820045191	206.901072796397	196.640895207092
C230091D08Rik	226.44959391889	-25.6847669062793	1.30697712202794e-05	0	0	0	1823.69128922418
C2cd4a	27.487305371184	-4.46490374983181	0.00869204346180501	0	4.53584302092412	82.2170207224185	19.1543032035707
C4a	196.545928488276	-1.21527475547738	0.0305217558964792	75.7629853474536	155.125831315605	280.146885424537	255.054668973862
Caml	649.646723829267	5.19578854663371	7.86120874573716e-14	1324.48303300187	1271.85038306712	38.5709479932334	33.2680003009385
Cbl	1644.51814213023	-2.66848842610897	0.0140095122420746	355.855153219437	496.73750655465	1009.58012914068	4439.65629003823
Ccdc137	217.910926806955	-2.33857378630452	0.0297548971906107	108.901365062559	130.003704839058	195.165471327697	1003.79066182859
Ccdc186	186.444036479475	-1.45852787337125	0.0011687842133389	96.1216237649766	96.427072615206	209.933576316761	288.203487012891
Ccl6	93.1071546333238	1.46512332992918	0.00276657086520646	149.700356590149	216.813296400173	54.811347148279	78.6334552567638
Cdr1	1011.23575218892	-1.4107219681382	5.38071592455974e-05	437.234578089522	538.858150885786	1399.7194021755	1194.62364717007
Celf5	7909.9042917524	1.71383969570326	0.045872339166385	11118.970935182	11279.9830499673	3614.03579544276	3212.14606152901
Cenpw	96.7974167755617	1.21226808254565	0.00360495686048473	140.748392006913	152.696107290786	69.7555964787016	58.2363302197922
Cep104	444.538553999992	2.094097996457	0.00109204057184306	508.483766999812	1587.85975787192	228.802823032392	201.906750426181
Chuk	724.371837441797	-1.61787477590534	0.0140489206946275	428.719678839872	172.199661387224	907.866806092046	990.097497848447
Clasrp	258.611276986083	1.32380021951529	2.35270699189351e-06	455.259568156518	560.16090987723	205.079857359533	219.378849306698
Clcn7	1553.14612270786	-3.69675484378938	1.63836826918263e-05	244.247828984628	98.4285976978001	2655.48526336466	1739.77146812973
Clip4	2024.61209909287	2.13950896664969	4.50556015219821e-05	2053.85953131307	2293.79161693986	645.814682352049	359.55704766908
Coq2	953.101723516992	-2.3164854837725	2.06924064978876e-28	309.814727486816	334.108168348132	1820.25256296317	1387.04524352835
Cpeb1	606.165295255413	3.16067292495734	4.76700200208149e-07	1048.38677005461	2144.72964999257	129.801018956067	231.932927932052
Cpne1	463.524220971341	2.55274675977835	1.63836826918263e-05	678.09035529501	1442.7438084718	219.481570301486	143.900199850265
Cryab	2367.9806767538	-1.32564466708175	0.0126105554239481	1330.57911186818	1399.53938012198	4043.82611923868	2728.17882342981
Csf1	1489.90869660948	-1.68920620112611	1.07304089749767e-13	690.353924533852	470.545687578474	1902.12550725325	1647.38990380511
Csmd2	1656.87700214145	-1.11801824548131	6.51270525467702e-11	907.708936917054	881.60929933941	2061.97029678543	1680.30338081283
Ctnnbip1	1445.13547885434	-1.06843454561056	0.00182591864757569	844.674249656871	763.326245253962	1588.61033474231	1764.24025108971
Cttn	701.519993372441	-1.19193276713247	6.49692774846642e-05	551.425859152532	567.225926724618	1091.27950431902	1263.06074980507
D7Ertd443e	92.9683243911504	-1.94694884121265	0.00195731102569162	53.3497142522324	53.3170354542177	204.30279338829	169.12193302424
D930019O06Rik	282.43399776613	1.89328514906433	0.00143304250645952	376.91760397314	371.625353592222	88.0923578654709	133.007764729271
Ddx39b	1905.28657001055	2.4584771188401	0.0142059791312774	3212.52844340525	2959.4794284531	577.529387065954	561.266456762546
Ddx6	6252.92036743836	-1.24597350233902	8.48219658227871e-15	3569.93995938509	3546.10262853676	8054.21735380592	8818.06424616529
Dhx29	291.417262028955	-1.10611247454074	0.0117675224666519	168.869304690107	236.771005692239	362.363906146956	507.084974284003
Dnajb12	208.091257317085	1.36693836436504	1.07373718187507e-10	369.686856213479	356.517261444636	150.223692184172	131.055758761273
Dnajc4	173.880603173036	2.2997970103987	0.0394786107600425	337.400305681803	164.873061413649	59.8264679327239	58.3392006529124
Dot1l	1359.85560970023	2.24489030975221	4.2997756072855e-06	1530.11914182422	1989.63476978407	423.54510941073	260.257965157826
Dvl1	750.412587053627	-1.35687447379692	0.00035534776080755	455.885489491156	284.504358341339	997.556692725632	913.330679561005
E430024I08Rik	212.46533605438	5.34145930448824	1.70496476409361e-24	309.493030624444	240.991556514806	8.67029316143297	36.1065991952749
Egfl7	480.634945222264	1.52022237911634	2.39568205008929e-06	649.944549145254	1002.42788480079	289.754901421931	296.071104515129
Egr2	89.0840707226803	-1.83784972178939	1.26865556871377e-07	37.8507513387634	41.8093901572113	134.380642993277	52.7797088175533
Eif4e2	780.116019737551	-1.11636550856328	0.00999307536883046	473.915761247682	538.980203244718	852.950250045358	1093.33634509703
Erdr1	36.4843516847667	-2.15330909724814	0.0209273403613248	18.3614223991639	17.2980800834739	93.6156358336513	55.3919315171423
Fam21	1841.8305832677	-1.67256795098653	7.28138128148125e-07	466.103148006867	704.195193878371	1859.10297046204	1853.12221277088
Fam96b	365.378288302218	-2.21461026237892	1.60459829000225e-30	104.97281102358	108.860232502179	533.903122222125	455.670792000734
Fanci	40.5110133981512	2.54881002853041	0.00118198642349046	81.9284868647184	83.2790731685752	10.1751512967256	18.0966713649276
Fbxl19	1560.19995501261	-1.67660621547741	0.0337574740439943	590.730172108003	815.637850072912	3390.21185129443	3064.14295473071
