chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand
chr1	68625001	68626000	*	6.15088394528121e-41	8.83390952220699e-37	-41.6935835879529	1	14830	ENSMUST00000193995.1	-
chr1	74037001	74038000	*	1.29133546745774e-20	3.00053775451757e-17	27.909087072131	2	0	ENSMUST00000190599.1	-
chr1	81123001	81124000	*	1.195504341263e-13	1.12677158904904e-10	-34.5931901265899	3	45420	ENSMUST00000123285.1	+
chr1	81263001	81264000	*	1.87108340005689e-21	4.86485460722664e-18	-30.987629641824	4	185420	ENSMUST00000123285.1	+
chr1	81372001	81373000	*	5.68817477814643e-16	7.38195710611803e-13	-34.0162030315349	5	149342	ENSMUST00000192484.1	-
chr1	81552001	81553000	*	1.12291804724085e-09	5.31337797715777e-07	-25.7274609448522	6	4484	ENSMUST00000191337.1	-
chr1	81617001	81618000	*	6.22403725511517e-28	3.21435652258833e-24	-43.9251310815754	7	-59519	ENSMUST00000191337.1	-
chr1	81706001	81707000	*	1.31015499118787e-19	2.68441449020166e-16	-39.4390795151017	8	35970	ENSMUST00000117185.1	-
chr1	81715001	81716000	*	8.7634183661133e-16	1.11427803457482e-12	-33.0985915492958	9	26970	ENSMUST00000117185.1	-
chr1	81716001	81717000	*	9.87519512105999e-18	1.56922126998588e-14	-35.3510092985341	10	25970	ENSMUST00000117185.1	-
chr1	81743001	81744000	*	2.06826796222483e-25	8.25124947194267e-22	-42.353298875038	11	-33	ENSMUST00000117185.1	-
chr1	81758001	81759000	*	3.36214350887346e-17	4.99030686243402e-14	-27.3201251303441	12	-15033	ENSMUST00000117185.1	-
chr1	81853001	81854000	*	1.462588533055e-09	6.78437597808157e-07	-26.8535262206148	13	55762	ENSMUST00000186198.1	+
chr1	81887001	81888000	*	1.26997557375088e-14	1.37285880495352e-11	-27.7362637362637	14	89762	ENSMUST00000186198.1	+
chr1	82044001	82045000	*	8.53541640696547e-43	1.46267134845765e-38	-38.832601598559	15	-60180	ENSMUST00000195065.1	+
chr1	82146001	82147000	*	2.95277706648312e-19	5.76044292965906e-16	-26.5934772130884	16	14087	ENSMUST00000183462.1	+
chr1	82152001	82153000	*	2.31381392285306e-43	4.20392588391039e-39	-56.7611336032389	17	20087	ENSMUST00000183462.1	+
