gene	mean_KO	mean_WT	mean_dif	mean_pval	feature	location
0610040J01Rik	0	0.0625	-0.0625	0.00101603908849349	TES	5:63898619:63900619
1110028F18Rik	0	0.0600000000000001	-0.0600000000000001	4.41703412152956e-05	gene	8:106588142:106593820
1190002N15Rik	0	0.0600000000000001	-0.0600000000000001	1.44707483584345e-15	gene	9:94518863:94537081
1190005I06Rik	0	0.0600000000000001	-0.0600000000000001	2.18044854655161e-30	gene	8:120609601:120633382
1300002E11Rik	0	0.0600000000000001	-0.0600000000000001	4.90815633374173e-11	TES	16:21808039:21810039
1500011B03Rik	0	0.0600000000000001	-0.0600000000000001	1.75323417271804e-06	TSS	5:114812976:114814976
1500012K07Rik	0	0.0600000000000001	-0.0600000000000001	1.87477780611178e-06	gene	7:75309695:75317485
1600002D24Rik	0	0.0600000000000001	-0.0600000000000001	1.77771362439202e-06	TES	16:95830122:95832122
1600029I14Rik	0	0.0600000000000001	-0.0600000000000001	1.92561239385937e-08	TES	9:99473751:99475751
1700001C02Rik	0	0.0600000000000001	-0.0600000000000001	0.00690664890594717	TES	5:30483087:30485087
1700001C19Rik	0	0.0700000000000001	-0.0700000000000001	3.4764213690385e-05	TES	17:47411733:47413733
1700001J11Rik	0	0.0600000000000001	-0.0600000000000001	7.16208440188257e-07	TES	9:40052025:40054025
1700009C05Rik	0	0.0600000000000001	-0.0600000000000001	1.43857710079926e-06	TSS	6:81909800:81911800
1700011C11Rik	0	0.0600000000000001	-0.0600000000000001	3.87535570111731e-13	gene	7:71962174:72026317
1700011H14Rik	0	0.0600000000000001	-0.0600000000000001	4.79210010132943e-31	gene	14:49227358:49244428
1700011L22Rik	0	0.0700000000000001	-0.0700000000000001	0.00491665957884314	TES	8:79209429:79211429
1700012B07Rik	0	0.0600000000000001	-0.0600000000000001	2.1258724535252e-07	TES	11:109790560:109792560
1700012H19Rik	0	0.0600000000000001	-0.0600000000000001	2.19607380772913e-10	TSS	11:112824128:112826128
1700013G24Rik	0	0.0600000000000001	-0.0600000000000001	6.02266190005709e-06	TES	4:137454461:137456461
1700017G19Rik	0	0.0600000000000001	-0.0600000000000001	9.61034024268214e-16	gene	3:40505864:40521912
1700017L05Rik	0	0.0600000000000001	-0.0600000000000001	6.39403739705937e-07	TSS	5:77464487:77466487
1700018C11Rik	0	0.0649999999999999	-0.0649999999999999	4.63060414647464e-07	TES	4:63606090:63608090
1700019A02Rik	0	0.0625	-0.0625	8.39846135794518e-06	TSS	1:53186617:53188617
1700020G17Rik	0	0.0600000000000001	-0.0600000000000001	0.000523572070854788	TES	10:110800173:110802173
1700020N01Rik	0	0.0600000000000001	-0.0600000000000001	1.28545320710198e-39	gene	10:21594144:21621375
1700021F07Rik	0	0.0625	-0.0625	0.0175814482300106	TES	2:173527502:173529502
1700022I11Rik	0	0.0600000000000001	-0.0600000000000001	2.01495970422271e-06	gene	4:42970945:42973325
1700024G13Rik	0	0.0600000000000001	-0.0600000000000001	8.64826045271944e-13	gene	14:32377501:32387373
1700025K24Rik	0	0.0600000000000001	-0.0600000000000001	0.00175198256837149	TES	17:54351582:54353582
1700026F02Rik	0	0.0600000000000001	-0.0600000000000001	5.28833072369662e-15	gene	8:71007727:71025755
1700027F09Rik	0	0.0600000000000001	-0.0600000000000001	2.21724675908645e-18	gene	5:64455812:64466942
1700027H10Rik	0	0.0600000000000001	-0.0600000000000001	2.30860057860768e-23	gene	3:45417583:45438309
1700029B22Rik	0	0.0600000000000001	-0.0600000000000001	0.00317165073072281	TES	7:131149578:131151578
1700029M20Rik	0	0.0600000000000001	-0.0600000000000001	3.19751954320661e-07	TSS	4:135625654:135627654
1700034G24Rik	0	0.0600000000000001	-0.0600000000000001	0.000370674824750548	TES	5:112581935:112583935
1700034P13Rik	0	0.0625	-0.0625	1.29757275130091e-05	TES	1:9770256:9772256
1700037H04Rik	0	0.0600000000000001	-0.0600000000000001	9.36195446285223e-09	gene	2:131147324:131159020
1700042G15Rik	0	0.0649999999999999	-0.0649999999999999	5.15309849322516e-06	TSS	4:57363292:57365292
1700044C05Rik	0	0.0600000000000001	-0.0600000000000001	1.75845936328756e-37	gene	14:118366877:118397165
1700048M11Rik	0	0.0600000000000001	-0.0600000000000001	3.1730818834591e-09	TES	16:92307715:92309715
1700049E15Rik	0	0.0600000000000001	-0.0600000000000001	3.24074149316227e-13	gene	6:147691240:147701374
1700054A03Rik	0	0.0600000000000001	-0.0600000000000001	1.01802898022586e-07	TES	19:53083392:53085392
1700055N04Rik	0	0.0625	-0.0625	0.000729108593395249	TES	19:3969438:3971438
1700057H15Rik	0	0.0600000000000001	-0.0600000000000001	2.75901057980314e-35	gene	4:124450625:124484959
1700057H21Rik	0	0.0600000000000001	-0.0600000000000001	9.2948441905542e-06	TSS	2:51436900:51438900
1700060C16Rik	0	0.0625	-0.0625	6.56173032417351e-07	TES	6:143592352:143594352
1700060C20Rik	0.00499999999999989	0.0800000000000001	-0.0750000000000002	0.0142324029412308	gene	2:158193007:158194734
1700063D05Rik	0	0.0600000000000001	-0.0600000000000001	2.74453163666828e-17	gene	9:41207154:41216627
1700065J11Rik	0	0.0625	-0.0625	5.25983103409809e-06	TES	6:35335829:35337829
1700065L07Rik	0	0.0600000000000001	-0.0600000000000001	2.48377085834328e-06	gene	6:73437964:73470021
1700067G17Rik	0	0.0600000000000001	-0.0600000000000001	1.20940765579035e-13	gene	1:89017112:89021210
1700072I22Rik	0	0.0600000000000001	-0.0600000000000001	1.72672664240771e-05	TSS	11:103637935:103639935
1700092C02Rik	0	0.0600000000000001	-0.0600000000000001	3.60285906592322e-06	gene	8:77625171:77627956
1700092C10Rik	0	0.0875000000000001	-0.0875000000000001	8.9524794954865e-06	TES	14:69163798:69165798
1700102P08Rik	0	0.0700000000000001	-0.0700000000000001	0.000164807198922824	TES	9:108396767:108398767
1700109G14Rik	0	0.0600000000000001	-0.0600000000000001	9.10855821646e-09	TSS	14:61304334:61306334
1700120C14Rik	0	0.0600000000000001	-0.0600000000000001	1.67494813641801e-16	gene	15:99252787:99261041
1700123M08Rik	0	0.0650000000000002	-0.0650000000000002	1.11935453918595e-06	TES	4:11993295:11995295
