location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:87596840:87598840	  TES	  Neu2	3.46560316653	2.14653906405	-0.470075079456309	0.0242868412216781
chr1:172544870:172546870	  TES	  Cfap45	1.740902354961	1.477180281029	-0.163900125486286	0.0142524158511464
chr2:119750253:119752253	  TES	  Itpka	1.986602139729	1.518687229641	-0.266976480844489	0.0371134588618873
chr2:119750325:119752325	  TES	  Ltk	1.986602139729	1.518687229641	-0.266976480844489	0.0371134588618873
chr2:130443269:130445269	  TES	  Vps16	2.68816077306	1.433743373733	-0.608659180152447	0.0477220104511712
chr2:173567660:173569660	  TES	  Ankrd60	2.07789843933	1.505965797226	-0.319170930790399	0.030333796506719
chr2:180276645:180278645	  TES	  Rbbp8nl	2.58857208377	1.464664249239	-0.554573058263615	0.0371316396611037
chr3:131289490:131291490	  TES	  Cyp2u1	3.18381052358	1.495467244551	-0.721625585267771	0.0430580748787975
chr4:62658847:62660847	  TES	  Rgs3	2.973807965275	1.9499988173025	-0.41586081387075	0.00543243695914469
chr4:133968056:133970056	  TES	  Dhdds	1.52262501393	1.258805054834	-0.189700947047887	0.0153789156095231
chr4:134895172:134897172	  TES	  Rhd	2.905545756185	1.9132757868835	-0.411830967564592	0.0278731487861823
chr4:139925110:139927110	  TES	  4933427I22Rik	1.780185614619	1.445071932787	-0.207805843041294	0.0188927715688228
chr5:112352772:112354772	  TES	  Gm6583	1.99413858307	1.190487836872	-0.504706449186989	0.0414544404840009
chr5:124060856:124062856	  TES	  Abcb9	2.19859678871	1.314205564607	-0.503524613770487	0.0261065054358609
chr6:113280392:113282392	  TES	  Mtmr14	2.21961346216	1.408953414538	-0.446821059205447	0.0488549239239669
chr7:13034119:13036119	  TES	  Ube2m	1.879990620565	1.346235384304	-0.330885211051836	0.00835376446468147
chr7:27281150:27283150	  TES	  Numbl	1.840480997024	1.172183286458	-0.4436589328789	0.0212595537449888
chr7:28398383:28400383	  TES	  Paf1	1.827537693142	1.449193429133	-0.230927866761506	0.0359605169989821
chr7:28398521:28400521	  TES	  Samd4b	1.827537693142	1.449193429133	-0.230927866761506	0.0359605169989821
chr7:44488937:44490937	  TES	  Emc10	2.03470203908	1.301999290061	-0.439177904608937	0.00210359065080445
chr7:45885844:45887844	  TES	  Syngr4	3.04522097784	1.613308335209	-0.614748795771263	0.00657544261365251
chr7:104767048:104769048	  TES	  Usp17le	1.934106129007	1.2026692985665	-0.466362254696897	0.0184854881238302
