gene	mean_KO	mean_WT	mean_dif	mean_pval	feature	location
0610031O16Rik	0	0.0674999999999999	-0.0674999999999999	0.00821925148799997	TES	3:138209716:138211716
1110004E09Rik	0	0.0625	-0.0625	2.57710180497664e-06	TES	16:90924810:90926810
1110028F18Rik	0	0.0600000000000001	-0.0600000000000001	0.0023712455422115	gene	8:106588142:106593820
1110034G24Rik	0	0.0600000000000001	-0.0600000000000001	8.69346789642252e-07	TES	2:132750055:132752055
1190002N15Rik	0	0.0600000000000001	-0.0600000000000001	2.00754724347738e-16	gene	9:94518863:94537081
1190005I06Rik	0	0.0600000000000001	-0.0600000000000001	4.33837112021733e-33	gene	8:120609601:120633382
1300002E11Rik	0	0.0625	-0.0625	2.71731287440499e-09	TES	16:21808039:21810039
1500011B03Rik	0	0.0600000000000001	-0.0600000000000001	2.23400470541985e-08	TES	5:114807195:114809195
1500012K07Rik	0	0.0625	-0.0625	3.40225211308774e-08	TES	7:75330419:75332419
1700001C02Rik	0	0.0600000000000001	-0.0600000000000001	0.0061541928288819	TES	5:30483087:30485087
1700001C19Rik	0	0.0700000000000001	-0.0700000000000001	1.4202053366272e-05	TES	17:47411733:47413733
1700001J11Rik	0	0.0600000000000001	-0.0600000000000001	3.73230064844158e-05	TES	9:40052025:40054025
1700001K23Rik	0	0.0600000000000001	-0.0600000000000001	1.06258822560291e-13	gene	19:53249735:53254205
1700011L22Rik	0	0.0650000000000002	-0.0650000000000002	3.28957750226464e-05	TES	8:79209429:79211429
1700012C14Rik	0	0.0625	-0.0625	4.99498381264081e-05	TES	6:30462313:30464313
1700018C11Rik	0	0.0675000000000001	-0.0675000000000001	1.28937993824714e-08	TES	4:63606090:63608090
1700020G17Rik	0	0.0675000000000001	-0.0675000000000001	0.0100288413013091	TES	10:110800173:110802173
1700029F12Rik	0	0.0625	-0.0625	0.00119543791797455	TSS	13:97033362:97035362
1700034G24Rik	0	0.0625	-0.0625	0.000788326850458631	TES	5:112581935:112583935
1700037H04Rik	0	0.0675000000000001	-0.0675000000000001	0.00267310511869719	TES	2:131145324:131147324
1700039E15Rik	0	0.0600000000000001	-0.0600000000000001	1.82571668865772e-11	gene	7:45283872:45287993
1700044C05Rik	0	0.0625	-0.0625	3.06080715400169e-05	TES	14:118397165:118399165
1700049E15Rik	0	0.0600000000000001	-0.0600000000000001	7.96707818993989e-14	gene	6:147691240:147701374
1700054A03Rik	0	0.0600000000000001	-0.0600000000000001	1.70150091258999e-07	TES	19:53083392:53085392
1700055C04Rik	0	0.0625	-0.0625	6.95252198941892e-06	TSS	9:64040465:64042465
1700057H15Rik	0	0.0600000000000001	-0.0600000000000001	1.43456418928378e-39	gene	4:124450625:124484959
1700060C20Rik	0	0.0625	-0.0625	0.00338839023893032	gene	2:158193007:158194734
1700065J11Rik	0	0.0600000000000001	-0.0600000000000001	6.2162748771793e-08	gene	6:35331845:35335829
1700067G17Rik	0	0.0600000000000001	-0.0600000000000001	6.13325849435725e-09	TES	1:89021210:89023210
1700072I22Rik	0	0.0600000000000001	-0.0600000000000001	5.98732948974002e-11	gene	11:103639935:103648013
1700085C21Rik	0	0.0650000000000002	-0.0650000000000002	6.1760234295043e-05	TSS	12:82938155:82940155
1700092C02Rik	0	0.0600000000000001	-0.0600000000000001	0.000296893244712664	gene	8:77625171:77627956
1700092E19Rik	0	0.0625	-0.0625	7.72052125986736e-09	TES	13:26282158:26284158
1700102P08Rik	0	0.0875000000000001	-0.0875000000000001	2.94899749179502e-05	TES	9:108396767:108398767
1700108J01Rik	0	0.0775000000000001	-0.0775000000000001	7.81055436310771e-07	TES	14:122228904:122230904
1700120C14Rik	0	0.0600000000000001	-0.0600000000000001	7.45070915110837e-13	gene	15:99252787:99261041
1700121N20Rik	0	0.0625	-0.0625	1.43982575606857e-05	TES	12:106441651:106443651
1700122C19Rik	0	0.0600000000000001	-0.0600000000000001	1.17168571478886e-07	gene	19:37466253:37470827
1700123M08Rik	0	0.0600000000000001	-0.0600000000000001	8.86927734612289e-06	TES	4:11993295:11995295
1810006J02Rik	0	0.0675000000000001	-0.0675000000000001	1.04372141379605e-06	TSS	1:98130466:98132466
1810007D17Rik	0	0.0600000000000001	-0.0600000000000001	0.000193665829372345	TSS	19:58605328:58607328
1810008I18Rik	0	0.0675000000000001	-0.0675000000000001	0.00780049752033064	TSS	7:65803051:65805051
1810021B22Rik	0	0.0600000000000001	-0.0600000000000001	3.70426122162534e-07	gene	15:89072197:89074854
1810046K07Rik	0	0.0625	-0.0625	0.000265593783675218	TSS	9:51327917:51329917
1810053B23Rik	0	0.0649999999999999	-0.0649999999999999	6.73235546747195e-05	TES	16:93345796:93347796
2010001A14Rik	0	0.0600000000000001	-0.0600000000000001	2.62772365496627e-05	gene	11:57796498:57800467
2210039B01Rik	0	0.0625	-0.0625	6.31514670099458e-06	TSS	12:73547482:73549482
2210420H20Rik	0	0.0600000000000001	-0.0600000000000001	3.48450035552312e-06	gene	18:82755504:82758039
2310030G06Rik	0	0.0600000000000001	-0.0600000000000001	1.04460547170159e-05	TSS	9:50745521:50747521
2310040G24Rik	0	0.0600000000000001	-0.0600000000000001	4.99599562446868e-09	TES	6:86482375:86484375
2610027K06Rik	0	0.0600000000000001	-0.0600000000000001	1.99067505943737e-05	TES	11:85790659:85792659
2810006K23Rik	0	0.0600000000000001	-0.0600000000000001	1.9023607920539e-15	gene	5:124329088:124339121
2900057B20Rik	0	0.0600000000000001	-0.0600000000000001	1.83137875714265e-05	TES	18:76090556:76092556
3100003L05Rik	0	0.0600000000000001	-0.0600000000000001	0.00351361804164403	TES	7:124624669:124626669
3110009F21Rik	0	0.0600000000000001	-0.0600000000000001	3.47566864416952e-10	gene	12:110152653:110157073
3110062M04Rik	0	0.0625	-0.0625	0.00202352334548761	gene	6:34872770:34877065
3110082I17Rik	0	0.0600000000000001	-0.0600000000000001	3.53686553924197e-155	gene	5:139360738:139459534
4833412C05Rik	0	0.0600000000000001	-0.0600000000000001	1.11988571973237e-27	gene	7:67785537:67802496
4833422C13Rik	0	0.0625	-0.0625	2.49190227540612e-08	TES	13:91700664:91702664
4833428L15Rik	0	0.0600000000000001	-0.0600000000000001	4.81756445501518e-21	gene	9:45417625:45430232
4930401O10Rik	0	0.0600000000000001	-0.0600000000000001	5.1302135937221e-17	gene	11:71929470:71939122
4930412O13Rik	0	0.0600000000000001	-0.0600000000000001	6.70191869694343e-08	gene	2:9882245:9885767
4930417O22Rik	0	0.0950000000000002	-0.0950000000000002	0.000235613809953689	TES	11:101959574:101961574
4930428G15Rik	0	0.0625	-0.0625	2.76223308516433e-10	gene	9:115337160:115340924
4930441J16Rik	0	0.0600000000000001	-0.0600000000000001	4.55238326297866e-05	TES	2:74297939:74299939
4930443O20Rik	0	0.0600000000000001	-0.0600000000000001	3.70811508761287e-08	gene	2:85074613:85085461
4930444M15Rik	0	0.0600000000000001	-0.0600000000000001	3.54898592486671e-08	gene	14:76515557:76519855
4930447M23Rik	0	0.0600000000000001	-0.0600000000000001	0.000336221365412579	TSS	2:19343316:19345316
