gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Brsk2	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-2.52183254658945	0.752957661638	7:141950750:142003243	0
Cd6	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-6.29368345457385	0.436716772657	19:10790338:10829058	0
Clcn6	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-2.35086129366817	0.4400019944905	4:148007483:148037767	0
Cttn	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-1.2821446620406	0.546436726385	7:144436723:144469935	0
Cux2	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-3.21317775121064	0.413407535774	5:121861215:122046825	0
Mcu	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-1.95320863756266	0.5550270172	10:59447983:59615692	0
Npcd	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-1.59171284452022	0.567167338584	15:79787350:79833333	0
Oacyl	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-2.01716704092997	0.7086356041135	18:65699267:65750537	0
Pacs2	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-1.57196998473862	0.645838156104	12:113015507:113073401	0
Phf2	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-2.16569222883621	0.613537593327	13:48802749:48869885	0
Plekha6	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-1.13245039626825	0.240932633603	1:133247096:133302435	0
Prrc2a	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-2.52610312309504	0.819186044628	17:35150085:35163877	0
Shc3	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-6.7034441914033	0.962116971394	13:51432041:51566084	0
Tsks	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-6.24271281457555	0.386517976798	7:44944239:44957037	0
Wnt7b	negative	down	hyper	DMR_CCGG_5hmC_gene	gene	-1.3169312631291	0.3197387118085	15:85536436:85579729	0
Cbs	negative	up	hypo	DMR_CCGG_5hmC_gene	gene	1.08631828724072	-0.469529704462	17:31613622:31636205	0
1700112E06Rik	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	3.92531399624032	0.851176330493	14:22020711:23055088	0
Apba2	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	1.84891151397401	0.0685945388800002	7:64502705:64752876	0
Caml	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	4.16046509201023	0.6050497769745	13:55624004:55631416	0
Dot1l	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	2.08580535161487	0.400017895107	10:80756205:80793347	0
Elfn2	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	2.07486478345183	0.617249075212	15:78671006:78717113	0
Fmnl1	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	2.92789172480258	0.467640002624	11:103172137:103197900	0
Ica1	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	1.63866139823973	0.969761911945	6:8631526:8777484	0
Pced1b	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	1.67786549716135	0.540466091698	15:97248106:97384691	0
Pkig	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	1.40996093145697	0.8421426054155	2:163659385:163725158	0
Shisa9	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	1.63934109535482	1.1821585563115	16:11985112:12269904	0
Srrt	positive	up	hyper	DMR_CCGG_5hmC_gene	gene	2.23582190857341	0.1971612637405	5:137296703:137306674	0
