name_comb,median_WT,median_KO,rratio,pvals
"chr1:36781820:36783820:+:NM_009539&NM_001289766&NM_001289765&NM_001289612||5:0||TES:1000:1000||Zap70:+:36761797&36764514&36766933&36778983:36782820||36781827, 36782529, 36783252, 36783698||Neil1_vs_WT||chr1:36781820:36783820:+:NM_009539&NM_001289766&NM_001289765&NM_001289612||5:0||TES:1000:1000||Zap70:+:36761797&36764514&36766933&36778983:36782820||36781827, 36782529, 36783252, 36783698||",1.238342273335,1.511820139788,0.19888124799323895,0.03633146450229327
"chr1:62817692:62819692:+:NM_001077404||3:0||TES:1000:1000||Nrp2:+:62703316:62818692||62817968, 62818388, 62818728||Neil1_vs_WT||chr1:62817692:62819692:+:NM_001077404||4:0||TES:1000:1000||Nrp2:+:62703316:62818692||62817968, 62818150, 62818388, 62818728||",1.922440779355,3.1463284863650003,0.4829131660370228,0.003465737985700563
"chr1:65047556:65049556:-:NM_007777||3:0||TES:1000:1000||Cryge:-:65048556:65051163||65047983, 65049149||Neil1_vs_WT||chr1:65047556:65049556:-:NM_007777||4:0||TES:1000:1000||Cryge:-:65048556:65051163||65047983, 65049149, 65049466||",1.5895555027375001,2.3542572744599997,0.3877982119962107,0.02071630390008998
"chr1:68038965:68040965:-:NM_010154||3:0||TES:1000:1000||Erbb4:-:68039965:69108059||68040055, 68040217, 68040408||Neil1_vs_WT||chr1:68038965:68040965:-:NM_010154||3:0||TES:1000:1000||Erbb4:-:68039965:69108059||68040055, 68040217, 68040408||",1.350081468243,1.661689605228,0.20692684097392472,0.0317004580710567
"chr1:72851471:72853471:+:NM_008342||5:0||TES:1000:1000||Igfbp2:+:72824479:72852471||72852052, 72852083, 72852505, 72852635, 72853130||Neil1_vs_WT||chr1:72851471:72853471:+:NM_008342||5:0||TES:1000:1000||Igfbp2:+:72824479:72852471||72852052, 72852083, 72852505, 72852635, 72853130||",1.5842367449239998,2.96325344263,0.6064957331761696,0.02121798638508777
"chr1:74803175:74805175:+:NM_009518||6:0||TES:1000:1000||Wnt10a:+:74792018:74804175||74803265, 74803547, 74803978, 74804121||Neil1_vs_WT||chr1:74803175:74805175:+:NM_009518||6:0||TES:1000:1000||Wnt10a:+:74792018:74804175||74803265, 74803547, 74803978, 74804121||",1.2781555512035,1.886747005444,0.3845877990538611,0.016484694486832003
"chr1:75219094:75221094:-:NM_001243090&NM_001243091||5:0||TES:1000:1000||A630095N17Rik:-:75220094:75232093&75223654||75219162, 75219411, 75219484, 75219629||Neil1_vs_WT||chr1:75219094:75221094:-:NM_001243090&NM_001243091||5:0||TES:1000:1000||A630095N17Rik:-:75220094:75232093&75223654||75219162, 75219411, 75219484, 75219629||",1.2408300723575,1.8172869009169998,0.3770011635246607,0.043034744740012044
"chr1:75244692:75246692:+:NM_001159884&NM_001159885||4:0||TES:1000:1000||Dnajb2:+:75236422&75236701:75245692||75245592, 75246470||Neil1_vs_WT||chr1:75244692:75246692:+:NM_001159884&NM_001159885||5:0||TES:1000:1000||Dnajb2:+:75236422&75236701:75245692||75245592, 75245727, 75246470||",1.4707474199925,3.57895192982,0.8349821895459101,0.048155671676887446
"chr1:75431306:75433306:+:NM_007463||4:0||TES:1000:1000||Speg:+:75375296:75432306||75431468, 75431658, 75432992||Neil1_vs_WT||chr1:75431306:75433306:+:NM_007463||4:0||TES:1000:1000||Speg:+:75375296:75432306||75431468, 75431658, 75432992||",1.7272634327649998,2.4247633036200003,0.3359804332388692,0.03797345667057405
"chr1:75431304:75433304:+:NM_001085370||4:0||TES:1000:1000||Speg:+:75385609:75432304||75431468, 75431658, 75432992||Neil1_vs_WT||chr1:75431304:75433304:+:NM_001085370||4:0||TES:1000:1000||Speg:+:75385609:75432304||75431468, 75431658, 75432992||",1.7272634327649998,2.4247633036200003,0.3359804332388692,0.03797345667057405
"chr1:75484693:75486693:+:NM_177056||5:0||TES:1000:1000||Tmem198:+:75479531:75485693||75484863, 75484869, 75484938, 75485721, 75486592||Neil1_vs_WT||chr1:75484693:75486693:+:NM_177056||5:0||TES:1000:1000||Tmem198:+:75479531:75485693||75484863, 75484869, 75484938, 75485721, 75486592||",1.23496345847,2.52622277152,0.6866234395702514,0.046953570702420525
"chr1:85930756:85932756:+:NR_037692||3:0||TES:1000:1000||4933407L21Rik:+:85928482:85931756||85932612||Neil1_vs_WT||chr1:85930756:85932756:+:NR_037692||5:0||TES:1000:1000||4933407L21Rik:+:85928482:85931756||85931756, 85932612, 85932624||",1.340837068646,3.1562591962199997,0.8073752575666041,0.005491169225035646
"chr1:87097001:87099001:-:NM_001081082||5:0||TES:1000:1000||Alpi:-:87098001:87101606||87097390, 87098160, 87098494, 87098681, 87098765||Neil1_vs_WT||chr1:87097001:87099001:-:NM_001081082||5:0||TES:1000:1000||Alpi:-:87098001:87101606||87097390, 87098160, 87098494, 87098681, 87098765||",1.4802966221740002,2.04587736656,0.3207900382641415,0.03785320300866327
"chr1:120342174:120344174:+:NM_207233||3:0||TES:1000:1000||C1ql2:+:120340581:120343174||120342597, 120342961||Neil1_vs_WT||chr1:120342174:120344174:+:NM_207233||5:0||TES:1000:1000||C1ql2:+:120340581:120343174||120342597, 120342781, 120342961, 120343177||",1.383365244188,1.7961290855165,0.25964118726191404,0.008326158612554365
"chr1:135367065:135369065:+:NM_053106||4:0||TES:1000:1000||Lmod1:+:135324812:135368065||135367116, 135367422, 135368170||Neil1_vs_WT||chr1:135367065:135369065:+:NM_053106||4:0||TES:1000:1000||Lmod1:+:135324812:135368065||135367116, 135367422, 135368170||",1.3405195338940001,2.1025892291900004,0.4426637366014616,0.027586034588041364
"chr1:153696665:153698665:+:NM_026380||3:0||TES:1000:1000||Rgs8:+:153653036:153697665||153697368, 153698236||Neil1_vs_WT||chr1:153696665:153698665:+:NM_026380||4:0||TES:1000:1000||Rgs8:+:153653036:153697665||153697368, 153698236, 153698367||",1.4474149396265,2.34651134097,0.4739661948318826,0.016080046586690717
