chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand
chr1	18292001	18293000	*	1.64599866232192e-12	2.73093787436277e-09	26.7275520655514	1	-26864	ENSMUST00000088463.1	-
chr1	74361001	74362000	*	2.47934710521038e-09	1.81594194448215e-06	-25.700432557745	2	-108	ENSMUST00000097697.7	+
chr1	87156001	87157000	*	1.33384689968291e-15	4.00913407821466e-12	25.2379484260621	3	0	ENSMUST00000161002.7	-
chr1	131030001	131031000	*	4.56244606244817e-14	1.0265204874705e-10	-31.016333938294	4	10158	ENSMUST00000016673.5	+
chr2	30042001	30043000	*	2.87436536942028e-16	9.6512110637386e-13	28.7256978945987	5	5862	ENSMUST00000146275.1	-
chr2	37339001	37340000	*	9.56545159947845e-20	5.5416308152094e-16	-28.3456648937481	6	7254	ENSMUST00000053990.6	+
chr3	27689001	27690000	*	1.16231349364666e-13	2.39159964357807e-10	25.3071253071253	7	20399	ENSMUST00000195008.5	-
chr3	88526001	88527000	*	6.21667857252325e-15	1.62136600891596e-11	27.890192245031	8	356	ENSMUST00000193595.1	-
chr4	9551001	9552000	*	2.07417299671244e-09	1.5513332795828e-06	25.5490398988157	9	43690	ENSMUST00000124408.1	-
chr4	11300001	11301000	*	2.00818562084795e-35	7.47037139921175e-31	25.7553956834532	10	2362	ENSMUST00000139385.7	-
chr4	20387001	20388000	*	2.31451152492609e-08	1.23836443758492e-05	25.3095238095238	11	-3096	ENSMUST00000117877.1	+
chr4	41803001	41804000	*	1.81066134933696e-09	1.37905375989818e-06	25.6575801052128	12	-5083	ENSMUST00000120436.1	+
chr4	107687001	107688000	*	7.37070249448769e-14	1.58948579381858e-10	27.2037444152897	13	-128	ENSMUST00000120565.1	+
chr4	119667001	119668000	*	2.20757346166724e-09	1.64127901844239e-06	28.6980231765508	14	-8048	ENSMUST00000044426.7	-
chr4	120854001	120855000	*	8.71322291768908e-12	1.24287401434295e-08	31.4398863931836	15	0	ENSMUST00000071093.8	+
chr4	130048001	130049000	*	2.91424601453832e-21	2.12347141276889e-17	34.6399136577708	16	41	ENSMUST00000143432.7	+
chr4	132212001	132213000	*	3.91920534743197e-32	1.0863000019242e-27	-26.5208843885493	17	0	ENSMUST00000152796.7	-
chr4	137665001	137666000	*	6.14624833513286e-16	1.9350210777436e-12	28.6625086625087	18	249	ENSMUST00000156683.7	+
chr4	139093001	139094000	*	6.43953506079479e-30	1.46819844581468e-25	-26.2374789793083	19	-9	ENSMUST00000042844.6	-
chr4	148627001	148628000	*	2.27734487117222e-24	2.59614566026326e-20	25.548958627839	20	0	ENSMUST00000084125.9	-
chr4	150957001	150958000	*	2.45249946045281e-15	6.9754859640289e-12	29.8788877222202	21	-6735	ENSMUST00000082542.1	+
chr5	16293001	16294000	*	1.68384484915251e-08	9.47932246959323e-06	26.1699507389163	22	-31985	ENSMUST00000200158.1	+
chr5	25222001	25223000	*	9.8761274180995e-37	3.98878453588308e-32	35.5786212756208	23	0	ENSMUST00000045737.13	+
chr5	52566001	52567000	*	2.8555561700298e-12	4.48507939460398e-09	26.2421788737578	24	0	ENSMUST00000039750.6	-
chr5	135963001	135964000	*	2.22201522037893e-28	4.61912860681345e-24	34.7568085823119	25	-675	ENSMUST00000054895.3	-
chr5	144915001	144916000	*	2.39442650895237e-13	4.63026739974804e-10	27.7077760948729	26	-17008	ENSMUST00000198621.1	-
chr6	93805001	93806000	*	4.52382293235295e-08	2.17348266527645e-05	25.4980156436636	27	11231	ENSMUST00000158002.1	+
chr6	140193001	140194000	*	7.69469473459033e-12	1.1144575091771e-08	26.4936838511437	28	-26357	ENSMUST00000158933.1	-
chr7	16297001	16298000	*	3.99864827859267e-08	1.95721237813905e-05	-29.6496530586182	29	-10207	ENSMUST00000146609.2	-
chr7	19461001	19462000	*	1.6639546280237e-10	1.69584812781381e-07	-26.9929675068015	30	-67	ENSMUST00000083454.1	-
chr7	57386001	57387000	*	8.98069714232458e-14	1.90044596438252e-10	29.468085106383	31	0	ENSMUST00000068394.6	-
chr7	70334001	70335000	*	7.38510458607765e-20	4.34978053754235e-16	26.5585108101994	32	2823	ENSMUST00000208511.1	-
chr7	100863001	100864000	*	2.25397026574603e-54	2.89652602400612e-49	39.3185298621746	33	0	ENSMUST00000008462.10	-
chr7	143210001	143211000	*	6.27030482608813e-09	4.0940457448476e-06	26.6905737704918	34	-40367	ENSMUST00000183938.1	+
chr8	37927001	37928000	*	1.58202006426124e-08	9.003891121075e-06	26.460113960114	35	-138310	ENSMUST00000117720.1	-
chr8	104443001	104444000	*	3.32666953386333e-22	2.73402921734556e-18	27.7065420560748	36	0	ENSMUST00000041769.7	-
chr8	107939001	107940000	*	7.98145254317245e-09	5.00109123896394e-06	-25.0422178440754	37	-2644	ENSMUST00000220518.1	+
chr8	119798001	119799000	*	1.79394002841409e-18	8.56718503184983e-15	25.3386521812935	38	-19586	ENSMUST00000049156.6	-
chr8	124098001	124099000	*	3.66959276458309e-09	2.55304747182799e-06	26.8632268632269	39	-49590	ENSMUST00000212460.1	-
chr9	44509001	44510000	*	1.31029233936417e-15	3.94927427770988e-12	-26.3531681084873	40	9731	ENSMUST00000218913.1	+
chr9	58313001	58314000	*	2.13795810575573e-19	1.19453975245507e-15	27.4123139993927	41	0	ENSMUST00000061799.9	-
chr9	64555001	64556000	*	5.35887913319849e-15	1.42124415044891e-11	-35.4881379074927	42	8104	ENSMUST00000147388.1	+
chr9	103208001	103209000	*	4.98987805245401e-35	1.67943259952063e-30	25.4900323371593	43	3007	ENSMUST00000190051.1	-
chr9	119067001	119068000	*	4.91182109382172e-14	1.09861974204953e-10	26.2177099603508	44	3521	ENSMUST00000151638.1	+
chr10	20954001	20955000	*	4.96972966804056e-19	2.62131920275933e-15	-28.4242653868822	45	1378	ENSMUST00000214745.1	+
chr10	79555001	79556000	*	9.83613663686934e-22	7.47738709251953e-18	-26.9318141691875	46	0	ENSMUST00000165028.7	-
chr10	93642001	93643000	*	3.62277272908555e-19	1.95461728932267e-15	-26.152258173239	47	954	ENSMUST00000020204.4	+
chr11	53636001	53637000	*	7.37601255559129e-13	1.29845839749826e-09	-25.7268843874879	48	-1300	ENSMUST00000020650.1	-
chr11	82933001	82934000	*	1.61715336652734e-13	3.21516707542503e-10	37.3188405797101	49	0	ENSMUST00000142336.1	+
chr11	85823001	85824000	*	6.14324558823405e-10	5.29512195183098e-07	-26.3533149221133	50	1037	ENSMUST00000140562.1	+
chr11	101967001	101968000	*	8.51900127917844e-09	5.27940932984613e-06	-27.588824779836	51	0	ENSMUST00000001534.6	-
chr12	88580001	88581000	*	1.01921878656375e-16	3.69423697253882e-13	28.5861835879411	52	9438	ENSMUST00000221843.1	-
chr12	91609001	91610000	*	3.99972039287227e-10	3.6289761699371e-07	25.1048664332797	53	7678	ENSMUST00000222304.1	-
chr13	10990001	10991000	*	5.92829715740145e-12	8.80833039269743e-09	-30.1585326010859	54	15580	ENSMUST00000221075.1	+
chr13	60601001	60602000	*	1.79745422108374e-22	1.53991174519938e-18	25.1634504684348	55	0	ENSMUST00000226059.1	+
chr13	119631001	119632000	*	5.74185524147773e-14	1.270203539205e-10	-25.8912133044692	56	7184	ENSMUST00000099241.3	+
chr14	30867001	30868000	*	3.22213578871484e-14	7.43028208243223e-11	27.2196381670653	57	558	ENSMUST00000227776.1	+
chr14	45655001	45656000	*	5.97640661163478e-17	2.2528423789896e-13	26.7141525762215	58	1361	ENSMUST00000226301.1	-
