location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:87596840:87598840	  TES	  Neu2	3.46560316653	1.996891861483	-0.537743759038715	0.031234918514135
chr2:131144983:131146983	  TES	  Hspa12b	3.71796720306	2.34073929823	-0.454627701320988	0.0209602227602704
chr3:131289490:131291490	  TES	  Cyp2u1	3.24281168361	1.777014691403	-0.584003064131159	0.0160355585505206
chr4:62658847:62660847	  TES	  Rgs3	2.973807965275	2.100926715015	-0.344010595726403	0.0163740574420187
chr4:133490099:133492099	  TES	  Trnp1	2.36013448516	1.743236230285	-0.30067878222799	0.0414873463758199
chr5:31291245:31293245	  TES	  Fndc4	3.9183267977	2.46926985109	-0.453709595731751	0.0305568189825452
chr5:103854322:103856322	  TES	  Aff1	2.11929576988	1.740686644057	-0.196171425266592	0.023514399769642
chr5:115239970:115241970	  TES	  Pop5	2.7904609183	2.14664986708	-0.260804782070714	0.0182343754032074
chr6:36523774:36525774	  TES	  Chrm2	2.200184254145	1.7090482698465	-0.251269772920557	0.00462829226095042
chr6:92075005:92077005	  TES	  Fgd5	2.0319951566	1.772732697355	-0.136284364715073	0.0436526283772346
chr6:113280392:113282392	  TES	  Mtmr14	2.44179164066	1.533073788541	-0.457232008632637	0.0235007474150167
chr7:13034119:13036119	  TES	  Ube2m	1.907004012178	1.559660455185	-0.20039064078054	0.0266331814789195
chr7:30416579:30418579	  TES	  Tyrobp	3.72145772554	2.25479228684	-0.49083135265819	0.0314561612365641
chr7:30416711:30418711	  TES	  Hcst	3.72145772554	2.25479228684	-0.49083135265819	0.0314561612365641
chr7:40928968:40930968	  TES	  Vstm2b	4.65001040638	1.766279084639	-0.898878183653469	0.0317360108067054
chr8:85029286:85031286	  TES	  2310036O22Rik	2.43520919636	1.7588136224975	-0.322552166774695	0.0461549672000383
chr8:86059642:86061642	  TES	  Phkb	3.01321204821	1.735838328066	-0.537949113584961	0.0284491635131909
chr8:122355966:122357966	  TES	  Trhr2	5.59834665651	1.600132921466	-1.11084950418604	0.0291877467167112
chr8:123267243:123269243	  TES	  Fanca	1.96627894743	1.533026945491	-0.247621679953991	0.0352265062933323
chr8:124551007:124553007	  TES	  Cog2	2.50991595756	1.830679737353	-0.312969125875067	0.0358698220340166
chr9:106463011:106465011	  TES	  Pcbp4	1.910632302614	1.497935880128	-0.242152364488721	0.0240511295834523
chr9:108948641:108950641	  TES	  Uqcrc1	2.03162223903	1.652040773769	-0.206089136787015	0.029424963563765
chr10:61625385:61627385	  TES	  Npffr1	2.41975196684	2.10399066134	-0.139601799418477	0.0401243817060279
chr11:43595039:43597039	  TES	  Fabp6	2.18291593707	1.682747488281	-0.258774959821332	0.0277707249309543
chr11:97684458:97686458	  TES	  Mllt6	1.763663445667	1.55122263974	-0.128173819825797	0.0330476455304127
chr13:54221432:54223432	  TES	  Hrh2	2.84591380761	1.647422805556	-0.533452578888606	0.0457974616871468
chr13:56772097:56774097	  TES	  Trpc7	2.20845832158	1.902729336842	-0.148730250302098	0.0452496613482721
chr15:75915462:75917462	  TES	  Pycrl	2.26288596198	1.563356425503	-0.365648312697287	0.0417844151611515
chr15:98285121:98287121	  TES	  Zfp641	3.10688218077	1.915312112428	-0.474521692621828	0.0142785484752182
chr15:102115401:102117401	  TES	  Tenc1	2.69213855508	1.502579376683	-0.56717004468381	0.0310251568316894
chr15:102115527:102117527	  TES	  Spryd3	2.69213855508	1.502579376683	-0.56717004468381	0.0310251568316894
chr16:20662414:20664414	  TES	  Psmd2	3.30361158076	1.843938135923	-0.567133306204409	0.0160781028835062
chr17:47703286:47705286	  TES	  Frs3	1.799722741012	1.365942679195	-0.274053005758666	0.0437225189960858
chr18:52638830:52640830	  TES	  Zfp474	1.973558669502	1.567582238754	-0.229291316706142	0.0378859063742271
chrX:97081104:97083104	  TES	  Pgr15l	2.80734126351	2.02418909651	-0.324183895637058	0.00949897456634839
