gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
1700112E06Rik	negative	up	hypo	DMRs_CHH	gene	3.92531399624032	-0.0600000000000001	14:22020711:23055088	0
Agt	negative	up	hypo	DMRs_CHH	gene	1.29262083470727	-0.0600000000000001	8:124557586:124568707	0
Asxl3	negative	up	hypo	DMRs_CHH	TES	1.88649222787788	-0.0700000000000001	18:22529227:22531227	0
Cbs	negative	up	hypo	DMRs_CHH	gene	1.08631828724072	-0.0600000000000001	17:31613622:31636205	0
Dot1l	negative	up	hypo	DMRs_CHH	gene	2.08580535161487	-0.0600000000000001	10:80756205:80793347	0
Ica1	negative	up	hypo	DMRs_CHH	TES	1.63866139823973	-0.0600000000000001	6:8629526:8631526	0
Irf2bp2	negative	up	hypo	DMRs_CHH	TES	1.52855673303154	-0.0600000000000001	8:126587295:126589295	0
Kctd12	negative	up	hypo	DMRs_CHH	TES	7.1901606701573	-0.0600000000000001	14:102975580:102977580	0
Ndufs7	negative	up	hypo	DMRs_CHH	TSS	1.78445381230982	-0.0600000000000001	10:80248451:80250451	0
Npy2r	negative	up	hypo	DMRs_CHH	TSS	3.01785092686305	-0.0600000000000001	3:82547085:82549085	0
Pced1b	negative	up	hypo	DMRs_CHH	TES	1.67786549716135	-0.0600000000000001	15:97384691:97386691	0
Penk	negative	up	hypo	DMRs_CHH	TSS	1.45522229062646	-0.0774999999999999	4:4137445:4139445	0
Shisa9	negative	up	hypo	DMRs_CHH	TES	1.63934109535482	-0.0600000000000001	16:12269904:12271904	0
Uqcrfs1	negative	up	hypo	DMRs_CHH	TSS	1.23360793705413	-0.0600000000000001	13:30544316:30546316	0
4930480K23Rik	positive	down	hypo	DMRs_CHH	gene	-8.4074296740296	-0.0600000000000001	14:69733783:69744869	0
Ang	positive	down	hypo	DMRs_CHH	gene	-2.33553451877625	-0.0625	14:51092076:51101009	0
Arhgap15	positive	down	hypo	DMRs_CHH	TSS	-3.05119085785767	-0.0675000000000001	2:43747823:43749823	0
Cd6	positive	down	hypo	DMRs_CHH	TSS	-6.29368345457385	-0.0675000000000001	19:10829058:10831058	0
Cpne7	positive	down	hypo	DMRs_CHH	gene	-1.68466147605878	-0.0600000000000001	8:123118373:123134185	0
Cux2	positive	down	hypo	DMRs_CHH	gene	-3.21317775121064	-0.0600000000000001	5:121861215:122046825	0
D7Ertd443e	positive	down	hypo	DMRs_CHH	TES	-2.41166199224866	-0.0600000000000001	7:134265261:134267261	0
Ednrb	positive	down	hypo	DMRs_CHH	gene	-1.07488445234522	-0.0600000000000001	14:103815614:103842701	0
Neil2	positive	down	hypo	DMRs_CHH	gene	-8.52510893830836	-0.0600000000000001	14:63183444:63192525	0
Nsun3	positive	down	hypo	DMRs_CHH	TES	-2.18348731669141	-0.0600000000000001	16:62733851:62735851	0
Oacyl	positive	down	hypo	DMRs_CHH	TES	-2.01716704092997	-0.0600000000000001	18:65750537:65752537	0
Phf2	positive	down	hypo	DMRs_CHH	gene	-2.16569222883621	-0.0600000000000001	13:48802749:48869885	0
Piwil2	positive	down	hypo	DMRs_CHH	gene	-2.89560524718406	-0.0600000000000001	14:70373479:70428094	0
Tfcp2	positive	down	hypo	DMRs_CHH	TSS	-1.2005168420559	-0.0600000000000001	15:100551008:100553008	0
Wnt7b	positive	down	hypo	DMRs_CHH	TES	-1.3169312631291	-0.0600000000000001	15:85534436:85536436	0
Wsb1	positive	down	hypo	DMRs_CHH	TSS	-4.96910146110242	-0.0600000000000001	11:79253695:79255695	0
