location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:33746483:33756750	  gene	  Bag2	2.02804356522	1.526101891534	-0.282454210044866	0.046808459176738
chr1:33909224:34307662	  gene	  Dst	2.39554786466	1.822696672794	-0.27160644044205	0.00926236292216197
chr1:33909224:34307662	  gene	  Dst	8.68836229342	3.27672600002	-0.904571058847429	0.0307468475625064
chr1:33909224:34307662	  gene	  Dst	4.1381826477	2.413683512045	-0.526414640839403	0.0303308472945066
chr1:34012824:34307662	  gene	  Dst	8.68836229342	3.27672600002	-0.904571058847429	0.0307468475625064
chr1:34012824:34307662	  gene	  Dst	4.1381826477	2.413683512045	-0.526414640839403	0.0303308472945066
chr1:36069399:36105446	  gene	  Hs6st1	2.60183915926	1.6815126390645	-0.429722592739406	0.00926475459757464
chr1:37612675:37718811	  gene	  2010300C02Rik	2.469980243435	1.702765311792	-0.367726678508804	0.0465602919106777
chr1:38176990:38626244	  gene	  Aff3	3.47444502624	1.525581296352	-0.779541388045219	0.00592972750316981
chr1:39195271:39362240	  gene	  Npas2	2.27676901247	1.384128820199	-0.487661897748299	0.0467248010171268
chr1:39372495:39477747	  gene	  Tbc1d8	3.1165209634095	2.871120491185	-0.0819689936631716	0.00675253636715539
chr1:39901912:40025310	  gene	  Map4k4	1.912362319304	1.197471310069	-0.459761578550512	0.00639778010607326
chr1:58114135:58199452	  gene	  Aox3	2.42781788266	1.733997939254	-0.333421743342268	0.0198770506381872
chr1:63201357:63313575	  gene	  Zdbf2	2.20427286385	1.905250665367	-0.145526456464881	0.0372362325270837
chr1:64731557:64736750	  gene	  Fzd5	2.616304539155	2.05054826387	-0.24245730438221	0.0498033211322485
chr1:72859064:72873865	  gene	  Igfbp5	4.80534158806	3.459294588525	-0.325736540792579	0.0262164660493953
chr1:73911230:74123449	  gene	  Tns1	2.54276787711	1.691287065424	-0.402205839670283	0.0178351057536829
chr1:73911230:74123447	  gene	  Tns1	2.54276787711	1.691287065424	-0.402205839670283	0.0178351057536829
chr1:74286033:74352692	  gene	  Pnkd	2.42605532396	1.8026090640755	-0.294866748776974	0.0326469773188659
chr1:75181860:75191010	  gene	  Atg9a	6.53997379588	2.88854510314	-0.774549795539897	0.0446233594450678
chr1:75486824:75505452	  gene	  Obsl1	2.45520456616	1.896870627226	-0.256582854902195	0.0310098964395424
chr1:77368184:77514088	  gene	  Epha4	1.946877480916	1.3369003150605	-0.371509403957164	0.0250837083026557
chr1:82317578:82444367	  gene	  Rhbdd1	3.10546758327	2.199072248377	-0.341743247731095	0.0406429416122759
chr1:82340048:82444367	  gene	  Rhbdd1	3.10546758327	2.199072248377	-0.341743247731095	0.0406429416122759
chr1:82451722:82585849	  gene	  Col4a4	4.39822711042	2.67203702805	-0.488295783173823	0.0270160338886279
chr1:86155779:86277284	  gene	  Armc9	6.06613831245	4.1863712664	-0.366694033610617	0.0110133401816028
chr1:89455810:89894282	  gene	  Agap1	2.00386469355	1.435450189556	-0.330539379680567	0.0117131344882863
