gene	mean_KO	mean_WT	mean_dif	mean_pval	feature	location
1110032A03Rik	0.46	0.7775	-0.3175	6.45274888324209e-06	TES	9:50761827:50763827
1600002K03Rik	0.1475	0.32	-0.1725	0.00228004462535471	TSS	10:80171943:80173943
1700006E09Rik	0.8225	0.64	0.1825	0.00706215480183884	TES	11:101991264:101993264
1700011E24Rik	0.7775	0.6025	0.175	5.22435731672097e-05	TSS	17:87426741:87428741
1700025C18Rik	0.79	0.5975	0.1925	0.00111037053478995	gene	2:165079692:165089750
1700067G17Rik	0.4825	0.7125	-0.23	0.00264929294478941	TSS	1:89015112:89017112
1700067K01Rik	0.7625	0.5775	0.185	3.33327711003771e-05	TSS	8:84000705:84002705
1700073E17Rik	0.625	0.425	0.2	0.00276769147561677	TSS	6:145386624:145388624
1700092C10Rik	0.335	0.8675	-0.5325	1.32513664055216e-13	TES	14:69163798:69165798
1700108F19Rik	0.7875	0.61	0.1775	0.00189974155613266	TES	14:76686108:76688108
1700113H08Rik	0.4175	0.2475	0.17	0.00070960415154958	TES	10:87229599:87231599
1810046K07Rik	0.75	0.4325	0.3175	0.000689564064690988	TES	9:51288685:51290685
2010204K13Rik	0.735	0.515	0.22	4.53588624442478e-05	TES	20:7410816:7412816
2210406O10Rik	0.6625	0.8575	-0.195	0.000800347323735191	TES	5:36454734:36456734
2300005B03Rik	0.8425	0.5775	0.265	0.00977612469238838	TES	15:74741838:74743838
2310020H05Rik	0.825	0.655	0.17	2.94385845227971e-06	gene	13:99077527:99086921
2410004I01Rik	0.3375	0.125	0.2125	0.00572250712809995	TSS	11:102963154:102965154
2410012E07Rik	0.68	0.94	-0.26	2.33543864072945e-06	TSS	14:70851932:70853932
2700081O15Rik	0	0.2	-0.2	5.51292677303097e-05	TSS	19:7416624:7418624
2810428I15Rik	0.2275	0.435	-0.2075	0.00198953795247249	TSS	8:70505739:70507739
2810459M11Rik	0.0225	0.38	-0.3575	0.00214151500903453	TSS	1:86044862:86046862
3110039I08Rik	0.655	0.4575	0.1975	0.0154806270129558	gene	9:41377560:41431079
3830403N18Rik	0.855	0.67	0.185	0.0101822003727548	TSS	20:56135571:56137571
3930402G23Rik	0.5525	0.3425	0.21	0.00473081517905593	TSS	8:10927457:10929457
4631405J19Rik	0.79	0.6225	0.1675	0.012263319046522	gene	2:93030347:93032445
4833428L15Rik	0.65	0.875	-0.225	0.00761890360772697	TES	9:45415625:45417625
4930412D23Rik	1	0.7775	0.2225	0.00010655205014123	TES	20:127720175:127722175
4930449E01Rik	0.5375	0.275	0.2625	0.00162391980102725	TSS	14:105497787:105499787
4930455J16Rik	0.81	0.625	0.185	0.0043937528844393	TES	13:58740073:58742073
4930471C04Rik	0.255	0.6225	-0.3675	0.0102057157764049	TES	14:64098294:64100294
4930481A15Rik	0	0.3575	-0.3575	5.80424118726663e-27	TSS	19:5405814:5407814
4930500L23Rik	0.77	0.5825	0.1875	0.000636787794297416	gene	5:139524750:139540339
4930505K13Rik	0.7175	0.485	0.2325	0.00662338582771146	gene	7:120157114:120165001
4930509E16Rik	0	0.1725	-0.1725	1.686140297657e-05	TSS	9:72530858:72532858
4930546K05Rik	0.32	0.555	-0.235	7.14947629594684e-05	TSS	9:42208231:42210231
4930586N03Rik	0.6575	0.45	0.2075	0.0038487599494288	gene	13:23314524:23384799
4931429I11Rik	0.615	0.885	-0.27	1.17728889647273e-08	TES	9:40893848:40895848
4932438H23Rik	0.6025	0.395	0.2075	0.00960582098673573	TES	16:91052934:91054934
4933402C06Rik	0.3975	0.2025	0.195	0.00097019805005615	gene	7:40675736:40690260
4933402J15Rik	0.63	0.845	-0.215	0.00596787414069328	gene	14:74356526:74368741
4933407I05Rik	0.5275	0.8125	-0.285	4.02666168397362e-12	TSS	9:51913428:51915428
4933427I22Rik	0.1125	0.2925	-0.18	0.00685179257995366	TES	4:139925110:139927110
4933428G20Rik	0.585	0.405	0.18	3.43328183914741e-12	TSS	11:97499340:97501340
5730412P04Rik	0.9025	0.675	0.2275	0.00748255807328956	TES	20:136110613:136112613
5730435O14Rik	0.635	0.8175	-0.1825	0.00439650136759929	TES	10:41575476:41577476
5830418P13Rik	0.5	0.3025	0.1975	0.000297062992144747	TSS	9:103422577:103424577
5930403L14Rik	0.605	0.41	0.195	0.000443586088654288	gene	4:154631690:154635367
6030408B16Rik	0.8425	0.645	0.1975	0.00170951990315954	TSS	15:101292211:101294211
6030498E09Rik	0.82	0.63	0.19	0.000131100308013282	TSS	20:38771779:38773779
6330403A02Rik	0	0.1825	-0.1825	0.000242387104824498	TSS	1:180482504:180484504
6530403H02Rik	0.5225	0.3325	0.19	0.000196917333774491	TSS	3:120885732:120887732
9030204H09Rik	0.805	0.5075	0.2975	2.1725036061115e-06	gene	2:35820189:35822385
9030617O03Rik	0.4725	0.265	0.2075	0.00140405937551472	TSS	12:100778122:100780122
9030624G23Rik	0	0.1825	-0.1825	2.8963940393423e-07	TSS	12:24096269:24098269
9430021M05Rik	0	0.2325	-0.2325	0.00304315096364958	TSS	2:162660162:162662162
9630028I04Rik	0.71	0.5025	0.2075	0.00179965348443367	gene	17:27236074:27247066
a	0.5475	0.34	0.2075	0.000257781479233694	gene	2:155014569:155050012
A630033H20Rik	0.3475	0.62	-0.2725	0.00303314045425822	TSS	20:107148614:107150614
A930004D18Rik	0.2275	0.4	-0.1725	9.80734308290148e-06	gene	2:18026188:18036741
A930011O12Rik	0.4875	0.2775	0.21	0.00430850778979256	TES	14:64592961:64594961
Aatk	0.7325	0.51	0.2225	0.00249447262635936	TES	11:120006315:120008315
Abcb1a	0.855	0.6425	0.2125	0.00722241407476099	gene	5:8661091:8747570
Abcc5	0.6425	0.8275	-0.185	0.00659466397112006	TES	16:20399760:20401760
Abhd8	0.755	0.545	0.21	0.00102571869651669	TES	8:71455699:71457699
Abi3	0.65	0.4625	0.1875	1.64520306994939e-05	TES	11:95829071:95831071
Abl1	0.7375	0.4875	0.25	0.00164122714655167	TES	2:31803362:31805362
Ackr3	0.1825	0.3975	-0.215	0.00120484522005887	TSS	1:90202979:90204979
Acot12	0.525	0.7325	-0.2075	0.00193788556028947	TSS	13:91740520:91742520
Actl6b	0.6725	0.46	0.2125	0.00285887960320037	TES	5:137568573:137570573
Acvrl1	0.5675	0.79	-0.2225	0.0165898051182329	TES	15:101144336:101146336
Adam18	0.5975	0.43	0.1675	0.001727813539853	TSS	8:24673755:24675755
Add2	0.7075	0.4075	0.3	0.00194721381877693	gene	6:86029680:86108467
