gene	mean_KO	mean_WT	mean_dif	mean_pval	feature	location
0610039H22Rik	0	0.0675000000000001	-0.0675000000000001	2.88850613842247e-06	gene	11:88620250:88622426
0610043K17Rik	0	0.0600000000000001	-0.0600000000000001	6.01996437543277e-82	gene	4:101354782:101398185
1110004E09Rik	0	0.0600000000000001	-0.0600000000000001	3.00473262209152e-30	gene	16:90926810:90933849
1110007C09Rik	0	0.0600000000000001	-0.0600000000000001	1.22763077422669e-25	gene	13:49203950:49215026
1110008L16Rik	0	0.0600000000000001	-0.0600000000000001	8.04624695954477e-09	TSS	12:55301636:55303636
1110008P14Rik	0	0.0600000000000001	-0.0600000000000001	1.34886846463791e-13	TSS	2:32380915:32382915
1110017D15Rik	0	0.0625	-0.0625	0.00235333428375844	TSS	4:41506764:41508764
1110059E24Rik	0	0.0600000000000001	-0.0600000000000001	1.09598645579361e-130	gene	19:21598312:21651791
1190002F15Rik	0	0.0600000000000001	-0.0600000000000001	9.15210654586331e-23	gene	6:134930091:134950718
1190002N15Rik	0	0.0600000000000001	-0.0600000000000001	7.01470658803448e-29	gene	9:94518863:94537081
1190005I06Rik	0	0.0600000000000001	-0.0600000000000001	1.38966264004244e-25	gene	8:120609601:120633382
1200014J11Rik	0	0.0674999999999999	-0.0674999999999999	2.67501063741303e-05	TES	11:73082579:73084579
1500012K07Rik	0	0.0625	-0.0625	0.000246038077896835	TES	7:75317485:75319485
1500015O10Rik	0	0.0600000000000001	-0.0600000000000001	8.37350454583042e-09	TES	1:43741564:43743564
1600002D24Rik	0	0.0600000000000001	-0.0600000000000001	7.7132789797242e-158	gene	16:95832122:95897713
1600027J07Rik	0	0.0625	-0.0625	3.26617716996799e-06	gene	8:103344877:103346534
1700001J03Rik	0	0.0600000000000001	-0.0600000000000001	1.49318642295558e-12	TSS	5:146184304:146186304
1700001K23Rik	0	0.0600000000000001	-0.0600000000000001	3.14343410157901e-20	gene	19:53249735:53254205
1700001L19Rik	0	0.0600000000000001	-0.0600000000000001	5.08152403214981e-13	TES	13:68613231:68615231
1700001O22Rik	0	0.0600000000000001	-0.0600000000000001	4.91787291600185e-15	gene	2:30796562:30802664
1700003G13Rik	0	0.0675000000000001	-0.0675000000000001	4.33072148867508e-09	TSS	9:45321079:45323079
1700003G18Rik	0	0.0625	-0.0625	3.98934881334646e-31	gene	7:116082761:116092149
1700006F04Rik	0	0.0600000000000001	-0.0600000000000001	0.000233300109649404	gene	14:119750226:119750564
1700006H21Rik	0	0.0600000000000001	-0.0600000000000001	0.00130440141281597	TSS	13:107686396:107688396
1700007F19Rik	0	0.0600000000000001	-0.0600000000000001	0.000751877245217153	TSS	3:58162807:58164807
1700007K09Rik	0	0.0600000000000001	-0.0600000000000001	3.58040302085926e-06	gene	7:131326930:131328499
1700007P06Rik	0	0.0600000000000001	-0.0600000000000001	1.02037658048912e-15	TES	1:187126852:187128852
1700009C05Rik	0	0.0600000000000001	-0.0600000000000001	1.226640616062e-14	TES	6:81899464:81901464
1700010B08Rik	0	0.0600000000000001	-0.0600000000000001	1.74087221287848e-07	TSS	2:173718414:173720414
1700011A15Rik	0	0.0600000000000001	-0.0600000000000001	1.73325475807321e-08	TSS	15:101446744:101448744
1700011B04Rik	0	0.0600000000000001	-0.0600000000000001	2.12936724713233e-12	gene	13:35182622:35187014
1700011H14Rik	0	0.0600000000000001	-0.0600000000000001	9.8155676085438e-53	gene	14:49227358:49244428
