location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:4806892:4808892	TSS	Lypla1	1.600134930471	2.82660239941	0.554118023068683	0.0176212575305447
chr1:10231670:10233670	TSS	Arfgef1	1.235582943105	1.813889187349	0.379282852575474	0.0206094517279143
chr1:13371429:13373429	TSS	Ncoa2	1.522044584733	2.29682543703	0.405764452773556	0.0140125435145216
chr1:16103433:16105433	TSS	Rpl7	1.141928887228	1.98195731539	0.537809877618466	7.69326147644789e-05
chr1:16104881:16106881	TSS	Rdh10	1.2276662933915	2.020417394333	0.488134652402922	0.0159594900794015
chr1:17726646:17728646	TSS	Gm16070	1.392043124078	2.70702838295	0.64160152201171	0.000168920225651101
chr1:20819213:20821213	TSS	Mcm3	1.216078041311	2.1584166276795	0.558506489891956	0.0248285839488208
chr1:22804724:22806724	TSS	Rims1	1.417205177814	2.15658728686	0.413780104107666	0.0236004597805744
chr1:23921381:23923381	TSS	Smap1	1.326762349424	1.642609365522	0.212736596437704	0.0174414409929981
chr1:25828707:25830707	TSS	Bai3	1.244219237664	1.5094424733	0.19263312888434	0.049845492977845
chr1:33837914:33839914	TSS	Gm15455	1.340664630372	1.9135506331655	0.352088572143653	0.048754976085705
chr1:33906621:33908621	TSS	Bend6	1.347683557818	2.03689332425	0.407264949473323	0.0156349709547354
chr1:33907224:33909224	TSS	Dst	1.347683557818	2.03689332425	0.407264949473323	0.0156349709547354
chr1:34010824:34012824	TSS	Dst	1.5277715733715	2.0393010260025	0.286806303140996	0.0185236683832321
chr1:34848958:34850958	TSS	Plekhb2	1.4114704568645	2.37653593555	0.50953740765488	0.0076569114771563
chr1:36470596:36472596	TSS	Cnnm4	1.449942069367	3.72656036099	0.87959711108104	0.0259655349642902
chr1:37889552:37891552	TSS	Mrpl30	1.317538394431	1.6363911135415	0.215883769907124	0.0376189107195159
chr1:38128662:38130662	TSS	Rev1	1.06000523025605	1.584085785123	0.396416425772559	0.0189161440979255
chr1:39576347:39578347	TSS	Rnf149	1.2400681359105	1.615777629674	0.263116095617723	0.0180750754013242
chr1:39899912:39901912	TSS	Map4k4	1.261989241353	2.03450345545	0.468688563967515	0.00318766861474643
chr1:42696145:42698145	TSS	Pou3f3	1.320356475308	1.8221049703885	0.319334702271449	0.001141394223786
