location	feature	gene	median_WT	median_KO	rratio	pvals
1:5587492:5589492	  TSS	  Oprk1	1	1.11111111111111	0.105263157894737	0.0114062409587205
1:6486230:6488230	  TSS	  St18	1.69230769230769	1.93333333333333	0.132956152758133	0.00589878303228344
1:6729050:6731050	  TSS	  St18	1.11764705882353	1.28571428571429	0.13986013986014	0.00860895901091267
1:9600266:9602266	  TSS	  3110035E14Rik	1.17424242424242	1.33333333333333	0.126888217522658	2.91024514740544e-08
1:9907637:9909637	  TSS	  Mcmdc2	1.47883597883598	1.59166666666667	0.0734933011674494	9.73581027025243e-06
1:10008136:10010136	  TSS	  Ppp1r42	1	1.09545454545455	0.0911062906724512	0.0175793991669967
1:11262962:11264962	  TSS	  Prex2	1.88235294117647	1.984375	0.0527691942001424	0.0188721011151508
1:13667770:13669770	  TSS	  Xkr9	1.71008403361345	1.85714285714286	0.0824499411071848	0.0155625139444351
1:15311451:15313451	  TSS	  Kcnb2	1.83333333333333	1.92857142857143	0.0506329113924056	0.00019099800539085
1:19211053:19213053	  TSS	  Tfap2b	1	1.06458333333333	0.0625630676084764	0.000132978962890955
1:20729904:20731904	  TSS	  Il17a	1.82352941176471	1.90909090909091	0.0458452722063037	0.000476527188730174
1:24176609:24178609	  TSS	  Col9a1	1.83333333333333	1.94117647058824	0.0571428571428572	0.00533052777051698
1:24194202:24196202	  TSS	  Col9a1	1.64285714285714	1.72727272727273	0.0500963391136801	0.00525977145740023
1:31221656:31223656	  TSS	  4931428L18Rik	1.8	1.875	0.0408163265306122	0.000444544054278537
1:32546293:32548293	  TSS	  Gm5415	1.875	2	0.0645161290322581	0.0145657638206669
1:33837914:33839914	  TSS	  Gm15455	1.88888888888889	2	0.0571428571428571	1.26173720909347e-05
1:34497429:34499429	  TSS	  Prss39	1.91987179487179	2	0.0408830744071954	0.00141757280703312
1:34559943:34561943	  TSS	  Prss40	1.75	1.88235294117647	0.0728744939271257	7.17492972835711e-05
1:34635210:34637210	  TSS	  AA619741	1.7	1.81666666666667	0.0663507109004738	0.00386520854147036
1:36272425:36274425	  TSS	  Neurl3	1.625	1.77777777777778	0.089795918367347	5.14068649807998e-09
1:36592332:36594332	  TSS	  Fam178b	1.84412955465587	1.88	0.0192638010131976	0.000104496884509118
1:36713537:36715537	  TSS	  4933424G06Rik	1.8	1.875	0.0408163265306122	0.000263209709443279
1:36760797:36762797	  TSS	  Zap70	1.8	1.90909090909091	0.0588235294117647	5.50877872364502e-06
1:36777983:36779983	  TSS	  Zap70	1.92307692307692	2	0.0392156862745099	5.62103806363635e-06
