gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Alx3	negative	up	hypo	DMRs_CHH	gene	2.24581661910903	-0.0600000000000001	3:107596030:107604875	0
Arrb1	negative	up	hypo	DMRs_CHH	gene	2.28668695413318	-0.0600000000000001	7:99536485:99605771	0
Clip4	negative	up	hypo	DMRs_CHH	TSS	2.26777911042805	-0.0600000000000001	17:71768690:71770690	0
Clstn1	negative	up	hypo	DMRs_CHH	gene	1.93684936045147	-0.0600000000000001	4:149587467:149647899	0
Fxr1	negative	up	hypo	DMRs_CHH	TSS	1.14001357193875	-0.0600000000000001	3:34019078:34021078	0
Mab21l1	negative	up	hypo	DMRs_CHH	TSS	1.8814523190018	-0.0600000000000001	3:55781509:55783509	0
Meis3	negative	up	hypo	DMRs_CHH	gene	1.12161346176942	-0.0600000000000001	7:16176394:16185508	0
Pced1b	negative	up	hypo	DMRs_CHH	TES	1.56592800395198	-0.0600000000000001	15:97384691:97386691	0
Pex2	negative	up	hypo	DMRs_CHH	TES	1.37990258071938	-0.0600000000000001	3:5559187:5561187	0
Sparc	negative	up	hypo	DMRs_CHH	TES	1.7189560061526	-0.0600000000000001	11:55393158:55395158	0
Tnfaip8	negative	up	hypo	DMRs_CHH	gene	1.17595860804295	-0.0600000000000001	18:49980426:50092229	0
3110039I08Rik	positive	down	hypo	DMRs_CHH	gene	-1.611823316909	-0.0600000000000001	9:41377560:41431079	0
Cpne7	positive	down	hypo	DMRs_CHH	gene	-1.72385401432536	-0.0600000000000001	8:123118373:123134185	0
D2hgdh	positive	down	hypo	DMRs_CHH	gene	-1.54072814385398	-0.0600000000000001	1:93826239:93851174	0
Elmod3	positive	down	hypo	DMRs_CHH	TES	-1.47426488714233	-0.0600000000000001	6:72564921:72566921	0
Eri3	positive	down	hypo	DMRs_CHH	gene	-1.0457794546302	-0.0600000000000001	4:117551323:117673297	0
Htr3a	positive	down	hypo	DMRs_CHH	TES	-1.25410557426171	-0.0600000000000001	9:48898212:48900212	0
Itgb8	positive	down	hypo	DMRs_CHH	gene	-1.02112970129743	-0.0600000000000001	12:119163802:119237276	0
Piwil2	positive	down	hypo	DMRs_CHH	gene	-2.37502912070281	-0.0600000000000001	14:70373479:70428094	0
Sspo	positive	down	hypo	DMRs_CHH	gene	-1.39447735985349	-0.0600000000000001	6:48449228:48500250	0
Stox2	positive	down	hypo	DMRs_CHH	TSS	-2.52358091246712	-0.0625	8:47351348:47353348	0
Tlk1	positive	down	hypo	DMRs_CHH	TES	-2.15010966848325	-0.0600000000000001	2:70711407:70713407	0
Tmem150b	positive	down	hypo	DMRs_CHH	TSS	-1.35160646640115	-0.0600000000000001	7:4724082:4726082	0
Tnrc18	positive	down	hypo	DMRs_CHH	gene	-2.07767400252255	-0.0600000000000001	5:142755793:142816387	0
Ugt1a6a	positive	down	hypo	DMRs_CHH	TSS	-1.65885673161241	-0.0775000000000001	1:88133808:88135808	0
Wnt7b	positive	down	hypo	DMRs_CHH	gene	-1.33736764220331	-0.0600000000000001	15:85536436:85577070	0
