location	feature	gene	median_WT	median_KO	rratio	pvals
1:4496354:4498354	  TSS	  Sox17	1.1	1	-0.0952380952380953	5.3979291013205e-09
1:4856693:4858693	  TSS	  Tcea1	1.1	1	-0.0952380952380953	6.41226386668967e-06
1:5017734:5019734	  TSS	  Rgs20	1.125	1	-0.117647058823529	0.014946621124354
1:5018539:5020539	  TSS	  Rgs20	1.11111111111111	1	-0.105263157894737	1.26680676802197e-09
1:5916398:5918398	  TSS	  Npbwr1	1.1	1	-0.0952380952380953	0.0054085775229854
1:6213661:6215661	  TSS	  Rb1cc1	1.10555555555556	1	-0.100263852242744	0.000344315060598288
1:6729050:6731050	  TSS	  St18	1.33333333333333	1.13392857142857	-0.161640530759951	0.00105286460655638
1:9298877:9300877	  TSS	  Sntg1	1.09166666666667	1	-0.0876494023904381	4.17542196469209e-06
1:9600266:9602266	  TSS	  3110035E14Rik	1.30769230769231	1.15384615384615	-0.125	1.46896807611491e-05
1:9699209:9701209	  TSS	  Mybl1	1.14285714285714	1	-0.133333333333333	0.0116836060202652
1:9966485:9968485	  TSS	  Tcf24	1.16666666666667	1	-0.153846153846154	2.02777526194881e-05
1:10008136:10010136	  TSS	  Ppp1r42	1.19354838709677	1.125	-0.0591304347826085	0.000939131860019508
1:10037159:10039159	  TSS	  Cops5	1.11111111111111	1	-0.105263157894737	2.002167182035e-08
1:10037217:10039217	  TSS	  Cspp1	1.11111111111111	1	-0.105263157894737	2.002167182035e-08
1:10231670:10233670	  TSS	  Arfgef1	1.11111111111111	1	-0.105263157894737	1.60171175594658e-10
1:10992464:10994464	  TSS	  Prex2	1.12132352941176	1	-0.114384748700173	0.000975689277163373
1:11262962:11264962	  TSS	  Prex2	1.92980295566502	1.8	-0.0696031169517271	0.0020635079054207
1:12691429:12693429	  TSS	  Sulf1	1.11111111111111	1	-0.105263157894737	0.00311482711564979
1:12990135:12992135	  TSS	  Slco5a1	1.2	1.05882352941176	-0.125	0.00543027097153086
1:13126163:13128163	  TSS	  Prdm14	1.18181818181818	1	-0.166666666666667	3.75823201279058e-11
1:13371429:13373429	  TSS	  Ncoa2	1.25	1.125	-0.105263157894737	0.00132575806028098
1:13373083:13375083	  TSS	  Ncoa2	1.14285714285714	1	-0.133333333333333	4.56033915040378e-11
1:15311451:15313451	  TSS	  Kcnb2	1.9597423510467	1.84313725490196	-0.0613246319774831	4.33925744095585e-05
1:16104881:16106881	  TSS	  Rdh10	1.09090909090909	1	-0.0869565217391304	0.000929321023885675
