name_comb,median_WT,median_KO,rratio,pvals
"chr1:85930756:85932756:+:NR_037692||3:0||TES:1000:1000||4933407L21Rik:+:85928482:85931756||85931177||Neil1_vs_WT||chr1:85930756:85932756:+:NR_037692||5:0||TES:1000:1000||4933407L21Rik:+:85928482:85931756||85931177, 85931756, 85932624||",1.380313026995,1.895070142732,0.3143187157427473,0.03579363746641121
"chr1:170906272:170908272:-:NM_001029984||5:0||TES:1000:1000||Fcrlb:-:170907272:170912941||170907253, 170907519||Neil1_vs_WT||chr1:170906272:170908272:-:NM_001029984||6:0||TES:1000:1000||Fcrlb:-:170907272:170912941||170906757, 170907253, 170907519||",1.3406315696345,1.8375557123539998,0.31270916319858205,0.028113313719926
"chr2:13075966:13077966:-:NM_009105||4:0||TES:1000:1000||Rsu1:-:13076966:13271415||13076521, 13077375, 13077531||Neil1_vs_WT||chr2:13075966:13077966:-:NM_009105||4:0||TES:1000:1000||Rsu1:-:13076966:13271415||13076521, 13077375, 13077531||",1.324592386927,1.656318915048,0.22256719138285996,0.007600819020881956
"chr2:27182204:27184204:+:NM_138942||4:0||TES:1000:1000||Dbh:+:27165506:27183204||27182514, 27183934||Neil1_vs_WT||chr2:27182204:27184204:+:NM_138942||5:0||TES:1000:1000||Dbh:+:27165506:27183204||27182514, 27183769, 27183934||",1.4988641850495,2.52786885944,0.5110866119116941,0.007659032560946445
"chr2:32307470:32309470:-:NR_125959||4:0||TES:1000:1000||Dnm1:-:32308470:32353329||32307671, 32307710, 32308920, 32309188||Neil1_vs_WT||chr2:32307470:32309470:-:NR_125959||4:0||TES:1000:1000||Dnm1:-:32308470:32353329||32307671, 32307710, 32308920, 32309188||",1.1548827690925,1.6086940686945,0.32842314597295585,0.03727921970587132
"chr2:145752672:145754672:+:NR_033220||3:0||TES:1000:1000||BC039771:+:145701194:145753672||145753686, 145754164||Neil1_vs_WT||chr2:145752672:145754672:+:NR_033220||4:0||TES:1000:1000||BC039771:+:145701194:145753672||145753686, 145753984, 145754164||",1.2431351381045,1.582538258908,0.24022813192943016,0.009581336235055856
"chr2:150831514:150833514:-:NM_024465||5:0||TES:1000:1000||Abhd12:-:150832514:150904731||150831587, 150833114||Neil1_vs_WT||chr2:150831514:150833514:-:NM_024465||6:0||TES:1000:1000||Abhd12:-:150832514:150904731||150831587, 150832921, 150833114||",1.281239117597,1.975200417904,0.4262086200229324,0.003415358118082144
"chr2:163725158:163727158:+:NM_001277096&NM_001164053&NM_011106||3:0||TES:1000:1000||Pkig:+:163658385&163658457&163694036:163726158||163725306, 163725362, 163727120||Neil1_vs_WT||chr2:163725158:163727158:+:NM_001277096&NM_001164053&NM_011106||3:0||TES:1000:1000||Pkig:+:163658385&163658457&163694036:163726158||163725306, 163725362, 163727120||",1.257003769978,1.97342857008,0.4435473179352438,0.012448957670970848
"chr3:88168167:88170167:+:NM_133665||3:0||TES:1000:1000||Mef2d:+:88142394:88169167||88168228, 88168370, 88169656||Neil1_vs_WT||chr3:88168167:88170167:+:NM_133665||3:0||TES:1000:1000||Mef2d:+:88142394:88169167||88168228, 88168370, 88169656||",1.484206161913,2.0084056348,0.3001762024513228,0.049358749595051286
"chr3:89267245:89269245:-:NM_009057||3:0||TES:1000:1000||Slc50a1:-:89268245:89270570||89267874, 89269118, 89269132||Neil1_vs_WT||chr3:89267245:89269245:-:NM_009057||3:0||TES:1000:1000||Slc50a1:-:89268245:89270570||89267874, 89269118, 89269132||",1.548616988197,2.30253081165,0.3915268188268193,0.006259953676161701
"chr3:89338639:89340639:-:NM_001037722||3:0||TES:1000:1000||Adam15:-:89339639:89350010||89338717, 89339717, 89340613||Neil1_vs_WT||chr3:89338639:89340639:-:NM_001037722||3:0||TES:1000:1000||Adam15:-:89339639:89350010||89338717, 89339717, 89340613||",1.244362744149,1.7372850435599998,0.3306375095294172,0.03716061122711278
"chr3:135341767:135343767:+:NM_178877||4:0||TES:1000:1000||Slc9b2:+:135307699:135342767||135341771, 135341990, 135342347||Neil1_vs_WT||chr3:135341767:135343767:+:NM_178877||4:0||TES:1000:1000||Slc9b2:+:135307699:135342767||135341771, 135341990, 135342347||",2.20363937451,3.16919871168,0.3594224585519569,0.04030414581354198
"chr4:83219300:83221300:-:NM_027238||3:0||TES:1000:1000||Ttc39b:-:83220300:83324189||83219511, 83219800, 83220168||Neil1_vs_WT||chr4:83219300:83221300:-:NM_027238||3:0||TES:1000:1000||Ttc39b:-:83220300:83324189||83219511, 83219800, 83220168||",1.184182421759,1.4028193270299998,0.16902725742133418,0.012854281880564696
"chr4:136245573:136247573:+:NM_001008232||4:0||TES:1000:1000||Asap3:+:136206364:136246573||136246076, 136246671, 136246734||Neil1_vs_WT||chr4:136245573:136247573:+:NM_001008232||4:0||TES:1000:1000||Asap3:+:136206364:136246573||136246076, 136246671, 136246734||",1.460859174189,1.88998466066,0.25612980348893993,0.034014961870523476
"chr4:137657537:137659537:+:NM_130879||5:0||TES:1000:1000||Usp48:+:137594188:137658537||137657779, 137658592, 137659489||Neil1_vs_WT||chr4:137657537:137659537:+:NM_130879||5:0||TES:1000:1000||Usp48:+:137594188:137658537||137657779, 137658592, 137659489||",1.910839784422,2.49103213263,0.2636116448370281,0.012385701686150828
"chr4:141575061:141577061:-:NM_001163256&NM_133754||5:0||TES:1000:1000||Fblim1:-:141576061:141599924&141606052||141575101, 141575340, 141575549||Neil1_vs_WT||chr4:141575061:141577061:-:NM_001163256&NM_133754||5:0||TES:1000:1000||Fblim1:-:141576061:141599924&141606052||141575101, 141575340, 141575549||",1.287489338966,1.781303169542,0.3218294030677783,0.004533234460974338
"chr4:153963448:153965448:-:NM_007859||3:0||TES:1000:1000||Dffb:-:153964448:153975081||153963881, 153964649, 153965332||Neil1_vs_WT||chr4:153963448:153965448:-:NM_007859||3:0||TES:1000:1000||Dffb:-:153964448:153975081||153963881, 153964649, 153965332||",1.371233304465,2.9699344894300004,0.7365304733040999,0.04057331176559193
"chr5:67056159:67058159:+:NM_001001980&NM_001256122||3:0||TES:1000:1000||Limch1:+:66745839&66968415:67057159||67056936, 67057308, 67057926||Neil1_vs_WT||chr5:67056159:67058159:+:NM_001001980&NM_001256122||3:0||TES:1000:1000||Limch1:+:66745839&66968415:67057159||67056936, 67057308, 67057926||",1.4194559336669998,2.05815295736,0.36731964042361376,0.01178287038423175
"chr5:103854322:103856322:+:NM_133919&NM_001080798||5:0||TES:1000:1000||Aff1:+:103754161&103754572:103855322||103854444, 103854470, 103854977, 103855820||Neil1_vs_WT||chr5:103854322:103856322:+:NM_133919&NM_001080798||5:0||TES:1000:1000||Aff1:+:103754161&103754572:103855322||103854444, 103854470, 103854977, 103855820||",1.3091481736425001,1.6197691078960001,0.21210632079738165,0.006055323897292703
"chr5:110104952:110106952:+:NM_207279&NM_001281812||6:0||TES:1000:1000||Plcxd1:+:110099968&110100558:110105952||110105313, 110106687||Neil1_vs_WT||chr5:110104952:110106952:+:NM_207279&NM_001281812||6:0||TES:1000:1000||Plcxd1:+:110099968&110100558:110105952||110105313, 110106281, 110106687||",1.571551082148,2.59927533208,0.492815642687075,0.037570019932524505
"chr5:112352772:112354772:-:NM_001039228||4:0||TES:1000:1000||Gm6583:-:112353772:112356033||112354063, 112354688||Neil1_vs_WT||chr5:112352772:112354772:-:NM_001039228||5:0||TES:1000:1000||Gm6583:-:112353772:112356033||112353243, 112354063, 112354688||",1.9845297642325,3.44066164986,0.5368038745490327,0.017020025033886846
"chr5:127564790:127566790:+:NM_175432||4:0||TES:1000:1000||Tmem132c:+:127241825:127565790||127565018, 127565141, 127565932||Neil1_vs_WT||chr5:127564790:127566790:+:NM_175432||4:0||TES:1000:1000||Tmem132c:+:127241825:127565790||127565018, 127565141, 127565932||",1.531590257922,2.6411546258099996,0.5318150995589421,0.013575092357717167
"chr5:139426800:139428800:+:NM_029771||3:0||TES:1000:1000||Gper1:+:139423178:139427800||139427851, 139428693||Neil1_vs_WT||chr5:139426800:139428800:+:NM_029771||4:0||TES:1000:1000||Gper1:+:139423178:139427800||139426936, 139427851, 139428693||",1.4462709437944998,1.950263150011,0.29676852479453475,0.029987126050999922
"chr5:143331704:143333704:+:NR_027874||4:0||TES:1000:1000||0610040B10Rik:+:143329307:143332704||143332467, 143332910, 143333295||Neil1_vs_WT||chr5:143331704:143333704:+:NR_027874||5:0||TES:1000:1000||0610040B10Rik:+:143329307:143332704||143332208, 143332467, 143332910, 143333295||",1.50948142435,2.1026473326335,0.3284301021311625,0.027650277976000205
"chr6:88834913:88836913:-:NM_030251||4:0||TES:1000:1000||Abtb1:-:88835913:88841935||88835256, 88835707, 88836389, 88836578||Neil1_vs_WT||chr6:88834913:88836913:-:NM_030251||4:0||TES:1000:1000||Abtb1:-:88835913:88841935||88835256, 88835707, 88836389, 88836578||",1.5733950851705,1.8815326992195,0.17837571913440414,0.04696585382543991
"chr6:114861091:114863091:-:NM_177683||9:0||TES:1000:1000||Vgll4:-:114862091:114921752||114861475, 114861906, 114862247, 114862768||Neil1_vs_WT||chr6:114861091:114863091:-:NM_177683||10:0||TES:1000:1000||Vgll4:-:114862091:114921752||114861475, 114861906, 114862247, 114862358, 114862768||",1.3831654182730002,1.754389216995,0.23663256381209835,0.04516646967500261
"chr7:25703996:25705996:+:NM_011577||5:0||TES:1000:1000||Tgfb1:+:25687001:25704996||25704768, 25705566||Neil1_vs_WT||chr7:25703996:25705996:+:NM_011577||6:0||TES:1000:1000||Tgfb1:+:25687001:25704996||25704768, 25705566, 25705917||",1.202490203532,1.389081183119,0.14399833286330976,0.04382426694444594
"chr7:44861929:44863929:+:NM_021549&NM_001290767||5:0||TES:1000:1000||Pnkp:+:44857145&44857402:44862929||44862558, 44862580, 44863524, 44863853||Neil1_vs_WT||chr7:44861929:44863929:+:NM_021549&NM_001290767||5:0||TES:1000:1000||Pnkp:+:44857145&44857402:44862929||44862558, 44862580, 44863524, 44863853||",1.3821909944980002,1.5716413989005,0.12827430887812152,0.028658063721316556
"chr7:44862067:44864067:-:NM_133949||5:0||TES:1000:1000||Ptov1:-:44863067:44869788||44862558, 44862580, 44863524, 44863853||Neil1_vs_WT||chr7:44862067:44864067:-:NM_133949||5:0||TES:1000:1000||Ptov1:-:44863067:44869788||44862558, 44862580, 44863524, 44863853||",1.3821909944980002,1.5716413989005,0.12827430887812152,0.028658063721316556
"chr7:45885844:45887844:-:NM_021482||4:0||TES:1000:1000||Syngr4:-:45886844:45896711||45886447, 45887176, 45887837||Neil1_vs_WT||chr7:45885844:45887844:-:NM_021482||4:0||TES:1000:1000||Syngr4:-:45886844:45896711||45886447, 45887176, 45887837||",1.51383121304,2.1491106266699997,0.3468684142035387,0.01689307230477182
"chr7:99459984:99461984:+:NM_201352||3:0||TES:1000:1000||Gdpd5:+:99381548:99460984||99460198, 99461430||Neil1_vs_WT||chr7:99459984:99461984:+:NM_201352||4:0||TES:1000:1000||Gdpd5:+:99381548:99460984||99460198, 99461056, 99461430||",1.8650082694824999,3.52165664017,0.6150924174692621,0.010696921924528199
"chr7:101411586:101413586:+:NM_001040111&NM_001040112&NM_027180&NM_198096||3:0||TES:1000:1000||Arap1:+:101348068&101378121&101385525&101394387:101412586||101411718, 101412147, 101412583||Neil1_vs_WT||chr7:101411586:101413586:+:NM_001040111&NM_001040112&NM_027180&NM_198096||3:0||TES:1000:1000||Arap1:+:101348068&101378121&101385525&101394387:101412586||101411718, 101412147, 101412583||",2.289790182,3.01066405737,0.2720045651995598,0.04798830102602378
"chr7:102110265:102112265:-:NM_001081424||5:0||TES:1000:1000||Chrna10:-:102111265:102116713||102110801, 102112161, 102112180||Neil1_vs_WT||chr7:102110265:102112265:-:NM_001081424||5:0||TES:1000:1000||Chrna10:-:102111265:102116713||102110801, 102112161, 102112180||",2.88667703076,7.294500183099999,0.8658769137893941,0.005101158973826808
"chr7:127767928:127769928:+:NM_172748||4:0||TES:1000:1000||Fbxl19:+:127746774:127768928||127768746, 127769387, 127769478||Neil1_vs_WT||chr7:127767928:127769928:+:NM_172748||4:0||TES:1000:1000||Fbxl19:+:127746774:127768928||127768746, 127769387, 127769478||",1.293471521435,1.6494955708510002,0.2419490522671475,0.025450875962795366
"chr8:3514231:3516231:+:NM_053177||4:0||TES:1000:1000||Mcoln1:+:3500518:3515231||3514609, 3515020||Neil1_vs_WT||chr8:3514231:3516231:+:NM_053177||5:0||TES:1000:1000||Mcoln1:+:3500518:3515231||3514609, 3515020, 3515531||",1.2323208778135,1.7284513186980002,0.33513584156799425,0.02016709098081454
"chr8:3642644:3644644:+:NM_011503||3:0||TES:1000:1000||Stxbp2:+:3631159:3643644||3642882, 3643353, 3643904||Neil1_vs_WT||chr8:3642644:3644644:+:NM_011503||3:0||TES:1000:1000||Stxbp2:+:3631159:3643644||3642882, 3643353, 3643904||",1.157672657858,2.19557175368,0.6190417210572235,0.006402875832599364
"chr8:83668761:83670761:-:NM_001199593&NM_177262||5:0||TES:1000:1000||Pkn1:-:83669761:83694061&83699179||83668948||Neil1_vs_WT||chr8:83668761:83670761:-:NM_001199593&NM_177262||7:0||TES:1000:1000||Pkn1:-:83669761:83694061&83699179||83668948, 83669112, 83670738||",1.591448653827,1.8651254290500001,0.1583514593705518,0.039616542394522024
"chr8:86059642:86061642:+:NM_199446||3:0||TES:1000:1000||Phkb:+:85841001:86060642||86060205, 86061150, 86061212||Neil1_vs_WT||chr8:86059642:86061642:+:NM_199446||3:0||TES:1000:1000||Phkb:+:85841001:86060642||86060205, 86061150, 86061212||",1.285444734965,2.41786925467,0.6115735921255828,0.0220047390784897
"chr9:67026889:67028889:-:NM_001164251&NM_001164254||5:0||TES:1000:1000||Tpm1:-:67027889:67049213&67043871||67027624, 67028300, 67028476||Neil1_vs_WT||chr9:67026889:67028889:-:NM_001164251&NM_001164254||6:0||TES:1000:1000||Tpm1:-:67027889:67049213&67043871||67027624, 67027714, 67028300, 67028476||",1.594835791715,2.5526921613,0.4618926649493449,0.015223154122518127
"chr9:99583343:99585343:+:NM_031403||3:0||TES:1000:1000||Dbr1:+:99575798:99584343||99583576, 99583602, 99584773||Neil1_vs_WT||chr9:99583343:99585343:+:NM_031403||3:0||TES:1000:1000||Dbr1:+:99575798:99584343||99583576, 99583602, 99584773||",1.199574861571,3.84621602678,1.0490490881495649,0.04730516667225868
"chr10:81394079:81396079:+:NM_001099917||5:0||TES:1000:1000||Smim24:+:81393063:81395079||81394957, 81395963||Neil1_vs_WT||chr10:81394079:81396079:+:NM_001099917||6:0||TES:1000:1000||Smim24:+:81393063:81395079||81394694, 81394957, 81395963||",1.2664455968455,1.6997758534779999,0.2921766050779793,0.03873706307474699
"chr11:68971515:68973515:+:NM_028048||4:0||TES:1000:1000||Slc25a35:+:68968130:68972515||68971892, 68973248||Neil1_vs_WT||chr11:68971515:68973515:+:NM_028048||5:0||TES:1000:1000||Slc25a35:+:68968130:68972515||68971892, 68972777, 68973248||",1.299211412763,1.6444840350780001,0.234584472770941,0.039178705287669806
"chr11:68971483:68973483:-:NM_001285441||4:0||TES:1000:1000||Rangrf:-:68972483:68975185||68971892, 68973248||Neil1_vs_WT||chr11:68971483:68973483:-:NM_001285441||5:0||TES:1000:1000||Rangrf:-:68972483:68975185||68971892, 68972777, 68973248||",1.299211412763,1.6444840350780001,0.234584472770941,0.039178705287669806
"chr11:70668462:70670462:-:NM_001190379||3:0||TES:1000:1000||Camta2:-:70669462:70688105||70669341, 70669572||Neil1_vs_WT||chr11:70668462:70670462:-:NM_001190379||5:0||TES:1000:1000||Camta2:-:70669462:70688105||70669341, 70669453, 70669538, 70669572||",1.5199818513174999,1.7751809745425,0.15489317931255542,0.0378163175288745
"chr11:85765832:85767832:-:NR_046194||3:0||TES:1000:1000||Bcas3os2:-:85766832:85775680||85766914, 85766946||Neil1_vs_WT||chr11:85765832:85767832:-:NR_046194||4:0||TES:1000:1000||Bcas3os2:-:85766832:85775680||85766914, 85766946, 85767752||",1.0694593033184001,1.830076967363,0.5246478009160083,0.03520958808514305
"chr11:96305121:96307121:+:NM_008268||3:0||TES:1000:1000||Hoxb5:+:96303511:96306121||96305143, 96306735, 96306796||Neil1_vs_WT||chr11:96305121:96307121:+:NM_008268||3:0||TES:1000:1000||Hoxb5:+:96303511:96306121||96305143, 96306735, 96306796||",1.407879178333,1.6378124668999998,0.15098921056363834,0.04719320214203921
"chr11:101768741:101770741:-:NM_008815||3:0||TES:1000:1000||Etv4:-:101769741:101785310||101768861, 101770482||Neil1_vs_WT||chr11:101768741:101770741:-:NM_008815||4:0||TES:1000:1000||Etv4:-:101769741:101785310||101768861, 101769748, 101770482||",1.219355844992,1.5810711864620002,0.2583287030208354,0.03809923312826393
"chr11:115395132:115397132:+:NM_001080929||3:0||TES:1000:1000||Cdr2l:+:115381915:115396132||115395745, 115396118||Neil1_vs_WT||chr11:115395132:115397132:+:NM_001080929||4:0||TES:1000:1000||Cdr2l:+:115381915:115396132||115395467, 115395745, 115396118||",1.7212836582795,2.62974157711,0.41758338308013776,0.03580058090412274
"chr11:116244165:116246165:-:NM_146032||3:0||TES:1000:1000||Srp68:-:116245165:116274217||116244303, 116244399, 116244447||Neil1_vs_WT||chr11:116244165:116246165:-:NM_146032||3:0||TES:1000:1000||Srp68:-:116245165:116274217||116244303, 116244399, 116244447||",1.453667148087,2.60499912632,0.5673449849735269,0.023150248150360916
"chr11:116286997:116288997:-:NM_001162872||3:0||TES:1000:1000||Exoc7:-:116287997:116306738||116287477||Neil1_vs_WT||chr11:116286997:116288997:-:NM_001162872||5:0||TES:1000:1000||Exoc7:-:116287997:116306738||116287477, 116288438, 116288482||",1.231966981336,2.35720706268,0.6270189561969227,0.03233597395641084
"chr12:85812585:85814585:+:NM_145447||4:0||TES:1000:1000||Mfsd7c:+:85746538:85813585||85813934, 85814519||Neil1_vs_WT||chr12:85812585:85814585:+:NM_145447||5:0||TES:1000:1000||Mfsd7c:+:85746538:85813585||85812777, 85813934, 85814519||",1.3431284190925,1.638495955902,0.19812524963681585,0.032134111324139306
"chr13:43394203:43396203:+:NM_178848||4:0||TES:1000:1000||Sirt5:+:43370715:43395203||43396116||Neil1_vs_WT||chr13:43394203:43396203:+:NM_178848||6:0||TES:1000:1000||Sirt5:+:43370715:43395203||43394747, 43396107, 43396116||",1.5477022566,2.4496000495,0.4512532322229808,0.011092559266912305
"chr13:56536786:56538786:+:NM_178674||4:0||TES:1000:1000||Fbxl21:+:56522507:56537786||56538558||Neil1_vs_WT||chr13:56536786:56538786:+:NM_178674||6:0||TES:1000:1000||Fbxl21:+:56522507:56537786||56536944, 56536969, 56538558||",2.04423496337,2.7137893022100004,0.2814421707277199,0.04332051605025838
"chr13:95349682:95351682:-:NM_025630||3:0||TES:1000:1000||Aggf1:-:95350682:95375357||95350028, 95350104, 95351588||Neil1_vs_WT||chr13:95349682:95351682:-:NM_025630||3:0||TES:1000:1000||Aggf1:-:95350682:95375357||95350028, 95350104, 95351588||",1.589601371603,3.57593053631,0.7690705236624994,0.0015017192244740814
"chr14:64805296:64807296:+:NM_001081177||4:0||TES:1000:1000||Kif13b:+:64652530:64806296||64806106, 64806274, 64806725||Neil1_vs_WT||chr14:64805296:64807296:+:NM_001081177||4:0||TES:1000:1000||Kif13b:+:64652530:64806296||64806106, 64806274, 64806725||",1.7404849044530002,2.1408210373900003,0.2062893979168796,0.026790547058459395
"chr14:66310424:66312424:+:NM_029979||3:0||TES:1000:1000||Trim35:+:66297024:66311424||66310591, 66311150, 66312012||Neil1_vs_WT||chr14:66310424:66312424:+:NM_029979||3:0||TES:1000:1000||Trim35:+:66297024:66311424||66310591, 66311150, 66312012||",1.1416619789470002,1.5582167388010002,0.30857294227012777,0.0366014450036393
"chr15:75713419:75715419:+:NM_001163465||5:0||TES:1000:1000||Rhpn1:+:75704287:75714419||75714831, 75715310, 75715395||Neil1_vs_WT||chr15:75713419:75715419:+:NM_001163465||5:0||TES:1000:1000||Rhpn1:+:75704287:75714419||75714831, 75715310, 75715395||",1.4418104291209999,1.9910060930039999,0.3199679681936709,0.008121987190213406
"chr15:76594811:76596811:+:NM_172960||4:0||TES:1000:1000||Adck5:+:76576358:76595811||76595679, 76596218||Neil1_vs_WT||chr15:76594811:76596811:+:NM_172960||6:0||TES:1000:1000||Adck5:+:76576358:76595811||76595679, 76596128, 76596198, 76596218||",1.9013629938194998,2.945353278415,0.43080313596082864,0.03463596405059027
"chr15:76594807:76596807:-:NM_053193||4:0||TES:1000:1000||Cpsf1:-:76595807:76607591||76595679, 76596218||Neil1_vs_WT||chr15:76594807:76596807:-:NM_053193||6:0||TES:1000:1000||Cpsf1:-:76595807:76607591||76595679, 76596128, 76596198, 76596218||",1.9013629938194998,2.945353278415,0.43080313596082864,0.03463596405059027
"chr15:84784375:84786375:-:NM_001081166||3:0||TES:1000:1000||Phf21b:-:84785375:84856129||84784455, 84785551, 84785818||Neil1_vs_WT||chr15:84784375:84786375:-:NM_001081166||3:0||TES:1000:1000||Phf21b:-:84785375:84856129||84784455, 84785551, 84785818||",1.581140778276,2.81555861692,0.5615202349256677,0.03255478953109878
"chr15:89287235:89289235:-:NM_001170561||5:0||TES:1000:1000||Sbf1:-:89288235:89315311||89287562, 89287775, 89288340||Neil1_vs_WT||chr15:89287235:89289235:-:NM_001170561||6:0||TES:1000:1000||Sbf1:-:89288235:89315311||89287562, 89287775, 89288340, 89288366||",1.249299900682,1.4560280706905002,0.1528303940934896,0.031975933050297035
"chr15:98643536:98645536:+:NM_001044741&NM_007581||7:0||TES:1000:1000||Cacnb3:+:98632327&98634766:98644536||98644170, 98644260, 98644637, 98644900||Neil1_vs_WT||chr15:98643536:98645536:+:NM_001044741&NM_007581||7:0||TES:1000:1000||Cacnb3:+:98632327&98634766:98644536||98644170, 98644260, 98644637, 98644900||",1.786552334132,2.239085825895,0.22482571645732066,0.009719487318678277
"chr15:99583545:99585545:+:NM_009699||4:0||TES:1000:1000||Aqp2:+:99579055:99584545||99583751, 99584180, 99585153||Neil1_vs_WT||chr15:99583545:99585545:+:NM_009699||4:0||TES:1000:1000||Aqp2:+:99579055:99584545||99583751, 99584180, 99585153||",1.4880069824700002,1.882947828918,0.2343198699156588,0.0011025409735509193
"chr16:17924210:17926210:-:NM_153150||3:0||TES:1000:1000||Slc25a1:-:17925210:17928219||17925441||Neil1_vs_WT||chr16:17924210:17926210:-:NM_153150||5:0||TES:1000:1000||Slc25a1:-:17925210:17928219||17925233, 17925441, 17925902||",1.568884748134,2.64640736007,0.511244575358787,0.0022790919101960973
"chr16:18406074:18408074:+:NM_033474&NM_001272030&NM_001272032||3:0||TES:1000:1000||Arvcf:+:18348181&18380782&18392562:18407074||18406206, 18406554, 18407982||Neil1_vs_WT||chr16:18406074:18408074:+:NM_033474&NM_001272030&NM_001272032||3:0||TES:1000:1000||Arvcf:+:18348181&18380782&18392562:18407074||18406206, 18406554, 18407982||",1.458589204253,1.8869775195579999,0.2560931230311943,0.028770214400893925
"chr16:43968145:43970145:-:NM_001007460||3:0||TES:1000:1000||Zdhhc23:-:43969145:43979050||43969265, 43969362, 43970083||Neil1_vs_WT||chr16:43968145:43970145:-:NM_001007460||6:0||TES:1000:1000||Zdhhc23:-:43969145:43979050||43968174, 43968637, 43968653, 43969265, 43969362, 43970083||",1.309723299232,2.61319153794,0.6645406759060111,0.02164051983497399
"chr17:31162052:31164052:+:NR_110503||3:0||TES:1000:1000||LOC102631757:+:31152751:31163052||31162197, 31162703, 31163183||Neil1_vs_WT||chr17:31162052:31164052:+:NR_110503||3:0||TES:1000:1000||LOC102631757:+:31152751:31163052||31162197, 31162703, 31163183||",1.54224268016,2.31852272784,0.4021379004647361,0.03967207843298459
"chr17:34196225:34198225:+:NM_013683||5:0||TES:1000:1000||Tap1:+:34187555:34197225||34196734, 34197032, 34197771||Neil1_vs_WT||chr17:34196225:34198225:+:NM_013683||5:0||TES:1000:1000||Tap1:+:34187555:34197225||34196734, 34197032, 34197771||",1.319451111208,1.623848016464,0.20684061799506087,0.009161583771301858
