gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Col6a4	negative	down	hyper	DMR_CCGG_gene	gene	-1.76765438854654	2.22193636356	9:105991317:106095691	0
Elmod3	negative	down	hyper	DMR_CCGG_gene	gene	-1.47426488714233	0.9568163145805	6:72566921:72597413	0
Fbln7	negative	down	hyper	DMR_CCGG_gene	gene	-2.13601353279468	1.2248863934715	2:128864931:128896034	0
Fbxl17	negative	down	hyper	DMR_CCGG_gene	gene	-1.07585306015932	0.323466071677	17:63046951:63499580	0
Gpatch1	negative	down	hyper	DMR_CCGG_gene	gene	-1.3532866654537	1.201464350384	7:35277543:35317440	0
Scrib	negative	down	hyper	DMR_CCGG_gene	gene	-3.44604797977651	1.02606597148	15:76048185:76068730	0
Stox2	negative	down	hyper	DMR_CCGG_gene	gene	-2.52358091246712	1.809813086677	8:47181047:47351348	0
Tnrc18	negative	down	hyper	DMR_CCGG_gene	gene	-2.07767400252255	0.36477011002	5:142725604:142816387	0
Zbtb16	negative	down	hyper	DMR_CCGG_gene	gene	-2.0305846752032	1.046132135158	9:48655296:48834945	0
Agrn	positive	down	hypo	DMR_CCGG_gene	gene	-2.44028038800819	-2.2799561446	4:156166289:156196488	0
Madd	positive	down	hypo	DMR_CCGG_gene	gene	-2.64749031389026	-1.29864833065	2:91138359:91182047	0
Alx3	positive	up	hyper	DMR_CCGG_gene	gene	2.24581661910903	0.70792448507	3:107596030:107604875	0
Apba2	positive	up	hyper	DMR_CCGG_gene	gene	1.81700551634824	0.4885982763805	7:64502705:64752876	0
Arrb1	positive	up	hyper	DMR_CCGG_gene	gene	2.28668695413318	0.236541891771	7:99536485:99605771	0
Clstn1	positive	up	hyper	DMR_CCGG_gene	gene	1.93684936045147	0.744976125743	4:149587467:149647899	0
Dot1l	positive	up	hyper	DMR_CCGG_gene	gene	2.2562992781345	1.54810954147	10:80756205:80793347	0
Supt6	positive	up	hyper	DMR_CCGG_gene	gene	1.81068796078053	1.43443937303	11:78207748:78244703	0
Tnfaip8	positive	up	hyper	DMR_CCGG_gene	gene	1.17595860804295	0.739103217906	18:49980426:50092229	0
