gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Agrn	negative	down	hyper	DMR_CCGG_gene	gene	-1.82070698775329	0.3784643988295	4:156166289:156196488	0
Csmd2	negative	down	hyper	DMR_CCGG_gene	gene	-1.11801824548131	0.424246796004	4:127989043:128566656	0
Erdr1	negative	down	hyper	DMR_CCGG_gene	gene	-2.15330909724814	6.252870845653	Y:90786441:90815465	0
Hhipl2	negative	down	hyper	DMR_CCGG_gene	gene	-2.24625873569331	0.371388608415	1:183419502:183436053	0
Iqsec3	negative	down	hyper	DMR_CCGG_gene	gene	-2.73406267962338	0.649978296424	6:121373927:121472678	0
Nf2	negative	down	hyper	DMR_CCGG_gene	gene	-1.54822296908135	0.333362618639	11:4766844:4848544	0
Prrc2a	negative	down	hyper	DMR_CCGG_gene	gene	-1.6611025542385	0.3265513410855	17:35150085:35163877	0
Sec14l5	negative	down	hyper	DMR_CCGG_gene	gene	-1.07209626312809	0.469680344587	16:5148108:5182934	0
Slc6a6	negative	down	hyper	DMR_CCGG_gene	gene	-4.91600641750507	1.9049829191206	6:91685066:91758063	0
Trio	negative	down	hyper	DMR_CCGG_gene	gene	-1.86200802266649	0.3611800196	15:27731648:28024848	0
Apba2	negative	up	hypo	DMR_CCGG_gene	gene	2.04782443363958	-1.073151321224	7:64502705:64752876	0
Arsa	negative	up	hypo	DMR_CCGG_gene	gene	1.37675947580206	-0.657335196554	15:89473475:89476424	0
Celf5	negative	up	hypo	DMR_CCGG_gene	gene	1.71383969570326	-0.524134415949	10:81460227:81481709	0
Dot1l	negative	up	hypo	DMR_CCGG_gene	gene	2.2448903097522	-1.1327144607	10:80756205:80793347	0
Kcnk1	negative	up	hypo	DMR_CCGG_gene	gene	1.11633727907013	-0.6395386175405	8:125996101:126029688	0
Nucb2	negative	up	hypo	DMR_CCGG_gene	gene	1.00154937771054	-0.6543761523805	7:116505368:116539588	0
Pantr1	negative	up	hypo	DMR_CCGG_gene	gene	2.85280561257462	-0.5025810321325	1:42649199:42693825	0
Hif3a	positive	down	hypo	DMR_CCGG_gene	gene	-1.61756058206011	-0.74949341213	7:17031992:17061427	0
Slc16a10	positive	down	hypo	DMR_CCGG_gene	gene	-2.67837906198354	-0.673660607206	10:40034534:40141254	0
Slc25a19	positive	down	hypo	DMR_CCGG_gene	gene	-1.75224439226239	-2.11990590576	11:115615180:115627295	0
Tln2	positive	down	hypo	DMR_CCGG_gene	gene	-4.14633559131979	-0.78641571696	9:67218084:67558703	0
Cep104	positive	up	hyper	DMR_CCGG_gene	gene	2.09409799645701	0.573091535807	4:153976560:154006225	0
Ddx39b	positive	up	hyper	DMR_CCGG_gene	gene	2.4584771188401	0.576903685756	17:35242745:35252707	0
Dnajb12	positive	up	hyper	DMR_CCGG_gene	gene	1.36693836436506	0.5345729879125	10:59880590:59897016	0
Fanci	positive	up	hyper	DMR_CCGG_gene	gene	2.54881002853038	0.5422351882335	7:79393337:79449264	0
Gramd1b	positive	up	hyper	DMR_CCGG_gene	gene	1.52141958420029	0.596946794856	9:40298906:40454764	0
Macrod2	positive	up	hyper	DMR_CCGG_gene	gene	1.62886372255742	1.126771489479	2:140396429:142389050	0
Pced1b	positive	up	hyper	DMR_CCGG_gene	gene	1.38718794500971	1.354527552196	15:97248106:97384691	0
Wnt7b	positive	up	hyper	DMR_CCGG_gene	gene	1.4529763850581	0.4520379034425	15:85536436:85580821	0
