gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Ankrd13c	negative	up	hypo	DMR_CCGG_TSS	TSS	1.36183885074727	-1.840352976156	3:157946465:157948465	0
Asxl3	negative	up	hypo	DMR_CCGG_TSS	TSS	1.76194204638071	-1.148463413492	18:22344088:22346088	0
Cep104	negative	up	hypo	DMR_CCGG_TSS	TSS	2.09409799645701	-0.485487096515	4:153974560:153976560	0
Cpeb1	negative	up	hypo	DMR_CCGG_TSS	TSS	3.16067292495735	-0.438742395359	7:81453758:81455758	0
Fanci	negative	up	hypo	DMR_CCGG_TSS	TSS	2.54881002853038	-0.665864912481	7:79391337:79393337	0
Fxr1	negative	up	hypo	DMR_CCGG_TSS	TSS	1.14072037078892	-0.474771039607	3:34019078:34021078	0
Kctd12	negative	up	hypo	DMR_CCGG_TSS	TSS	6.05718618614277	-0.911992098067	14:102981637:102983637	0
Nudt21	negative	up	hypo	DMR_CCGG_TSS	TSS	1.90139744551535	-0.6819182578	8:94036039:94038039	0
Rpl10	negative	up	hypo	DMR_CCGG_TSS	TSS	1.03618875606026	-0.69079429149	X:74269815:74271815	0
Shisa9	negative	up	hypo	DMR_CCGG_TSS	TSS	1.51471160829875	-0.4649278717	16:11983112:11985112	0
Asb6	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.57100910542944	-2.0424108090185	2:30827300:30829300	0
Baz2a	positive	down	hypo	DMR_CCGG_TSS	TSS	-3.15768485433365	-0.698449666085	10:128091782:128093782	0
Cbl	positive	down	hypo	DMR_CCGG_TSS	TSS	-2.66848842610897	-0.464829940735	9:44233046:44235046	0
Ccdc137	positive	down	hypo	DMR_CCGG_TSS	TSS	-2.33857378630452	-0.875523289342	11:120457128:120459128	0
Chuk	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.61787477590532	-0.696286311458	19:44106477:44108477	0
Coq2	positive	down	hypo	DMR_CCGG_TSS	TSS	-2.31648548377251	-0.4467240230705	5:100673256:100675256	0
Kcng3	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.00815534222156	-0.389931616322	17:83630895:83632895	0
Klf7	positive	down	hypo	DMR_CCGG_TSS	TSS	-4.55277927514123	-0.640720299505	1:64120389:64122389	0
Odf2	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.42710776741037	-0.695517741274	2:29888719:29890719	0
Pbx2	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.59760600193523	-0.6758443792235	17:34591470:34593470	0
Rabep1	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.67464467891875	-0.6704635623155	11:70843760:70845760	0
Rnf214	positive	down	hypo	DMR_CCGG_TSS	TSS	-2.58284415993025	-0.5654384432255	9:45905877:45907877	0
Rps3a1	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.92860282578343	-0.469152409365	3:86141668:86143668	0
Srrm2	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.11281601447572	-0.6731334486205	17:23802186:23804186	0
