location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:20802013:20804013	  TES	  Mcm3	1.738958367493	3.07004413963	0.553580818544146	0.0437611848129339
chr1:62817692:62819692	  TES	  Nrp2	1.922440779355	2.8868075036	0.401046761367227	0.00163022955241016
chr1:64729557:64731557	  TES	  Fzd5	1.291415561428	2.58469292695	0.667307104225654	0.0192130172091545
chr1:72851471:72853471	  TES	  Igfbp2	1.584236744924	2.14140061068	0.299097208115508	0.0124302598239391
chr1:75170626:75172626	  TES	  Zfand2b	1.307261863319	2.1651885829	0.494133311831798	0.00954172894994361
chr1:75170640:75172640	  TES	  Abcb6	1.307261863319	2.1651885829	0.494133311831798	0.00954172894994361
chr1:85930756:85932756	  TES	  4933407L21Rik	1.340837068646	3.44263720025	0.878775556616126	0.0119030980560398
chr1:92510047:92512047	  TES	  Olfr1414	1.197494294873	1.926980903162	0.466949847288132	0.0393649530222837
chr1:132306357:132308357	  TES	  Klhdc8a	1.838646882574	3.530091524745	0.6301087942244	0.042698957301214
chr1:153744468:153746468	  TES	  Rgs16	1.122181426664	1.734502141072	0.4286934131058	0.00210228718425506
chr1:172629768:172631768	  TES	  Dusp23	1.195079147929	2.08191495159	0.541249557813467	0.00414940644668228
chr2:9882040:9884040	  TES	  9230102O04Rik	1.11644805131085	1.433187508836	0.248458613047354	9.36658740697209e-06
chr2:25290176:25292176	  TES	  Grin1	1.0666872333918	1.235559951319	0.146702507922418	0.0290118024283088
chr2:25400323:25402323	  TES	  Entpd2	1.182498979596	2.26222295981	0.626886000790058	0.0152867428180359
chr2:25465711:25467711	  TES	  Ptgds	1.440250703906	1.847414260307	0.247691635755511	0.0191742721664734
chr2:25489844:25491844	  TES	  Lcn12	1.3252677709235	2.1094743625	0.456632003867411	0.00295615349286278
chr2:29843996:29845996	  TES	  Urm1	1.0505875635049	1.807935068619	0.529887359717272	0.0414155571949297
chr2:30030450:30032450	  TES	  Sptan1	1.75053883493	5.05488706023	0.971092265555354	0.0248252283014494
chr2:32754007:32756007	  TES	  Sh2d3c	1.286198846157	1.631936131045	0.236957705924559	0.00936155033978596
chr2:91263680:91265680	  TES	  Pacsin3	1.3524581335875	1.9098755171405	0.341729230196066	0.0351303408957041
chr2:91619665:91621665	  TES	  Ckap5	2.09942615096	3.49683667932	0.499408469809157	0.0146117955310618
chr2:91671320:91673320	  TES	  Arhgap1	1.420816956939	2.22286678297	0.440241186273225	0.0123453366351117
chr2:127602986:127604986	  TES	  Mrps5	1.4317349724245	1.98823171471	0.325439861375827	0.0418341998461302
chr2:143946394:143948394	  TES	  Rrbp1	1.847425575391	2.63308452253	0.350700670222149	0.0428057137998967
chr2:155700672:155702672	  TES	  Edem2	1.151375170131	1.7295783578655	0.401397094479757	0.0164573070013367
chr2:156763363:156765363	  TES	  Dlgap4	2.239665695641	3.390912135115	0.408926569911005	0.0487814412564867
chr2:164791770:164793770	  TES	  Snx21	1.0712323908611	1.653374478896	0.427321896965486	0.0210598544383231
chr2:164791767:164793767	  TES	  Acot8	1.0712323908611	1.653374478896	0.427321896965486	0.0210598544383231
chr2:164890891:164892891	  TES	  Zfp335	1.405074145874	1.81018996231	0.251995358891256	0.0171375818562002
chr2:165275521:165277521	  TES	  Slc35c2	1.5595100310465	1.8260836811835	0.157475274823461	0.0499577281887198
chr2:181409546:181411546	  TES	  Zbtb46	2.03874300149	3.21732855461	0.448466327195328	0.0270982709996921
chr2:181581150:181583150	  TES	  Uckl1os	1.0500476288126	1.650386966772	0.444624238588112	0.0354836987955227
chr2:181581102:181583102	  TES	  Znf512b	1.0500476288126	1.650386966772	0.444624238588112	0.0354836987955227
chr3:37403830:37405830	  TES	  Fgf2	1.4463681044885	1.8781580537775	0.259760295893844	0.0416302166717916
chr3:37403981:37405981	  TES	  Nudt6	1.4463681044885	1.8781580537775	0.259760295893844	0.0416302166717916
chr3:51681675:51683675	  TES	  Mgst2	1.08718254736455	1.614049044017	0.390093539801216	0.00241705547338745
chr3:86129521:86131521	  TES	  Sh3d19	1.127095191221	2.03813440612	0.575654426879069	0.0285203304306154
chr3:87777243:87779243	  TES	  Ntrk1	1.159893429106	1.8826351237605	0.4750927934422	0.0127993405146628
chr3:90605045:90607045	  TES	  S100a4	1.658840751444	2.80091685873	0.512169587280077	0.00254364809315315
chr3:95240292:95242292	  TES	  Bnipl	1.501168313327	2.05635044041	0.312117610904965	0.0480393917029716
chr3:103098720:103100720	  TES	  Ampd1	1.317682699005	2.21565788126	0.508286796506694	0.0257107143063734
chr3:152461826:152463826	  TES	  Zzz3	1.183379536426	1.54355974686	0.264164451802519	0.0286154744928747
chr3:152461814:152463814	  TES	  Ak5	1.183379536426	1.54355974686	0.264164451802519	0.0286154744928747
