location	gene	feature	mean_KO.x	mean_WT.x	mean_dif.x	mean_pval.x	mean_KO.y	mean_WT.y	mean_dif.y	mean_pval.y	mean_KO.z	mean_WT.z	mean_dif.z	mean_pval.z
8:106588142:106593820	1110028F18Rik	gene	0	0.0600000000000001	-0.0600000000000001	0.00017232490382794	0	0.0600000000000001	-0.0600000000000001	0.0023712455422115	0	0.0600000000000001	-0.0600000000000001	4.41703412152956e-05
9:94518863:94537081	1190002N15Rik	gene	0	0.0600000000000001	-0.0600000000000001	3.67447493598416e-17	0	0.0600000000000001	-0.0600000000000001	2.00754724347738e-16	0	0.0600000000000001	-0.0600000000000001	1.44707483584345e-15
8:120609601:120633382	1190005I06Rik	gene	0	0.0600000000000001	-0.0600000000000001	3.9931218620753e-29	0	0.0600000000000001	-0.0600000000000001	4.33837112021733e-33	0	0.0600000000000001	-0.0600000000000001	2.18044854655161e-30
16:21808039:21810039	1300002E11Rik	TES	0	0.0600000000000001	-0.0600000000000001	3.4304175218579e-09	0	0.0625	-0.0625	2.71731287440499e-09	0	0.0600000000000001	-0.0600000000000001	4.90815633374173e-11
8:79209429:79211429	1700011L22Rik	TES	0	0.0649999999999999	-0.0649999999999999	0.000341655390562471	0	0.0650000000000002	-0.0650000000000002	3.28957750226464e-05	0	0.0700000000000001	-0.0700000000000001	0.00491665957884314
4:63606090:63608090	1700018C11Rik	TES	0	0.0649999999999999	-0.0649999999999999	2.53676824312946e-06	0	0.0675000000000001	-0.0675000000000001	1.28937993824714e-08	0	0.0649999999999999	-0.0649999999999999	4.63060414647464e-07
10:110800173:110802173	1700020G17Rik	TES	0	0.0625	-0.0625	0.0074406122967255	0	0.0675000000000001	-0.0675000000000001	0.0100288413013091	0	0.0600000000000001	-0.0600000000000001	0.000523572070854788
5:112581935:112583935	1700034G24Rik	TES	0	0.0600000000000001	-0.0600000000000001	0.00155181949772493	0	0.0625	-0.0625	0.000788326850458631	0	0.0600000000000001	-0.0600000000000001	0.000370674824750548
6:147691240:147701374	1700049E15Rik	gene	0	0.0600000000000001	-0.0600000000000001	1.63753441112272e-14	0	0.0600000000000001	-0.0600000000000001	7.96707818993989e-14	0	0.0600000000000001	-0.0600000000000001	3.24074149316227e-13
19:53083392:53085392	1700054A03Rik	TES	0	0.0600000000000001	-0.0600000000000001	1.35981028134804e-08	0	0.0600000000000001	-0.0600000000000001	1.70150091258999e-07	0	0.0600000000000001	-0.0600000000000001	1.01802898022586e-07
2:158193007:158194734	1700060C20Rik	gene	0.00499999999999989	0.0700000000000001	-0.0650000000000002	0.0162419584000804	0	0.0625	-0.0625	0.00338839023893032	0.00499999999999989	0.0800000000000001	-0.0750000000000002	0.0142324029412308
8:77625171:77627956	1700092C02Rik	gene	0	0.0674999999999999	-0.0674999999999999	0.000599611705735521	0	0.0600000000000001	-0.0600000000000001	0.000296893244712664	0	0.0600000000000001	-0.0600000000000001	3.60285906592322e-06
4:11993295:11995295	1700123M08Rik	TES	0	0.0600000000000001	-0.0600000000000001	6.63160155211754e-06	0	0.0600000000000001	-0.0600000000000001	8.86927734612289e-06	0	0.0650000000000002	-0.0650000000000002	1.11935453918595e-06
15:89072197:89074854	1810021B22Rik	gene	0	0.0600000000000001	-0.0600000000000001	2.12281502310936e-08	0	0.0600000000000001	-0.0600000000000001	3.70426122162534e-07	0	0.0600000000000001	-0.0600000000000001	5.2931915567986e-06
11:57796498:57800467	2010001A14Rik	gene	0	0.0600000000000001	-0.0600000000000001	2.42963833678937e-07	0	0.0600000000000001	-0.0600000000000001	2.62772365496627e-05	0	0.0600000000000001	-0.0600000000000001	2.04657769608145e-06
12:73547482:73549482	2210039B01Rik	TSS	0	0.0600000000000001	-0.0600000000000001	9.99871782086559e-06	0	0.0625	-0.0625	6.31514670099458e-06	0	0.0600000000000001	-0.0600000000000001	1.89423336320834e-06
5:124329088:124339121	2810006K23Rik	gene	0	0.0600000000000001	-0.0600000000000001	4.53185980154226e-12	0	0.0600000000000001	-0.0600000000000001	1.9023607920539e-15	0	0.0600000000000001	-0.0600000000000001	2.34124996229021e-16
18:76090556:76092556	2900057B20Rik	TES	0	0.0600000000000001	-0.0600000000000001	5.67343702369986e-05	0	0.0600000000000001	-0.0600000000000001	1.83137875714265e-05	0	0.0600000000000001	-0.0600000000000001	4.99937199571202e-05
7:67785537:67802496	4833412C05Rik	gene	0	0.0600000000000001	-0.0600000000000001	4.53533383237121e-21	0	0.0600000000000001	-0.0600000000000001	1.11988571973237e-27	0	0.0600000000000001	-0.0600000000000001	6.13858819664896e-17
11:71929470:71939122	4930401O10Rik	gene	0	0.0600000000000001	-0.0600000000000001	1.96840969048716e-13	0	0.0600000000000001	-0.0600000000000001	5.1302135937221e-17	0	0.0600000000000001	-0.0600000000000001	3.91423482402098e-11
2:85074613:85085461	4930443O20Rik	gene	0	0.0600000000000001	-0.0600000000000001	1.29687510266089e-08	0	0.0600000000000001	-0.0600000000000001	3.70811508761287e-08	0	0.0600000000000001	-0.0600000000000001	1.54512040671887e-07
7:120155114:120157114	4930505K13Rik	TSS	0	0.0600000000000001	-0.0600000000000001	0.00100481704388474	0	0.0600000000000001	-0.0600000000000001	0.000358424339677026	0	0.0625	-0.0625	0.00189382367718393
5:148778962:148782080	4930505K14Rik	gene	0	0.0600000000000001	-0.0600000000000001	0.00104847447417417	0	0.0600000000000001	-0.0600000000000001	1.52485630487369e-12	0	0.0649999999999999	-0.0649999999999999	0.000624757457939824
8:106281228:106283228	4930506A18Rik	TSS	0	0.0600000000000001	-0.0600000000000001	1.45711776777471e-06	0	0.0650000000000002	-0.0650000000000002	3.71905367147348e-06	0	0.0600000000000001	-0.0600000000000001	2.43897101185438e-06
6:94133922:94236442	4930511A08Rik	gene	0	0.0600000000000001	-0.0600000000000001	1.03034328179444e-95	0	0.0600000000000001	-0.0600000000000001	1.97037253014455e-111	0	0.0600000000000001	-0.0600000000000001	7.69276003464043e-97
6:94944833:94950545	4930511E03Rik	gene	0	0.0600000000000001	-0.0600000000000001	8.79837380243465e-16	0	0.0649999999999999	-0.0649999999999999	2.34242280261025e-15	0	0.0649999999999999	-0.0649999999999999	3.69123739960954e-12
14:45542709:45544709	4930527F14Rik	TSS	0	0.0625	-0.0625	5.24160851395268e-05	0	0.0625	-0.0625	0.0011372183854771	0	0.0600000000000001	-0.0600000000000001	0.000127805833382659
4:119204054:119206054	4930538K18Rik	TES	0	0.0600000000000001	-0.0600000000000001	9.44777667041958e-09	0	0.0600000000000001	-0.0600000000000001	4.62106203022274e-16	0	0.0600000000000001	-0.0600000000000001	9.18598077970347e-16
13:56223223:56242940	4930550C17Rik	gene	0	0.0600000000000001	-0.0600000000000001	1.23715842767249e-24	0	0.0600000000000001	-0.0600000000000001	6.79035111688208e-24	0	0.0600000000000001	-0.0600000000000001	2.96459108336427e-27
7:125370013:125372013	4930571K23Rik	TES	0	0.0600000000000001	-0.0600000000000001	5.32024571678642e-06	0	0.0600000000000001	-0.0600000000000001	8.34741987110902e-06	0	0.0600000000000001	-0.0600000000000001	3.30248411241008e-06
14:74356526:74368741	4933402J15Rik	gene	0	0.0600000000000001	-0.0600000000000001	1.47213950734817e-13	0	0.0600000000000001	-0.0600000000000001	6.88178892145016e-17	0	0.0600000000000001	-0.0600000000000001	2.5759064077733e-15
4:124570178:124574538	4933407E24Rik	gene	0	0.0725000000000002	-0.0725000000000002	2.63138128600038e-10	0	0.0600000000000001	-0.0600000000000001	2.73375199732726e-08	0	0.0625	-0.0625	6.86758158268602e-08
2:159948340:159980289	4933416E03Rik	gene	0	0.0600000000000001	-0.0600000000000001	4.03589630957014e-40	0	0.0600000000000001	-0.0600000000000001	1.82950581327609e-33	0	0.0600000000000001	-0.0600000000000001	4.48260558001658e-38
1:72004195:72006195	4933417E11Rik	TSS	0	0.0600000000000001	-0.0600000000000001	2.00573491696546e-05	0	0.0600000000000001	-0.0600000000000001	2.85390920833645e-06	0	0.0600000000000001	-0.0600000000000001	1.97535349071315e-08
7:143323771:143329650	4933417O13Rik	gene	0	0.0600000000000001	-0.0600000000000001	3.06628979110713e-08	0	0.0600000000000001	-0.0600000000000001	9.43721029763695e-08	0	0.0600000000000001	-0.0600000000000001	1.34919561594829e-08
15:101486129:101490512	5430421N21Rik	gene	0	0.0600000000000001	-0.0600000000000001	5.39701843525799e-11	0	0.0600000000000001	-0.0600000000000001	3.59255437303796e-10	0	0.0600000000000001	-0.0600000000000001	1.52373265038194e-07
1:136214521:136233280	5730559C18Rik	gene	0	0.0600000000000001	-0.0600000000000001	2.11679094221648e-38	0	0.0600000000000001	-0.0600000000000001	8.7378756887873e-38	0	0.0600000000000001	-0.0600000000000001	1.51034874703715e-32
12:69465786:69474550	5830428M24Rik	gene	0	0.0600000000000001	-0.0600000000000001	5.06375730737352e-13	0	0.0600000000000001	-0.0600000000000001	4.81608457684414e-16	0	0.0600000000000001	-0.0600000000000001	1.76190389097815e-11
1:73619380:73863466	6030407O03Rik	gene	0	0.0600000000000001	-0.0600000000000001	2.20319508945265e-20	0	0.0600000000000001	-0.0600000000000001	1.74564883538706e-27	0	0.0600000000000001	-0.0600000000000001	3.58277345152418e-25
