feature.name	chr	start	end	pvalue	qvalue	meth.diff	dist.to.feature	ensembl_gene_id	mgi_symbol	entrezgene_description
ENSMUST00000000175.5	chr9	50592715	50592715	1.51104360523937e-21	7.13439462914905e-18	-84.6153846153846	11098	ENSMUSG00000000171	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein
ENSMUST00000002101.11	chr9	44978205	44978205	4.98263805859671e-11	9.59113423396533e-08	-72.5806451612903	2227	ENSMUSG00000002033	Cd3g	CD3 antigen, gamma polypeptide
ENSMUST00000003115.8	chr6	134914513	134914513	2.77267569135826e-20	1.11497591294558e-16	82.7586206896552	-5888	ENSMUSG00000003031	Cdkn1b	cyclin-dependent kinase inhibitor 1B
ENSMUST00000003826.7	chr9	48914053	48914053	2.04545578432208e-17	6.04149306365509e-14	-73.5226620768789	-2955	ENSMUSG00000032269	Htr3a	5-hydroxytryptamine (serotonin) receptor 3A
ENSMUST00000008036.8	chr9	61908792	61908792	1.36124778175155e-14	3.18230165731677e-11	-90.3225806451613	5751	ENSMUSG00000007892	Rplp1	ribosomal protein, large, P1
ENSMUST00000008052.12	chr9	75993059	75993059	3.63907738859366e-18	1.15829948991748e-14	-75.1450676982592	-21796	ENSMUSG00000007908	Hmgcll1	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1
ENSMUST00000008684.10	chr6	138126649	138126649	4.92687190461442e-16	1.29069887359966e-12	84.6153846153846	-13667	ENSMUSG00000008540	Mgst1	microsomal glutathione S-transferase 1
ENSMUST00000012281.7	chr9	75778296	75778296	5.78193545529855e-20	2.24810731741852e-16	-72.8675136116153	2934	ENSMUSG00000032179	Bmp5	bone morphogenetic protein 5
ENSMUST00000014447.12	chr16	4597626	4597626	1.5564215790596e-09	2.82765192677323e-06	70.5555555555556	2915	ENSMUSG00000014303	Glis2	GLIS family zinc finger 2
ENSMUST00000015501.10	chr9	65281441	65281441	1.31286839705374e-07	0.000223272353815544	-43.0172068827531	-12819	ENSMUSG00000015357	Clpx	caseinolytic mitochondrial matrix peptidase chaperone subunit
ENSMUST00000015800.15	chr9	40797677	40797677	2.71928509915714e-28	3.63006592984301e-24	-96.1538461538462	-3307	ENSMUSG00000015656	Hspa8	heat shock protein 8
ENSMUST00000020103.8	chr10	68545498	68545498	2.17038911157894e-06	0.00347857515055301	-26.3888888888889	-3603	ENSMUSG00000019945	Cabcoco1	ciliary associated calcium binding coiled-coil 1
ENSMUST00000021797.8	chr13	43200692	43200692	6.70617307107109e-19	2.31167261981137e-15	-80	-29192	ENSMUSG00000021368	Tbc1d7	TBC1 domain family, member 7
ENSMUST00000022153.7	chr13	99329540	99329540	2.69377830780591e-07	0.000453181686454799	29.6103896103896	15166	ENSMUSG00000021650	Ptcd2	pentatricopeptide repeat domain 2
ENSMUST00000022245.9	chr13	118428644	118428644	4.33816602087892e-06	0.00676213876349555	-36.557734204793	-41393	ENSMUSG00000021731	Mrps30	mitochondrial ribosomal protein S30
ENSMUST00000022610.14	chr14	65658244	65658244	6.40796609621474e-25	4.8163750030904e-21	80.8823529411765	-8159	ENSMUSG00000022032	Scara5	scavenger receptor class A, member 5
ENSMUST00000022699.9	chr14	70885435	70885435	3.76396275817299e-06	0.0059018478520141	47.1578947368421	-4685	ENSMUSG00000022103	Gfra2	glial cell line derived neurotrophic factor family receptor alpha 2
ENSMUST00000022867.4	chr15	34230933	34230933	5.27757228916082e-24	3.47069306866095e-20	85.4571843251089	-7095	ENSMUSG00000022257	Laptm4b	lysosomal-associated protein transmembrane 4B
ENSMUST00000022871.6	chr15	32873196	32873196	1.78811707301801e-13	3.88321916893952e-10	92.0588235294118	-47527	ENSMUSG00000022261	Sdc2	syndecan 2
ENSMUST00000022921.6	chr15	42844411	42844411	8.61836269250976e-16	2.21503790332173e-12	76.6666666666667	-167435	ENSMUSG00000022309	Angpt1	angiopoietin 1
ENSMUST00000023285.4	chr15	89376969	89376969	8.67061441166225e-07	0.00142521530959127	-57.563025210084	71	ENSMUSG00000022615	Tymp	thymidine phosphorylase
ENSMUST00000023312.13	chr16	52485144	52485144	5.57798693304191e-06	0.00856563313990783	36.2504323763404	-31071	ENSMUSG00000022636	Alcam	activated leukocyte cell adhesion molecule
ENSMUST00000023504.4	chr16	38285685	38285685	6.15586282695996e-06	0.00941138806247969	49.5535714285714	9140	ENSMUSG00000022809	Nr1i2	nuclear receptor subfamily 1, group I, member 2
ENSMUST00000023672.9	chr16	92421831	92421831	9.13358243605948e-07	0.0014995787854803	65.9130434782609	-21755	ENSMUSG00000022951	Rcan1	regulator of calcineurin 1
ENSMUST00000025249.6	chr17	35132583	35132583	5.26201556243287e-10	9.72615196617481e-07	-64.2272508425614	-534	ENSMUSG00000024391	Apom	apolipoprotein M
ENSMUST00000025430.10	chr18	79071018	79071018	2.60832439547909e-06	0.00415319670197311	-36.0225140712946	38374	ENSMUSG00000024548	Setbp1	SET binding protein 1
ENSMUST00000026265.7	chr9	59357240	59357240	1.00483390323464e-13	2.20952081286323e-10	-72.7272727272727	-3733	ENSMUSG00000025235	Bbs4	Bardet-Biedl syndrome 4 (human)
ENSMUST00000026573.6	chr7	141206400	141206400	4.41967825792876e-06	0.00688164168889236	-31.4285714285714	7678	ENSMUSG00000025500	Lmntd2	lamin tail domain containing 2
