gene	mean_KO	mean_WT	mean_dif	mean_pval	feature	location
1110017D15Rik	0.2675	0.0675000000000001	0.2	0.00304184623494954	gene	4:41506008:41516333
1600025M17Rik	0.77	0.52	0.25	0.00197092391607668	TES	20:56319664:56321664
1700011H14Rik	0.2375	0.515	-0.2775	0.0118314430402956	TES	14:49225358:49227358
1700018A04Rik	0.6225	0.395	0.2275	0.00880945059143256	TES	13:31564491:31566491
1700024B18Rik	0.745	0.5025	0.2425	0.0025724628668497	gene	14:123988634:124014684
1700025C18Rik	0.495	0.3025	0.1925	0.0060713729532786	TES	2:165077692:165079692
1700029J03Rik	0.545	0.77	-0.225	0.00499074037407356	TSS	16:93457872:93459872
1700086O06Rik	0.46	0.1875	0.2725	0.00752775063537828	gene	18:38239404:38249198
1700092C10Rik	0.195	0.885	-0.69	9.28719512632564e-13	TES	14:69163798:69165798
1700110K17Rik	0.6075	0.415	0.1925	0.000239995140076495	TSS	9:40332471:40334471
1700111N16Rik	0.9725	0.7125	0.26	0.000269194643690591	gene	20:69930259:70142588
1700113H08Rik	0.4975	0.27	0.2275	0.000323957415106579	TES	10:87229599:87231599
2010204K13Rik	0.7675	0.525	0.2425	2.88906978395375e-05	TES	20:7410816:7412816
2410012E07Rik	0.4775	0.9175	-0.44	5.26737595811946e-07	TSS	14:70851932:70853932
2700081O15Rik	0.00750000000000006	0.19	-0.1825	9.48054974805785e-05	TSS	19:7416624:7418624
2810468N07Rik	0	0.17	-0.17	4.30868600607306e-07	TSS	17:25569810:25571810
3930402G23Rik	0.45	0.2375	0.2125	0.00167063980945342	gene	8:10925426:10927457
4833422C13Rik	0.5525	0.75	-0.1975	0.00555586633287983	TSS	13:91740872:91742872
4833427F10Rik	0.65	0.8425	-0.1925	0.000183240450204124	gene	17:35773449:35779687
4930419G24Rik	0.375	0.575	-0.2	0.0113455215514604	TSS	3:33023776:33025776
4930428D20Rik	0.595	0.815	-0.22	0.00796601332574835	TES	16:69795140:69797140
4930438E09Rik	0.7775	0.6025	0.175	8.98752498934122e-05	gene	14:67333041:67396742
4930471M09Rik	0.83	0.635	0.195	0.0115407433240438	gene	6:91431459:91439854
4930481A15Rik	0.0525000000000002	0.3625	-0.31	2.39323845593251e-14	TSS	19:5405814:5407814
4930506C21Rik	0.855	0.67	0.185	0.0122817610162381	gene	17:8294365:8310118
4930509E16Rik	0	0.1725	-0.1725	6.15894690751548e-05	TSS	9:72530858:72532858
4930522H14Rik	0.6475	0.8625	-0.215	0.00116485797783362	TSS	4:109530297:109532297
4930524B15Rik	0.7325	0.5	0.2325	0.00050745472516513	TSS	11:31964632:31966632
4930572K03Rik	0.83	0.6675	0.1625	0.00711155728786196	gene	5:127171564:127183356
4930579G18Rik	0.81	0.575	0.235	0.00214074200688485	TSS	14:54649510:54651510
