location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:34010824:34012824	  TSS	  Dst	2.51831156544	2.06664801585	-0.197019642848377	0.0232940285472944
chr1:36067399:36069399	  TSS	  Hs6st1	2.76025896952	2.01837360699	-0.310501111207769	0.0125678435698908
chr1:42696145:42698145	  TSS	  Pou3f3	2.50232178465	1.910153918845	-0.268406176304137	0.0157819617369973
chr1:52844045:52846045	  TSS	  Hibch	2.15283645264	1.727514457431	-0.219218315593637	0.0415990328485472
chr1:58651640:58653640	  TSS	  Gm20257	2.30310966574	1.631816279313	-0.341197468923628	0.03604633445739
chr1:59255906:59257906	  TSS	  Cdk15	1.690579623041	1.4693177930455	-0.14004367918344	0.019719271910933
chr1:72211307:72213307	  TSS	  Mreg	2.52814679436	1.945856760877	-0.260299316392543	0.00935479727084036
chr1:74283738:74285738	  TSS	  Aamp	2.31251091837	1.604837237644	-0.361302418136904	0.0263551523685369
chr1:74587028:74589028	  TSS	  Zfp142	2.73460898329	2.249490520045	-0.194666443926488	0.0379021181171293
chr1:74587360:74589360	  TSS	  Bcs1l	2.73460898329	2.249490520045	-0.194666443926488	0.0379021181171293
chr1:75449509:75451509	  TSS	  Asic4	2.75256007173	2.25861299808	-0.197138301459114	0.0433996807347677
chr1:78196136:78198136	  TSS	  Pax3	2.41185461086	1.879416506363	-0.248149366447653	0.0440362498501186
chr1:85893509:85895509	  TSS	  Itm2c	2.26876995013	2.06928738108	-0.091968618125367	0.0340740944097976
chr1:119052619:119054619	  TSS	  Gli2	2.24091165219	1.9629028155115	-0.13226503634472	0.0225998925162981
chr1:120339581:120341581	  TSS	  C1ql2	2.60943849634	2.207566731135	-0.166855440767564	0.0190217837324289
chr1:121430066:121432066	  TSS	  Ccdc93	6.43481631381	1.96655008098	-1.06369988472374	0.0195033260451697
chr1:132297625:132299625	  TSS	  Klhdc8a	2.51649842028	1.462340148988	-0.529882403088265	0.0378801997743441
chr1:133362571:133364571	  TSS	  Etnk2	2.24780703365	2.06364508851	-0.0854291964386867	0.0202524821356889
chr1:155557119:155559119	  TSS	  Acbd6	2.64680735973	1.856572358571	-0.35095197411296	0.0225589188178129
chr1:184033460:184035460	  TSS	  Dusp10	2.42261371734	1.862094568234	-0.261637017854022	0.0180349727770966
chr1:184882036:184884036	  TSS	  C130074G19Rik	2.843402224615	1.8493972512645	-0.423629851844121	0.0347781738714033
chr1:187608005:187610005	  TSS	  Esrrg	2.5211537727	1.987656595348	-0.236646535916731	0.00216351128639509
chr1:191574544:191576544	  TSS	  Dtl	1.945589617152	1.575194960603	-0.210404612022687	0.0301446179996448
chr2:17730068:17732068	  TSS	  Nebl	2.39854526855	2.0401628541	-0.161480504933962	0.0464744131048589
chr2:18063584:18065584	  TSS	  Mllt10	2.36733847095	1.956003896111	-0.190285450429698	0.0422536095304327
chr2:18997121:18999121	  TSS	  Pip4k2a	2.385913090885	2.115713718955	-0.120045211806264	0.0348633562692776
chr2:23155024:23157024	  TSS	  Mastl	2.36116679966	1.654304989299	-0.352069120398055	0.0400020104024999
chr2:23155504:23157504	  TSS	  Yme1l1	2.36116679966	1.654304989299	-0.352069120398055	0.0400020104024999
chr2:25290219:25292219	  TSS	  Grin1os	2.50764539782	1.917498977329	-0.266724142970422	0.00148310537026874
chr2:29054066:29056066	  TSS	  1700101E01Rik	2.35549642166	1.891108226922	-0.218710350111384	0.0172435936849097
chr2:31669736:31671736	  TSS	  Exosc2	2.095665989265	1.7004846115935	-0.208201106448269	0.0152547227485864
chr2:32394889:32396889	  TSS	  Ptges2	2.46693279492	2.030509113445	-0.194076406262536	0.0323235969726267
chr2:32875133:32877133	  TSS	  Fam129b	2.353535896255	1.9093671085665	-0.208387939948964	0.0451501872230368
chr2:52675143:52677143	  TSS	  Cacnb4	2.210804718235	1.8527815586315	-0.176210438371486	0.0174125549679843
chr2:52674859:52676859	  TSS	  Cacnb4	2.20988744105	1.761209278884	-0.225971913458435	0.0196236167795934
chr2:69585067:69587067	  TSS	  Lrp2	3.24545660969	2.40956690782	-0.295627312346901	0.0387385536188792
chr2:71366554:71368554	  TSS	  Slc25a12	2.18605835907	1.398385092841	-0.439495434533393	0.00864711399743941
chr2:74674012:74676012	  TSS	  Hoxd12	2.52567327626	1.927325188219	-0.268739409103303	0.0237240423329179
chr2:82052657:82054657	  TSS	  Zfp804a	2.57652295461	2.01512507519	-0.244530014398535	0.00713909033215068
chr2:93045144:93047144	  TSS	  Prdm11	2.607884964815	1.930177914931	-0.298676800142501	0.0245804418457678
chr2:118727438:118729438	  TSS	  Plcb2	2.24287558253	1.753985891563	-0.244636795213396	0.00776952197546343
chr2:121806057:121808057	  TSS	  Frmd5	2.46764086991	2.14675140982	-0.139082002845573	0.0257740023680615
chr2:127142457:127144457	  TSS	  Itpripl1	2.34069032006	1.701764864381	-0.316107625948785	0.0394676658175012
chr2:127141590:127143590	  TSS	  Itpripl1	2.34069032006	1.701764864381	-0.316107625948785	0.0394676658175012
chr2:128125037:128127037	  TSS	  Bcl2l11	2.17254165821	1.84116699475	-0.165121433622553	0.0301203108691281
chr2:136712449:136714449	  TSS	  Snap25	1.629719596983	1.472972574115	-0.10103936467054	0.0352655311323436
chr2:144555228:144557228	  TSS	  Sec23b	1.924657150397	1.474948968601	-0.26456487372634	0.0410599061303008
chr2:148671614:148673614	  TSS	  Nxt1	2.61993315141	1.897401680816	-0.319892811770147	0.0371113239080809
chr2:148671640:148673640	  TSS	  Nxt1	2.61993315141	1.897401680816	-0.319892811770147	0.0371113239080809
chr2:148731420:148733420	  TSS	  Napb	2.42921912456	1.999520198771	-0.194050222610894	0.00676129094359605
chr2:152626007:152628007	  TSS	  Rem1	2.73320348322	2.250968437095	-0.193506585982501	0.0192427675603894
chr2:155099079:155101079	  TSS	  2310005A03Rik	2.49478993962	1.999789755029	-0.220265394417334	0.0442926739413973
chr2:167491874:167493874	  TSS	  Spata2	2.85624413172	1.947681655169	-0.378258331563186	0.0482771358372673
chr2:167491644:167493644	  TSS	  Rnf114	2.85624413172	1.947681655169	-0.378258331563186	0.0482771358372673
