gene	mean_KO	mean_WT	mean_dif	mean_pval	feature	location
1110051M20Rik	0.71	0.4375	0.2725	0.00449573927209342	TES	2:91276827:91278827
1600019K03Rik	0.82	0.6375	0.1825	0.000334920328809037	TES	16:35502169:35504169
1600025M17Rik	0.795	0.5525	0.2425	0.00387023457692158	TES	20:56319664:56321664
1700003G13Rik	0.7375	0.52	0.2175	0.0120550462112691	TSS	9:45321079:45323079
1700006E09Rik	0.87	0.6825	0.1875	0.00963794164277944	TES	11:101991264:101993264
1700012B09Rik	0.9025	0.73	0.1725	0.00307411855624366	TES	9:14757193:14759193
1700024G13Rik	0.6625	0.425	0.2375	8.31201372127678e-05	gene	14:32377501:32387373
1700030C10Rik	0.5	0.28	0.22	5.32461889775535e-09	TSS	12:20814779:20816779
1700039E22Rik	0.7425	0.4275	0.315	0.00131375618268415	gene	19:44829492:44834938
1700041C23Rik	0.735	0.4525	0.2825	0.00269496319943866	TES	9:57185110:57187110
1700080O16Rik	1	0.8225	0.1775	0.000993182763853636	TES	20:51967694:51969694
1700086O06Rik	0.445	0.235	0.21	0.0227510283976199	gene	18:38239404:38249198
1700092E19Rik	0.6075	0.795	-0.1875	0.0120614539897844	TES	13:26282158:26284158
1700108J01Rik	0.585	0.395	0.19	0.000475615650022107	TES	14:122228904:122230904
1810010D01Rik	0.1975	0.44	-0.2425	0.0054741367876676	TES	7:145204817:145206817
1810021B22Rik	0.44	0.715	-0.275	0.0107252980374207	gene	15:89072197:89074854
2010204K13Rik	0.6775	0.4675	0.21	0.00021308405973045	TES	20:7410816:7412816
2310007B03Rik	0.85	0.645	0.205	1.60261291567382e-05	TSS	1:93159870:93161870
2310020H05Rik	0.8125	0.64	0.1725	0.000583820798273391	gene	13:99077527:99086921
2310065F04Rik	0.8325	0.6475	0.185	0.000565014616820142	TSS	11:67119080:67121080
2410004I01Rik	0.3325	0.125	0.2075	0.004856064671584	TSS	11:102963154:102965154
2700081O15Rik	0	0.2	-0.2	4.20596591107522e-05	TSS	19:7416624:7418624
2810428I15Rik	0.245	0.4275	-0.1825	0.00698021661178911	TSS	8:70505739:70507739
2810459M11Rik	0.6375	0.4325	0.205	9.07928238978364e-05	gene	1:86046862:86054456
2810468N07Rik	0	0.17	-0.17	4.15252278259798e-08	TSS	17:25569810:25571810
3110062M04Rik	0.7925	0.59	0.2025	2.97966917154424e-06	gene	6:34872770:34877065
4631405J19Rik	0.77	0.5475	0.2225	0.0027717045382678	gene	2:93030347:93032445
4632428N05Rik	0.3675	0.5825	-0.215	0.00352220301569559	TSS	10:60345850:60347850
4833428L15Rik	0.5425	0.815	-0.2725	0.00863667959330314	TES	9:45415625:45417625
4922502D21Rik	0.5675	0.2575	0.31	0.00447046305834565	gene	6:129323164:129330781
4930447C04Rik	0.355	0.5375	-0.1825	0.00576337975643164	TSS	12:72916765:72918765
4930449E01Rik	0.6125	0.4325	0.18	7.80774781363993e-05	gene	14:105499787:105504628
4930455H04Rik	0.675	0.865	-0.19	0.00872957258655399	TES	3:116983406:116985406
4930456L15Rik	0.8425	0.6325	0.21	0.000995515045518131	gene	4:103291958:103310832
4930465M20Rik	0.8175	0.64	0.1775	0.0058493153391125	TES	12:107722742:107724742
4930480M12Rik	0.9225	0.7525	0.17	0.0168639056199563	gene	12:26212266:26239707
4930502A04Rik	0.27	0.86	-0.59	0.00221340699756856	TSS	9:68519200:68521200
4930509E16Rik	0.00499999999999989	0.18	-0.175	0.000389363872668927	TSS	9:72530858:72532858
4930512J16Rik	0.8475	0.6475	0.2	0.0108627829285338	TES	6:89268510:89270510
4930524B15Rik	0.71	0.5175	0.1925	0.00394001139075385	TSS	11:31964632:31966632
4930539C22Rik	0.81	0.625	0.185	0.00133919154517729	gene	3:134405142:134422635
4930546K05Rik	0.265	0.545	-0.28	2.69389181308033e-05	TSS	9:42208231:42210231
4930550C14Rik	0.48	0.705	-0.225	0.00521630569960585	TSS	9:53404285:53406285
