location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:9547045:9549045	  TSS	  Adhfe1	1.9105779106515	1.3566187765545	-0.339103633562219	0.0336223139423597
chr1:13373083:13375083	  TSS	  Ncoa2	1.601816502992	1.337650697675	-0.179737202209338	0.010760921678417
chr1:20889621:20891621	  TSS	  Paqr8	2.06718046101	1.340205961183	-0.426705051761707	0.0123399732256942
chr1:58423088:58425088	  TSS	  Clk1	1.702813436817	1.3472373136	-0.233160791287414	0.00855016226333385
chr1:78656824:78658824	  TSS	  Utp14b	1.395335592813	1.166971120724	-0.178249130662243	0.0384614035671651
chr1:78656824:78658824	  TSS	  Acsl3	1.395335592813	1.166971120724	-0.178249130662243	0.0384614035671651
chr1:91493667:91495667	  TSS	  Traf3ip1	1.820338742849	1.442105071318	-0.231871378068514	0.0433875566955728
chr1:158361303:158363303	  TSS	  Astn1	1.82821421589	1.449319021374	-0.231207537551804	0.0375264054224473
chr1:164457355:164459355	  TSS	  Atp1b1	2.06199105349	1.270632429183	-0.474916310481179	0.0390644825675962
chr1:180567974:180569974	  TSS	  Parp1	1.805024702017	1.365600737839	-0.277184405735392	0.0421240516099357
chr1:190910770:190912770	  TSS	  Rps6kc1	1.583601869418	1.40915935062	-0.116576302599768	0.0088367239950461
chr2:25364626:25366626	  TSS	  Uap1l1	2.07446983514	1.384793610554	-0.398741660132587	0.0138361764346889
chr2:49786685:49788685	  TSS	  Lypd6b	2.47638997514	1.403145122031	-0.553285291266792	0.0102875278416489
chr2:91182047:91184047	  TSS	  Madd	1.521936126829	1.268822312909	-0.181394283586768	0.028758705254833
chr2:104094800:104096800	  TSS	  Cd59a	1.9598398645965	1.536209478014	-0.242348059233155	0.0411895564129676
chr2:114051811:114053811	  TSS	  Actc1	2.23747487385	1.634634138343	-0.311375910961544	0.0185866126845736
chr2:118110202:118112202	  TSS	  Gm13986	2.27006520949	1.215773428273	-0.604899934148174	0.0473788301699592
chr2:127443565:127445565	  TSS	  Fahd2a	2.4720985375	1.299542000164	-0.62177533920676	0.0495837132903576
chr2:127655695:127657695	  TSS	  Mal	2.07755393784	1.16862729313	-0.559997473978618	0.0393807243258283
chr2:148407188:148409188	  TSS	  Thbd	2.143707557206	1.369218071684	-0.440937023632191	0.036018475987634
chr2:154602673:154604673	  TSS	  Pxmp4	2.55763434984	1.369492194497	-0.605094917074331	0.00042321026277497
chr2:155728475:155730475	  TSS	  Edem2	1.628060625751	1.291693994304	-0.23040746584428	0.0158275778453436
chr2:157278549:157280549	  TSS	  Mroh8	1.652797082369	1.306870807782	-0.233760197039777	0.0267561990090657
chr2:157278097:157280097	  TSS	  Rpn2	1.652797082369	1.306870807782	-0.233760197039777	0.0267561990090657
chr2:165594027:165596027	  TSS	  Eya2	1.819612660929	1.38409123094	-0.271886194660095	0.0175327015595566
chr3:67514523:67516523	  TSS	  Rarres1	1.665841041882	1.3283904025715	-0.225400504650762	0.0351404453137234
chr3:87747623:87749623	  TSS	  Lrrc71	2.57747481067	1.955964511382	-0.274189309765232	0.0490978576428287
chr3:89228055:89230055	  TSS	  Muc1	2.19224901763	1.360936617358	-0.467925116034534	0.00748621544511934
chr3:95159419:95161419	  TSS	  Sema6c	1.535414142908	1.112731072775	-0.319229525352131	0.00486920950968798
chr3:105703598:105705598	  TSS	  Fam212b	2.3329577762	1.257662896739	-0.598946520619705	0.0428895462044742
chr3:108590277:108592277	  TSS	  Wdr47	3.02564266551	1.576783891552	-0.629606472148854	0.0464859575790724
chr3:108910704:108912704	  TSS	  Prpf38b	1.396870391493	1.262133724643	-0.101343706865558	0.00586446053230723
chr3:132084291:132086291	  TSS	  Dkk2	2.13126077265	1.274922825692	-0.502813734042306	0.00215619109730544
chr4:34686438:34688438	  TSS	  Slc35a1	2.16625806482	1.307237329456	-0.494614581484453	0.00503764379905466
chr4:82858661:82860661	  TSS	  Zdhhc21	2.04579820586	1.225121893965	-0.501801503460086	0.0123074440123287
chr4:122885057:122887057	  TSS	  Cap1	1.524186912843	1.246567158221	-0.200392923732413	0.0430407499262051
chr4:129991053:129993053	  TSS	  Bai2	1.879613515135	1.3927468768815	-0.297562969800818	0.000842943335213096
chr4:136285068:136287068	  TSS	  Zfp46	1.525211942638	1.0908928061139	-0.332034974311565	0.0239798580704252
chr4:137861236:137863236	  TSS	  Ece1	1.876060914711	1.26725371761	-0.387366374871269	0.0129425927708976
chr4:138756598:138758598	  TSS	  Pla2g2f	1.986631835463	1.3134689815375	-0.40796502364879	0.0157647392231581
chr4:140905359:140907359	  TSS	  Padi2	1.998781327004	1.3243900986585	-0.405872067349673	0.00986852500877847
chr4:141397099:141399099	  TSS	  Clcnka	1.962210144618	1.3653537896245	-0.358734718123077	0.0476865303724683
chr4:141397706:141399706	  TSS	  Clcnka	1.918659127306	1.350842401377	-0.347341465325893	0.0397932462131774
chr5:4103697:4105697	  TSS	  Cyp51	1.4281833740265	1.262170473053	-0.123413432142924	0.0164368469303853
chr5:30465076:30467076	  TSS	  1700001C02Rik	1.821803585958	1.498852487146	-0.194510417039438	0.0250634883800054
chr5:30912785:30914785	  TSS	  Emilin1	2.44994601299	1.627753679716	-0.403262817389274	0.0363259269716381
chr5:65347410:65349410	  TSS	  Klb	1.604976009737	1.277195834967	-0.227453595712759	0.00732908863378828
chr5:119669861:119671861	  TSS	  Tbx3	1.337884737381	1.147694789488	-0.153034691376442	0.0269068326395554
chr5:120748848:120750848	  TSS	  Oas2	2.041228456	1.330686327997	-0.421447262769041	0.0427549423271935
chr5:136197954:136199954	  TSS	  Prkrip1	1.855517991134	1.180890530813	-0.444358824212769	0.00530510422118076
chr5:142462930:142464930	  TSS	  Ap5z1	1.6886700315105	1.3622435338015	-0.213986067268752	0.045403523711145
chr6:21984909:21986909	  TSS	  Cped1	2.16983394583	1.444309466556	-0.401491803998459	0.0478164095818726
chr6:33059152:33061152	  TSS	  Chchd3	1.821909166368	1.403509874682	-0.259438718728339	0.0359289126770287
chr6:52203587:52205587	  TSS	  Hoxa5	1.5945942578645	1.1928321552565	-0.28826741449878	0.0432129187294905
chr6:54594110:54596110	  TSS	  Plekha8	1.803708209247	1.452240898331	-0.215892386092881	0.0374761382983637
chr6:83032471:83034471	  TSS	  Dok1	1.5331165595175	1.145057513025	-0.289793744529906	0.00922029062012004
chr6:83033223:83035223	  TSS	  Loxl3	1.5331165595175	1.145057513025	-0.289793744529906	0.00922029062012004
chr6:88626448:88628448	  TSS	  Kbtbd12	2.7280549995	1.7943855836	-0.412905111186667	0.0386354948524106
chr6:127306967:127308967	  TSS	  D130058E03	2.44023386269	1.566096589166	-0.436378019251528	0.0343808841436181
chr6:128354851:128356851	  TSS	  Tulp3	1.713075434533	1.408293819755	-0.195287125583943	0.0134515714818884
chr7:10494381:10496381	  TSS	  Zik1	2.1380983917335	1.4994500869995	-0.351142154375602	0.0342918977554675
chr7:13033777:13035777	  TSS	  Chmp2a	1.879990620565	1.346235384304	-0.330885211051836	0.00835376446468147
chr7:28832793:28834793	  TSS	  Lgals4	2.63897838897	1.767654532631	-0.39546014920727	0.0385631225547453
chr7:30464591:30466591	  TSS	  Nphs1os	1.542874839495	1.23908329423	-0.218401234427081	0.0253820686088838
chr7:126860971:126862971	  TSS	  Hirip3	2.91004162489	1.716659868242	-0.515867193256141	0.0414380822648911
chr7:127711735:127713735	  TSS	  Ctf1	1.757091239383	1.316242268163	-0.286886515985055	0.0102091403493484
chr7:127711936:127713936	  TSS	  Ctf1	1.757091239383	1.316242268163	-0.286886515985055	0.0102091403493484
chr7:127823531:127825531	  TSS	  Stx1b	1.523716061833	1.332448290296	-0.133933309120974	0.0382269324916873
chr7:139893695:139895695	  TSS	  Kndc1	1.821709633308	1.3755550775355	-0.279085153168188	0.0307269631531233
chr7:141474153:141476153	  TSS	  Polr2l	1.229064543254	1.104846820286	-0.106445964408512	0.035599046965984
chr7:141474235:141476235	  TSS	  Tspan4	1.229064543254	1.104846820286	-0.106445964408512	0.035599046965984
chr7:142577146:142579146	  TSS	  H19	1.582273026593	1.350830575438	-0.157814030840738	0.00331182760620304
chr8:25200542:25202542	  TSS	  Tacc1	1.71069671338	1.0570104383975	-0.472366648012369	0.0438127730604049
chr8:46616200:46618200	  TSS	  Primpol	1.623064228518	1.199371713497	-0.300231802404356	0.0076586636542818
chr8:106602367:106604367	  TSS	  Cdh1	1.913036290194	1.55021323109	-0.209527530069207	0.0269932548869172
chr8:119343537:119345537	  TSS	  Hsbp1	1.709252611372	1.407641203914	-0.193533322167617	0.0474514021350828
chr8:119777416:119779416	  TSS	  Tldc1	2.35338230553	1.348950230309	-0.542594197305609	0.0342118485278663
chr9:20642317:20644317	  TSS	  Ubl5	1.5505772624005	1.218041356769	-0.240217921911723	0.0194351926437448
chr9:32343237:32345237	  TSS	  Kcnj5	1.504660165661	1.221793994541	-0.207497470706819	0.0395954834732115
chr9:37527088:37529088	  TSS	  Esam	2.19532917959	1.301707404854	-0.511073735236933	0.0389940610815618
chr9:44397175:44399175	  TSS	  Slc37a4	1.902836351867	1.2945346989655	-0.380501132480771	0.0320409332724073
chr9:44798216:44800216	  TSS	  Tmem25	1.431363477701	1.231320971021	-0.150256262454241	0.0189885167700885
chr9:57833234:57835234	  TSS	  Arid3b	1.827290320628	1.4314699168695	-0.242926987511338	0.04769424405849
chr9:106684816:106686816	  TSS	  Tex264	1.5778962220575	1.16108388465	-0.304355870556903	0.0415763843838823
chr9:106684952:106686952	  TSS	  Tex264	1.5778962220575	1.16108388465	-0.304355870556903	0.0415763843838823
chr9:118477188:118479188	  TSS	  Eomes	1.5196700203035	1.2026064269215	-0.232940040828847	0.0162863918556386
chr10:40682281:40684281	  TSS	  Mettl24	2.0570388906	1.453475089806	-0.343860645001161	0.0192175854464058
chr10:60218260:60220260	  TSS	  Chst3	1.6497035518065	1.2844326327265	-0.248980208216298	0.0387289139147242
chr10:79554091:79556091	  TSS	  Mier2	1.720102739433	1.155124529856	-0.392997253199195	0.046752381057294
chr10:79668409:79670409	  TSS	  Tpgs1	1.856549576716	1.320951371151	-0.337119147627344	0.00572011582416018
chr10:79853431:79855431	  TSS	  Ptbp1	1.452151284266	1.194658122651	-0.194568721829448	0.0333585129638401
chr10:79983330:79985330	  TSS	  Tmem259	1.478856245511	1.215699909276	-0.195324440180986	0.0451190753352599
chr10:81290267:81292267	  TSS	  Tjp3	1.763050653519	1.223354831402	-0.361435059533637	0.0175344432060355
chr10:120200537:120202537	  TSS	  Irak3	2.06941618531	1.593916526316	-0.259599493917082	0.0408184818929771
chr10:121364089:121366089	  TSS	  Gns	1.739184337991	1.215335031652	-0.354608815038703	0.0193990197864585
chr11:3192463:3194463	  TSS	  Sfi1	9.07497723179	1.658779135155	-1.38184580366915	0.0396202634839768
chr11:32204414:32206414	  TSS	  Snrnp25	1.467503201785	1.152314424502	-0.240618869130756	0.0159755912309229
chr11:50840552:50842552	  TSS	  Zfp879	1.341754756384	1.146679876302	-0.156785215508303	0.0350272025829689
chr11:67964642:67966642	  TSS	  Cfap52	2.15364623881	1.532244084944	-0.337178862789989	0.0462847749569808
chr11:69979330:69981330	  TSS	  Elp5	1.281975745003	1.169556802604	-0.0917131959016697	0.0217778782406541
chr11:70014428:70016428	  TSS	  Acadvl	2.19777669474	1.407230884555	-0.438582051658044	0.00132431323145232
chr11:83849868:83851868	  TSS	  Hnf1b	1.441033884416	1.250206220586	-0.141813926951611	0.0452093678048579
chr11:87403495:87405495	  TSS	  Rad51c	1.912273800473	1.579897739252	-0.190354945305564	0.0175699450454389
chr11:87404064:87406064	  TSS	  Tex14	2.47186911366	1.579897739252	-0.440287611201983	0.0100796246103345
chr11:95040371:95042371	  TSS	  Pdk2	2.02995606764	1.240148091734	-0.483047595680985	0.0486679904961841
chr11:96823127:96825127	  TSS	  Nfe2l1	1.580856332627	1.261332457153	-0.224843526667159	0.0427616747127613
chr11:97449159:97451159	  TSS	  Arhgap23	2.1245326427	1.300123181133	-0.481455366013564	0.0233942787489666
chr11:97684951:97686951	  TSS	  Cisd3	1.763663445667	1.391567609914	-0.23585964336579	0.0486762164612877
chr11:98357367:98359367	  TSS	  Stard3	1.498138240671	1.219278634918	-0.205238738493193	0.0358751370374642
chr11:101424084:101426084	  TSS	  Rundc1	1.869194760952	1.307534904515	-0.353608846571106	0.0134927560145063
chr11:102144512:102146512	  TSS	  Nags	1.890194606438	1.4632117090105	-0.254656225498516	1.8936629199812e-05
chr11:103207548:103209548	  TSS	  1700023F06Rik	2.14324615182	1.413121970814	-0.410601015321911	0.0454718470244491
chr11:106919715:106921715	  TSS	  Smurf2	1.365395106372	1.210946991643	-0.119897209961362	0.020258070741585
chr11:113708526:113710526	  TSS	  Cpsf4l	2.43625924095	1.73363188932	-0.337000333907761	0.0418696247207874
chr11:113709017:113711017	  TSS	  Cpsf4l	2.43625924095	1.73363188932	-0.337000333907761	0.0418696247207874
chr11:121420372:121422372	  TSS	  Fn3krp	1.884646923371	1.1991460685065	-0.444582925423375	0.0220898608966882
chr12:11455078:11457078	  TSS	  Rad51ap2	1.49788190418	1.288752699117	-0.150094457892376	0.00359965786436691
chr12:65035333:65037333	  TSS	  Prpf39	1.760314455038	1.361216495179	-0.255706553113789	0.0360144527916293
chr12:70101854:70103854	  TSS	  Nin	2.49791011903	1.403880699576	-0.560783225096043	0.0447450653753049
chr12:84641554:84643554	  TSS	  Vrtn	1.524690078217	1.223118302742	-0.219499858552546	0.0083141385041208
chr12:117150269:117152269	  TSS	  Gm10421	1.671922112592	1.487008982118	-0.117073228209161	0.0216545088312258
chr13:6647771:6649771	  TSS	  Pfkp	1.86649193891	1.184272671539	-0.447244775971486	0.0247636567569913
chr13:9764314:9766314	  TSS	  Zmynd11	2.64101066476	1.680836955617	-0.444334827824977	0.0115927789554385
chr13:23683198:23685198	  TSS	  Hist1h2bc	1.341357489405	1.138252384105	-0.163820210162735	0.0365383570873042
chr13:30544316:30546316	  TSS	  Uqcrfs1	2.83672434678	1.70704846522	-0.497241357920252	0.0402766914496077
chr13:58214653:58216653	  TSS	  Ubqln1	1.631696230014	1.2505037067795	-0.264514975778248	0.0333618803877306
chr13:69611015:69613015	  TSS	  Nsun2	1.601181907551	1.2507490866195	-0.245751262318621	0.0327013679854085
chr13:114457951:114459951	  TSS	  Fst	1.567930362838	1.175180794268	-0.286353374745742	0.0214102075888717
chr14:56667247:56669247	  TSS	  Mphosph8	1.8163519016765	1.151194186559	-0.448288043615863	0.00508137839065975
chr14:68122751:68124751	  TSS	  A230070E04Rik	2.24824425009	1.262982358435	-0.561206667358271	0.000132036089017719
chr14:70203623:70205623	  TSS	  Sorbs3	1.853552234149	1.308762426534	-0.344551296168191	0.0439026878394736
chr14:79661170:79663170	  TSS	  Lect1	2.518662124395	1.945609891634	-0.25672818802414	0.0474109670174287
chr14:105426558:105428558	  TSS	  5430440P10Rik	1.763625640613	1.488251858497	-0.169362949367783	0.00809985897748723
