location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:36323029:36325029	TES	Arid5a	1.955932243812	1.384042163154	-0.342451774160449	0.00766637103882407
chr1:74803175:74805175	TES	Wnt10a	1.9511896615255	1.416803013951	-0.317332428580116	0.0433144258612112
chr1:75197234:75199234	TES	Glb1l	5.218978821185	3.489097231925	-0.39730511738978	0.0439181267686124
chr1:75219094:75221094	TES	A630095N17Rik	2.58778206541	1.6810535255495	-0.424813052899372	0.0456369481930752
chr1:87719510:87721510	TES	Inpp5d	2.223428632415	1.579543031602	-0.33862234994035	0.0461104292591472
chr1:135370455:135372455	TES	Shisa4	2.41315066947	1.604304236472	-0.402666091809359	0.0188517238103714
chr1:167638623:167640623	TES	Rxrg	2.45186750279	1.432983022131	-0.524542436895803	0.0151325663470422
chr1:171417742:171419742	TES	Usf1	2.824628284285	1.7567628840475	-0.466175168633843	0.0411045710922004
chr1:188213884:188215884	TES	Esrrg	3.52629903547	1.679768800121	-0.709376171676172	0.0402391394273541
chr2:9882040:9884040	TES	9230102O04Rik	2.70616775448	1.647265315976	-0.486467769857358	0.0130363188577207
chr2:28906679:28908679	TES	Barhl1	2.013324694458	1.723748397978	-0.1549749171704	0.0304711810942489
chr2:85046114:85048114	TES	Ssrp1	2.98943918071	1.485802071381	-0.671980357986933	0.0473778005452212
chr2:101900639:101902639	TES	Commd9	3.731343352565	1.805765628833	-0.695517364820164	0.0277686703215608
chr2:118640592:118642592	TES	Bub1b	3.81579814624	2.28708076041	-0.500982375437348	0.0271482180357369
chr2:122347891:122349891	TES	Shf	2.222707154825	1.7959161387245	-0.212406580525009	0.0236673893823932
chr2:132295190:132297190	TES	Cds2	2.27163183572	1.667323709282	-0.306836733511646	0.0455266900123543
chr2:147182151:147184151	TES	Nkx22	2.012695651109	1.433760338789	-0.335959788267677	0.021235637530072
chr2:151706310:151708310	TES	Tmem74b	3.5776722942	2.387009852375	-0.399237515953367	0.029601612502507
chr2:163467702:163469702	TES	Fitm2	5.16350971852	2.9364423692	-0.549896425361914	0.0281365177402296
chr2:181379793:181381793	TES	Zgpat	9.34704857644	2.421108041857	-1.17706464304097	0.0415573535073855
chr3:87986530:87988530	TES	Bcan	1.97242805558	1.557813697105	-0.234892898289278	0.0181316942074948
chr3:95128208:95130208	TES	Tmod4	2.453003078335	1.5429896933715	-0.455462978515287	0.0255820180909919
chr4:5798944:5800944	TES	Fam110b	3.58698369162	1.610768713299	-0.760411356435819	0.0233647129553914
chr4:43984533:43986533	TES	Ccin	6.00235083503	3.41332942553	-0.549938259977834	0.0246025235259929
chr4:53785885:53787885	TES	Tal2	2.62039011249	1.588865367427	-0.490122184307682	0.0283684045009267
chr4:63133030:63135030	TES	Zfp618	4.43222112252	1.735496168799	-0.874464514616003	0.0326283651594219
chr4:106482457:106484457	TES	Bsnd	4.78330029727	2.25786485357	-0.717334529044165	0.0362908273358853
chr4:107216914:107218914	TES	Ldlrad1	5.06644112377	3.31329025325	-0.418426508355082	0.0453331118230404
chr4:120266077:120268077	TES	Foxo6	2.65176625561	1.336503132284	-0.659565839418146	0.0493339158934299
chr4:125008099:125010099	TES	Rspo1	1.969780947792	1.414434456311	-0.328198075576219	0.0402779454414384
chr4:127236022:127238022	TES	Dlgap3	1.903630915054	1.46365878632	-0.261321221369502	0.0397694535582462
chr4:131922426:131924426	TES	Epb41	4.39579976623	2.2898721553	-0.629982337047751	0.0337901509132211
chr4:131922428:131924428	TES	Epb41	4.39579976623	2.2898721553	-0.629982337047751	0.0337901509132211
chr4:133197330:133199330	TES	Wasf2	2.21144884365	1.6055648616775	-0.317464923496006	0.014506854431012
chr4:135540887:135542887	TES	Grhl3	6.38252509831	2.33862737463	-0.927376911761928	0.0268308067438631
chr4:136888801:136890801	TES	C1qc	3.73016709346	2.566168902365	-0.369738270596369	0.0189318862344864
chr4:138441265:138443265	TES	Mul1	4.063139590595	2.266986105635	-0.567493781688956	0.000771097383212967
chr4:150896132:150898132	TES	Park7	8.08333442912	3.50231340773	-0.790809644121813	0.0332540739277197
chr4:152306126:152308126	TES	Icmt	2.63429367404	1.78698628316	-0.383286016304021	0.044027397149003
chr4:152306022:152308022	TES	Rnf207	2.63429367404	1.78698628316	-0.383286016304021	0.044027397149003
chr4:154894530:154896530	TES	Mmel1	3.91066268376	2.10582980202	-0.599961816957547	0.0415927543539157
chr4:155653469:155655469	TES	Mib2	1.8411950569475	1.4537195272495	-0.235196099805684	0.0182119673320935
chr4:155653471:155655471	TES	Mib2	1.8411950569475	1.4537195272495	-0.235196099805684	0.0182119673320935
chr5:24444462:24446462	TES	Tmub1	2.25346975678	1.430806439535	-0.446580697759753	0.0076496194932543
chr5:24647860:24649860	TES	1700022A21Rik	4.53825992461	1.275364899305	-1.12249934391456	0.0392959259220438
chr5:31053633:31055633	TES	Atraid	3.66829106361	1.487245778474	-0.846098224856974	0.0282992543720122
chr5:37738820:37740820	TES	Cytl1	5.10445223805	2.46838334292	-0.696190711377454	0.0022112739635101
chr5:115109298:115111298	TES	Acads	6.9897745486	2.10879959784	-1.0729098586661	0.0469338037013124
chr5:120482905:120484905	TES	Sds	2.65465898164	1.592406255394	-0.500229060285328	0.039437929169151
chr5:120482892:120484892	TES	Plbd2	2.65465898164	1.592406255394	-0.500229060285328	0.039437929169151
chr5:120606113:120608113	TES	Iqcd	3.35188753387	2.04939748885	-0.482288951440702	0.0263357033834024
chr5:120608059:120610059	TES	Rita1	4.97242134207	2.259493844205	-0.750265297085811	0.0207761791963035
chr5:124117688:124119688	TES	Pitpnm2	2.23365752485	1.600893784944	-0.330032741139663	0.0148321325536601
chr5:134986432:134988432	TES	Wbscr25	2.29838129323	1.484164860081	-0.430512358685319	0.000805907981839257
chr5:135247937:135249937	TES	Fzd9	2.89008944455	1.69755945631	-0.519887207591866	0.0191421859609031
chr5:137377636:137379636	TES	Zan	2.35171338959	1.619754556926	-0.368608707168903	0.0208031067442856
chr5:137595646:137597646	TES	Mospd3	2.34447323422	1.741283866607	-0.295264428465857	0.0250892001244087
chr5:137729962:137731962	TES	Nyap1	2.419904470245	1.549003742463	-0.438861611862665	0.00987534292185468
chr5:139356033:139358033	TES	Cyp2w1	2.01267083253	1.50369447493	-0.289490034792575	0.00348551785090311
chr5:140337135:140339135	TES	Nudt1	10.68693032601	3.93930967455	-0.92267331196557	0.00919064932659391
chr5:147189946:147191946	TES	Gsx1	2.234380725467	1.69861830701	-0.272444724258972	0.0385669095583875
chr5:147274149:147276149	TES	Pdx1	2.51370900028	1.568789194595	-0.462912540596448	0.0228252468943669
chr6:38696839:38698839	TES	Hipk2	2.74667850083	1.791163373601	-0.421131962580257	0.0289582019291942
chr6:70912088:70914088	TES	Tex37	2.51439933824	1.451737583352	-0.535867407452716	0.000607076628832372
chr6:92075005:92077005	TES	Fgd5	2.459094594215	1.2932748647475	-0.621377901199441	0.011774017266997
chr6:113482140:113484140	TES	Il17rc	2.53911438305	1.60607219875	-0.450181030883699	0.0115862479114287
chr6:113482163:113484163	TES	Il17rc	2.53911438305	1.60607219875	-0.450181030883699	0.0115862479114287
chr6:114861091:114863091	TES	Vgll4	2.33051994308	1.708949064765	-0.30774880416602	0.00183332826334787
chr6:120202809:120204809	TES	B4galnt3	2.940497414385	1.4666254402805	-0.668859036931189	0.0200279424930693
chr7:5078945:5080945	TES	U2af2	2.52937600967	1.4783706244565	-0.524486940498707	0.0355128463437052
chr7:6381605:6383605	TES	Zfp78	2.17009295491	1.392733866566	-0.436372087275327	0.00044629398711724
chr7:19092820:19094820	TES	Dmpk	2.63368017381	1.6964009632395	-0.432915310778291	0.0218648065887553
chr7:19394692:19396692	TES	Ercc2	3.621536284965	2.151067834325	-0.50946450518795	0.0202775469214035
chr7:19416465:19418465	TES	A930016O22Rik	2.714107188485	1.9293641731305	-0.337998430157856	0.0179887319784941
chr7:19700312:19702312	TES	Tomm40	2.30820155869	1.586401711785	-0.370666687606908	0.0318754362650858
chr7:24430925:24432925	TES	Irgc1	2.38948119277	2.06320825299	-0.146550952521824	0.0453064359988407
chr7:24901197:24903197	TES	Cd79a	2.02058564224	1.611931830082	-0.224997575522618	0.0150833730409705
chr7:28606636:28608636	TES	Papl	6.311732793945	2.421576607455	-0.890877903825641	0.00424628662544371
chr7:30232296:30234296	TES	Ovol3	2.568957093485	1.807674003575	-0.347885427410773	0.0255486810330546
chr7:30564364:30566364	TES	U2af1l4	5.50623777172	2.97089381326	-0.598160812544703	0.00356019778937696
chr7:44878385:44880385	TES	Med25	4.74701832243	2.26270606049	-0.708818814044476	0.0177410205299543
chr7:44958371:44960371	TES	Cpt1c	2.72186207203	1.783809174699	-0.416387635033072	0.0364620372383081
chr7:45588710:45590710	TES	Bcat2	2.322082397625	1.3961903433555	-0.498022667387947	0.00824203966488963
chr7:45703661:45705661	TES	Car11	2.0884532414	1.394273013456	-0.398641855343122	0.00262283881654709
chr7:78826473:78828473	TES	Det1	2.934811989	1.448004931923	-0.678470985169002	0.0291306384072316
chr7:79592362:79594362	TES	Rhcg	2.205539021905	1.517945400618	-0.369328050429223	0.0157475919002381
chr7:80091751:80093751	TES	Zfp710	1.725529689479	1.5203621820075	-0.12641672341201	0.0235740846192773
chr7:80585631:80587631	TES	Crtc3	2.457834466375	1.391845169222	-0.553806756955083	0.0141988604271202
chr7:105377287:105379287	TES	Gm5901	22.56435707135	5.512453051885	-1.21466106332027	0.00881613773006307
chr7:105751988:105753988	TES	Dchs1	2.73809059852	1.748917700773	-0.44090531230034	0.0462044296062485
chr7:121917728:121919728	TES	Scnn1b	4.07897767115	3.19410740766	-0.243327351158878	0.000440639583910044
chr7:126369059:126371059	TES	Spns1	4.76221515584	2.22649572534	-0.725661562943883	0.035302741979947
chr7:127213287:127215287	TES	Mylpf	2.24167511348	1.6793825981345	-0.286806548998217	0.0153594208031824
chr7:127213441:127215441	TES	Sept1	2.177687188555	1.5834513834875	-0.315987190413353	0.00487201645264474
chr7:127253801:127255801	TES	Zfp771	2.182302604715	1.819014989242	-0.181583994243124	0.0122204665707062
chr7:128270378:128272378	TES	BC017158	2.9911363698	1.994003334869	-0.400042162909538	0.0393689024867397
chr7:139228012:139230012	TES	Lrrc27	2.34943584953	1.390798999171	-0.51260783835108	0.0461537394847035
chr8:4258730:4260730	TES	Timm44	2.37228206662	1.758333282659	-0.297267468426061	0.0429963904361533
chr8:33802939:33804939	TES	Rbpms	2.44740785742	1.623762800688	-0.404623203447223	0.0330487850022519
chr8:70330592:70332592	TES	Gdf1	2.573288185955	1.8900820453625	-0.306139130381228	0.0474185900379367
