location	group	ratio
chr1:9544407:9546407	mC_vs_hmC_WT	2.72883945370751
chr1:15891722:15893722	mC_vs_hmC_WT	2.03187106273756
chr1:20819213:20821213	mC_vs_hmC_WT	1.52266685960202
chr1:33837914:33839914	mC_vs_hmC_WT	8.25629741475962
chr1:39576347:39578347	mC_vs_hmC_WT	1.80244899237643
chr1:42696145:42698145	mC_vs_hmC_WT	1.73438343355025
chr1:50926522:50928522	mC_vs_hmC_WT	1.65112429916158
chr1:52726318:52728318	mC_vs_hmC_WT	2.11934984726362
chr1:58651640:58653640	mC_vs_hmC_WT	1.72521439820631
chr1:74283738:74285738	mC_vs_hmC_WT	1.83342660090015
chr1:74284033:74286033	mC_vs_hmC_WT	1.77982604742267
chr1:74950651:74952651	mC_vs_hmC_WT	1.72735890973233
chr1:75191010:75193010	mC_vs_hmC_WT	2.28368547549591
chr1:75191159:75193159	mC_vs_hmC_WT	2.28368547549591
chr1:75218253:75220253	mC_vs_hmC_WT	1.72253105334343
chr1:85893509:85895509	mC_vs_hmC_WT	1.57595944134057
chr1:86669573:86671573	mC_vs_hmC_WT	1.989685508761
chr1:89930176:89932176	mC_vs_hmC_WT	1.85890336962473
chr1:90997726:90999726	mC_vs_hmC_WT	1.71356921399147
chr1:93511103:93513103	mC_vs_hmC_WT	1.85815123905314
chr1:105662676:105664676	mC_vs_hmC_WT	1.76024994285475
chr1:105662860:105664860	mC_vs_hmC_WT	1.76024994285475
chr1:120339581:120341581	mC_vs_hmC_WT	2.02893121585991
chr1:129272303:129274303	mC_vs_hmC_WT	1.91143354124898
chr1:131827011:131829011	mC_vs_hmC_WT	1.43844427163604
chr1:132297625:132299625	mC_vs_hmC_WT	1.85827029829526
chr1:132390281:132392281	mC_vs_hmC_WT	1.82428639807863
chr1:135374063:135376063	mC_vs_hmC_WT	1.37026988509992
chr1:153486660:153488660	mC_vs_hmC_WT	1.41662697919646
chr1:159231325:159233325	mC_vs_hmC_WT	2.08078473328384
chr1:164248045:164250045	mC_vs_hmC_WT	1.83240145013679
chr1:165460207:165462207	mC_vs_hmC_WT	2.36455607688686
chr1:171269327:171271327	mC_vs_hmC_WT	2.11713670023311
chr1:171328144:171330144	mC_vs_hmC_WT	2.05975049812836
chr1:172026268:172028268	mC_vs_hmC_WT	1.78092019115795
chr1:172147014:172149014	mC_vs_hmC_WT	1.79843643864862
chr1:182281759:182283759	mC_vs_hmC_WT	1.55961288344852
chr1:182763905:182765905	mC_vs_hmC_WT	1.71116485118126
chr1:184033460:184035460	mC_vs_hmC_WT	1.87556282930688
chr1:184810300:184812300	mC_vs_hmC_WT	1.59684778085965
chr1:184882036:184884036	mC_vs_hmC_WT	2.55980890714775
chr1:189006840:189008840	mC_vs_hmC_WT	1.98793829118054
chr1:191324964:191326964	mC_vs_hmC_WT	1.84920557086089
chr1:192189776:192191776	mC_vs_hmC_WT	2.30109350481166
chr1:193129251:193131251	mC_vs_hmC_WT	1.58890452869217
chr2:3511814:3513814	mC_vs_hmC_WT	3.59882944358847
chr2:3512064:3514064	mC_vs_hmC_WT	3.59882944358847
chr2:4716830:4718830	mC_vs_hmC_WT	1.83375637440331
chr2:9888540:9890540	mC_vs_hmC_WT	1.94541916381775
chr2:17730068:17732068	mC_vs_hmC_WT	2.17076177711117
chr2:18026248:18028248	mC_vs_hmC_WT	2.09442812152719
chr2:18997121:18999121	mC_vs_hmC_WT	1.8223028968523
chr2:24948801:24950801	mC_vs_hmC_WT	1.96498830843626
chr2:25094205:25096205	mC_vs_hmC_WT	1.40671257197983
chr2:25261597:25263597	mC_vs_hmC_WT	2.01925821718443
chr2:25290219:25292219	mC_vs_hmC_WT	2.11862578987149
chr2:26139506:26141506	mC_vs_hmC_WT	1.49783923737435
chr2:29054066:29056066	mC_vs_hmC_WT	1.61973050057758
chr2:29123991:29125991	mC_vs_hmC_WT	1.93723971165381
chr2:29826388:29828388	mC_vs_hmC_WT	2.01986537998884
chr2:29889062:29891062	mC_vs_hmC_WT	1.95717526724552
chr2:30092635:30094635	mC_vs_hmC_WT	1.8439463646626
chr2:30827300:30829300	mC_vs_hmC_WT	4.176514015458
chr2:31244922:31246922	mC_vs_hmC_WT	1.94847966892185
chr2:32394889:32396889	mC_vs_hmC_WT	1.78719492842068
chr2:32875133:32877133	mC_vs_hmC_WT	1.46864257515771
chr2:32981056:32983056	mC_vs_hmC_WT	1.46346594090345
chr2:52675609:52677609	mC_vs_hmC_WT	1.98879253344734
chr2:52675143:52677143	mC_vs_hmC_WT	2.00772967014076
chr2:52674859:52676859	mC_vs_hmC_WT	1.98703881838728
chr2:53190187:53192187	mC_vs_hmC_WT	2.16585862793188
chr2:53191083:53193083	mC_vs_hmC_WT	2.16585862793188
chr2:71366554:71368554	mC_vs_hmC_WT	1.73506272071985
chr2:74674012:74676012	mC_vs_hmC_WT	1.88702982127154
chr2:76646994:76648994	mC_vs_hmC_WT	1.9318021240647
chr2:80637811:80639811	mC_vs_hmC_WT	2.36775090659011
chr2:80638263:80640263	mC_vs_hmC_WT	2.36775090659011
chr2:90579647:90581647	mC_vs_hmC_WT	2.4874665235754
chr2:90884785:90886785	mC_vs_hmC_WT	1.66952070261702
chr2:91255812:91257812	mC_vs_hmC_WT	1.49059613572878
chr2:92458794:92460794	mC_vs_hmC_WT	2.17483737841663
chr2:93045144:93047144	mC_vs_hmC_WT	2.05713542577503
chr2:104741801:104743801	mC_vs_hmC_WT	2.02393581487787
chr2:104815696:104817696	mC_vs_hmC_WT	1.63407663334321
chr2:121806057:121808057	mC_vs_hmC_WT	2.21949961810986
chr2:127142457:127144457	mC_vs_hmC_WT	1.75635443448494
chr2:127141590:127143590	mC_vs_hmC_WT	1.62350812109135
