location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:20889621:20891621	  TSS	  Paqr8	2.06718046101	1.349042076022	-0.420428339900782	0.0102961497389261
chr1:118310132:118312132	  TSS	  Tsn	3.50138344493	1.921617480838	-0.58261688895739	0.0212082204806271
chr1:162477030:162479030	  TSS	  Dnm3	3.7206659801	1.272430010977	-0.980648468804991	0.00886694160516539
chr1:162477034:162479034	  TSS	  Dnm3	3.7206659801	1.272430010977	-0.980648468804991	0.00886694160516539
chr1:164457355:164459355	  TSS	  Atp1b1	2.06199105349	1.535977968422	-0.292394449126452	0.0424922994425202
chr1:171246112:171248112	  TSS	  Ndufs2	2.93350812838	1.876218759746	-0.439646322224316	0.0351345340714886
chr1:182953787:182955787	  TSS	  Tlr5	1.859689647502	1.45224546234	-0.24604599525589	0.0267161507229099
chr2:49786685:49788685	  TSS	  Lypd6b	2.47638997514	1.676863194666	-0.385012301338397	0.00618416495431326
chr2:62573021:62575021	  TSS	  Fap	2.43978329396	1.409219567586	-0.535496471914838	0.0485942605740593
chr2:114051811:114053811	  TSS	  Actc1	2.20419865091	1.538707719786	-0.35560116402284	0.0163353073322071
chr2:125246247:125248247	  TSS	  Dut	1.91547938817	1.433138049887	-0.288083871750291	0.0408778594180654
chr2:125246514:125248514	  TSS	  Dut	1.91547938817	1.433138049887	-0.288083871750291	0.0408778594180654
chr2:127655695:127657695	  TSS	  Mal	2.07755393784	1.179711016227	-0.551286391665473	0.0288532075494195
chr2:136712449:136714449	  TSS	  Snap25	1.429191634004	1.341713707503	-0.0631403211005568	0.00191379711043578
chr2:148407188:148409188	  TSS	  Thbd	2.143707557206	1.511028863126	-0.346223979688542	0.0408258856952689
chr2:154602673:154604673	  TSS	  Pxmp4	2.55763434984	1.397765609379	-0.586473556363194	0.000792174040571094
chr3:69597960:69599960	  TSS	  B3galnt1	2.72842138702	1.513695814744	-0.572697789571151	0.00310472822380803
chr3:87747623:87749623	  TSS	  Lrrc71	2.57747481067	1.486395922558	-0.536965351378358	0.00722847244657959
chr3:89228055:89230055	  TSS	  Muc1	2.19224901763	1.533704318761	-0.353490577800351	0.022946520948331
chr3:95159419:95161419	  TSS	  Sema6c	1.535414142908	1.218021129476	-0.230543290133123	0.00566112772672632
chr3:132084291:132086291	  TSS	  Dkk2	2.13126077265	1.261705722106	-0.512563299335812	0.00227768936688481
chr4:33131555:33133555	  TSS	  Gabrr1	2.28620253654	1.668163791171	-0.312585478506618	0.015585517952984
chr4:34686438:34688438	  TSS	  Slc35a1	2.16625806482	1.440119157245	-0.402697146117851	0.0444302891032433
chr4:137861236:137863236	  TSS	  Ece1	1.892482859116	1.346170218386	-0.337370275640252	0.0227063347647405
chr4:138756598:138758598	  TSS	  Pla2g2f	1.994726008785	1.407603322112	-0.345129838749742	0.0171761989987303
chr4:140905359:140907359	  TSS	  Padi2	1.998781327004	1.4069494903075	-0.347550566056595	0.0305486154154515
chr4:141397099:141399099	  TSS	  Clcnka	2.21381984993	1.5667260656645	-0.342328223866443	0.0388892756106756
chr4:141397706:141399706	  TSS	  Clcnka	2.00576116193	1.394779602955	-0.359343763959061	0.0367862404177807
chr5:136197954:136199954	  TSS	  Prkrip1	1.855517991134	1.507986832536	-0.206648229639701	0.0486685500069193
chr6:52203587:52205587	  TSS	  Hoxa5	1.5945942578645	1.291881837369	-0.209745316093472	0.036446974843371
chr6:88626448:88628448	  TSS	  Kbtbd12	2.7280549995	1.365272839345	-0.665855369424566	0.0118347851732809
chr6:127306967:127308967	  TSS	  D130058E03	2.44023386269	1.508627734818	-0.471835289674324	0.03710038974002
chr7:27232012:27234012	  TSS	  Adck4	2.073152886375	1.3969797488125	-0.389710255283061	0.0104066924926811
chr7:28451237:28453237	  TSS	  Lrfn1	1.902452476644	1.412494727238	-0.295605160065434	0.00723083919543795
chr7:30464591:30466591	  TSS	  Nphs1os	1.542874839495	1.358555260739	-0.127054295563512	0.00505339505656542
chr7:45895711:45897711	  TSS	  Syngr4	2.32859215367	1.695742001422	-0.314511731808977	0.0373846782126046
chr7:139893695:139895695	  TSS	  Kndc1	1.821709633308	1.434580674906	-0.237773000414285	0.00421630016416271
chr8:105288528:105290528	  TSS	  4931428F04Rik	1.583922511455	1.330592369546	-0.17384034891048	0.0180634588352334
chr8:119777416:119779416	  TSS	  Tldc1	2.261632554265	1.4206342605725	-0.456782919859985	0.0339359255816723
chr9:14902951:14904951	  TSS	  Izumo1r	1.902307935048	1.421241404595	-0.289489627678989	0.0450699338650478
chr9:109073124:109075124	  TSS	  Atrip	2.13201379013	1.457146430656	-0.376058642111112	0.0429618130565061
chr10:70654963:70656963	  TSS	  D630013N20Rik	3.52451029254	1.693315204416	-0.701899704845358	0.0163857786400643
chr10:71158634:71160634	  TSS	  Bicc1	2.6214127606	1.6513278782055	-0.454080864906277	0.0449384133735322
chr10:78573499:78575499	  TSS	  Ilvbl	1.7679754969	1.255655615243	-0.33887723909144	0.0256448342509466
chr10:79668409:79670409	  TSS	  Tpgs1	1.856549576716	1.396912407629	-0.282552660088657	0.0432256456078672
chr10:80347448:80349448	  TSS	  Adamtsl5	2.03392791112	1.54431138472	-0.273663377946366	0.0129227863608187
chr10:121364089:121366089	  TSS	  Gns	1.739184337991	1.185728618294	-0.378442523226371	0.0223337753056739
chr11:3192463:3194463	  TSS	  Sfi1	9.07497723179	1.189455920384	-1.53647477546987	0.0345089907323708
chr11:70014428:70016428	  TSS	  Acadvl	2.19777669474	1.633443268765	-0.29459724649102	0.0230431618835118
chr11:72206553:72208553	  TSS	  Txndc17	1.938003225974	1.448434818465	-0.289134719776102	0.00614235638479202
chr11:94781703:94783703	  TSS	  Tmem92	2.48346199294	1.381337519641	-0.570339791086848	0.0371653571661197
chr11:101424084:101426084	  TSS	  Rundc1	1.869194760952	1.476465272665	-0.234769512945653	0.0358018078785672
chr11:121420372:121422372	  TSS	  Fn3krp	2.01142375198	1.261616629937	-0.458171629158967	0.027422422665943
chr12:70101854:70103854	  TSS	  Nin	2.49791011903	1.389352091218	-0.570354129901248	0.0320008938676162
chr12:84641554:84643554	  TSS	  Vrtn	1.524690078217	1.41381036503	-0.0754668684442869	0.0424233609277057
chr12:117150269:117152269	  TSS	  Gm10421	1.687036170061	1.249510557734	-0.297986480641178	0.0351579444002059
chr13:30544316:30546316	  TSS	  Uqcrfs1	2.83672434678	1.835419468343	-0.428627592839044	0.0109342728542672
chr13:95443831:95445831	  TSS	  Crhbp	2.02588387826	1.543914683808	-0.270025989462438	0.0420737239723637
chr13:114457951:114459951	  TSS	  Fst	1.567930362838	1.348844058725	-0.150225058539562	0.0281037379349485
chr14:68122751:68124751	  TSS	  A230070E04Rik	2.24824425009	1.379900652567	-0.478670847400326	0.000224949475643923
chr14:79661170:79663170	  TSS	  Lect1	2.65838695136	1.852475213198	-0.357320489415117	0.0376992906996046
chr15:74708322:74710322	  TSS	  Jrk	3.0055168779	1.690956894295	-0.559807228728805	0.0200291917967734
chr15:80090333:80092333	  TSS	  Syngr1	1.765702024309	1.476823763635	-0.178181010462939	0.0373419620747966
chr15:97766666:97768666	  TSS	  Rapgef3	2.266072538	1.510766148131	-0.399967513911873	0.0277639026125038
chr16:13670857:13672857	  TSS	  Bfar	4.90121515574	1.829556289068	-0.91272119157795	0.0349898338917976
