feature.name	chr	start	end	pvalue	qvalue	meth.diff	dist.to.feature	ensembl_gene_id	mgi_symbol	entrezgene_description
ENSMUST00000000175.5	chr9	50596001	50597000	1.02088293828089e-16	2.08430297264312e-13	-27.3736005778259	6813	ENSMUSG00000000171	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein
ENSMUST00000003826.7	chr9	48911001	48912000	8.44239211582988e-11	7.03579136655729e-08	-31.6129032258065	0	ENSMUSG00000032269	Htr3a	5-hydroxytryptamine (serotonin) receptor 3A
ENSMUST00000008036.8	chr9	61910001	61911000	6.70960141348841e-25	3.58985538664849e-21	-33.8756686958126	3543	ENSMUSG00000007892	Rplp1	ribosomal protein, large, P1
ENSMUST00000008462.10	chr7	100863001	100864000	1.11760855388857e-66	7.33147270026053e-62	48.6842105263158	0	ENSMUSG00000008318	Relt	RELT tumor necrosis factor receptor
ENSMUST00000008528.7	chr7	27481001	27482000	9.01315257508007e-15	1.41876210495435e-11	27.0295295295295	-4910	ENSMUSG00000008384	Sertad1	SERTA domain containing 1
ENSMUST00000012281.7	chr9	75791001	75792000	1.63159913481416e-12	1.80479731710098e-09	-29.2555756479807	15639	ENSMUSG00000032179	Bmp5	bone morphogenetic protein 5
ENSMUST00000018816.13	chr11	96849001	96850000	1.32924926333247e-19	3.93247158201483e-16	-37.8086099585062	0	ENSMUSG00000018672	Copz2	coatomer protein complex, subunit zeta 2
ENSMUST00000020650.1	chr11	53636001	53637000	5.90354848794772e-19	1.62837771010563e-15	-29.5746183435509	-1300	ENSMUSG00000020383	Il13	interleukin 13
ENSMUST00000021939.7	chr13	64429001	64430000	6.78588389779101e-09	3.80612884160922e-06	-25.1734104046243	-2314	ENSMUSG00000021483	Cdk20	cyclin-dependent kinase 20
ENSMUST00000025377.13	chr18	43003001	43004000	1.50058977342704e-16	2.99481174430733e-13	-25.8731647026232	55472	ENSMUSG00000024500	Ppp2r2b	protein phosphatase 2, regulatory subunit B, beta
ENSMUST00000026142.7	chrX	94544001	94545000	1.06555530854402e-05	0.0019086966727986	-26.5151515151515	-1859	ENSMUSG00000025151	Maged1	melanoma antigen, family D, 1
ENSMUST00000030734.4	chr4	124708001	124709000	6.08092145114651e-11	5.18645842988147e-08	27.6960784313726	-5776	ENSMUSG00000028902	Sf3a3	splicing factor 3a, subunit 3
ENSMUST00000031327.8	chr5	90890001	90891000	6.73864119544638e-31	6.47592813874015e-27	28.7172901725141	-241	ENSMUSG00000029380	Cxcl1	chemokine (C-X-C motif) ligand 1
ENSMUST00000033060.13	chr7	45215001	45216000	1.94750472591117e-13	2.50501221997234e-10	28.7899318387123	0	ENSMUSG00000030796	Tead2	TEA domain family member 2
ENSMUST00000034515.6	chr9	42771001	42772000	7.63999398684192e-15	1.2121094593593e-11	-33.6217008797654	36700	ENSMUSG00000032017	Grik4	glutamate receptor, ionotropic, kainate 4
