chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand
chr1	4523474	4523474	+	5.80990126505911e-06	0.00509086926469649	-34.5533498759305	1	571	ENSMUST00000195361.1	+
chr1	5706335	5706335	+	9.07615489528217e-06	0.00776940072117029	-37.5	2	-61591	ENSMUST00000175274.1	-
chr1	5986018	5986018	+	5.31051168682598e-06	0.00467716047232672	32.0987654320988	3	64028	ENSMUST00000191956.1	-
chr1	10341755	10341755	+	9.61754750199108e-06	0.00820631109227914	-46.0573476702509	4	-109086	ENSMUST00000131556.1	-
chr1	11089729	11089729	+	5.36958557358222e-07	0.000513450668670953	32.6086956521739	5	-8801	ENSMUST00000189822.1	+
chr1	13308518	13308518	+	6.84538313566047e-06	0.00595377892891808	-40.4120879120879	6	-8797	ENSMUST00000145280.1	-
chr1	21004716	21004716	+	7.97678274192774e-06	0.00687768919809669	39.5743145743146	7	38941	ENSMUST00000187210.1	-
chr1	21860443	21860443	+	6.00058385916394e-12	7.70664945288562e-09	83.7837837837838	8	-4542	ENSMUST00000134505.1	-
chr1	24251734	24251734	+	6.77979594371239e-06	0.00589936232680378	-29.3103448275862	9	22219	ENSMUST00000147902.1	+
chr1	24347911	24347911	+	1.14401325648927e-05	0.00964762183327796	36.4423851732474	10	104835	ENSMUST00000144297.1	-
chr1	24704964	24704964	+	2.58439998358805e-06	0.0023517600923848	36.332503113325	11	-23678	ENSMUST00000187468.1	+
chr1	27409983	27409983	+	6.3157649066288e-06	0.00551124882688931	26.4150943396226	12	-73216	ENSMUST00000188432.1	-
chr1	28619181	28619181	+	5.67063966808633e-06	0.00497638008184716	38.2137161084529	13	-38410	ENSMUST00000145844.2	-
chr1	33290059	33290059	+	2.22479288838359e-07	0.000218490726514784	-49.8305084745763	14	-3617	ENSMUST00000083289.1	+
chr1	38184700	38184700	+	1.03537701208058e-05	0.00878793805178809	28.5714285714286	15	12744	ENSMUST00000136641.2	-
chr1	46461899	46461899	+	2.5189895796565e-06	0.00229464400382564	43.9943141435679	16	36309	ENSMUST00000189749.6	+
chr1	47824201	47824201	+	1.52191480650665e-08	1.59705031160608e-05	47.3547472838923	17	-72634	ENSMUST00000157392.1	-
chr1	51858545	51858545	+	8.20288981084146e-06	0.0070625056735361	-31.4285714285714	18	-7440	ENSMUST00000123299.1	-
chr1	57424814	57424814	+	7.16686085859856e-06	0.00621849529605138	-28.6855482933914	19	-2442	ENSMUST00000104588.1	-
chr1	57462590	57462590	+	2.00247132106321e-06	0.00184076733961559	42.7777777777778	20	-5280	ENSMUST00000157728.1	+
chr1	59990133	59990133	+	1.12454301086319e-25	6.55907493594078e-22	-87.5	21	795	ENSMUST00000185891.1	-
chr1	60236037	60236037	+	1.03826131930499e-05	0.00881098275961567	-28.7671232876712	22	575	ENSMUST00000188450.6	+
chr1	61192239	61192239	+	8.14515322793854e-07	0.000769202785220875	-47.2452830188679	23	5004	ENSMUST00000120063.1	-
chr1	64160545	64160545	+	8.89958374143389e-06	0.00762786646868751	-30.952380952381	24	10346	ENSMUST00000117621.1	+
chr1	68625150	68625150	+	2.04117036531438e-07	0.000200874447007682	-52.9411764705882	25	15680	ENSMUST00000193995.1	-
chr1	68625203	68625203	+	4.73749338051226e-06	0.00419614267812047	-46.6666666666667	26	15627	ENSMUST00000193995.1	-
chr1	68625214	68625214	+	7.95923789677771e-06	0.00686369842182491	-48.4407484407484	27	15616	ENSMUST00000193995.1	-
chr1	72278812	72278812	+	6.37112083731284e-06	0.00555769048387922	-34.1463414634146	28	5448	ENSMUST00000134840.7	-
chr1	72945814	72945814	+	1.13617403953277e-05	0.00958720636388313	-40.2356902356902	29	-39030	ENSMUST00000188793.1	+
chr1	75475103	75475103	+	1.1573301246637e-05	0.00975413195694642	29.1475409836066	30	3644	ENSMUST00000143496.7	-
chr1	78532600	78532600	+	7.19858289795101e-06	0.00624428533818696	44.8696383515559	31	-5028	ENSMUST00000125458.1	+
chr1	81123018	81123018	+	3.12222892762474e-32	5.87575590063387e-28	-89.0625	32	45437	ENSMUST00000123285.1	+
chr1	81137918	81137918	+	3.17704082541914e-14	4.84476501625909e-11	-44	33	60337	ENSMUST00000123285.1	+
chr1	81141263	81141263	+	1.18421673201618e-13	1.72517233328863e-10	-63.4146341463415	34	63682	ENSMUST00000123285.1	+
chr1	81142615	81142615	+	7.47657293184958e-11	8.97295513420042e-08	-64.4067796610169	35	65034	ENSMUST00000123285.1	+
chr1	81145567	81145567	+	1.47891736120024e-27	1.16610196253381e-23	-85.5072463768116	36	67986	ENSMUST00000123285.1	+
chr1	81169389	81169389	+	3.17301196348604e-18	6.98942290344559e-15	-66.0714285714286	37	91808	ENSMUST00000123285.1	+
chr1	81176949	81176949	+	2.96825146214711e-18	6.55780307725603e-15	-82.8070175438597	38	99368	ENSMUST00000123285.1	+
chr1	81178138	81178138	+	7.33440148896656e-25	3.7499938872221e-21	-79.017094017094	39	100557	ENSMUST00000123285.1	+
chr1	81180788	81180788	+	1.29608856186666e-10	1.53334241514021e-07	-41.6666666666667	40	103207	ENSMUST00000123285.1	+
chr1	81188912	81188912	+	1.05258194196352e-19	2.73745936838912e-16	-91.6666666666667	41	111331	ENSMUST00000123285.1	+
chr1	81189736	81189736	+	4.43122529009864e-25	2.35585813141806e-21	-81.1320754716981	42	112155	ENSMUST00000123285.1	+
chr1	81191990	81191990	+	3.84098598886557e-21	1.18334630275283e-17	-86.5384615384615	43	114409	ENSMUST00000123285.1	+
chr1	81192786	81192786	+	3.14575954501859e-07	0.000305897521563696	31.1252128153537	44	115205	ENSMUST00000123285.1	+
chr1	81193132	81193132	+	2.81962793070715e-22	1.00255381809904e-18	-82.1212121212121	45	115551	ENSMUST00000123285.1	+
chr1	81198690	81198690	+	7.82448155693437e-17	1.49373373939852e-13	-84.9358974358974	46	121109	ENSMUST00000123285.1	+
chr1	81212042	81212042	+	2.60547688144159e-10	3.03167313374137e-07	-76.6666666666667	47	134461	ENSMUST00000123285.1	+
chr1	81220928	81220928	+	4.16598758654655e-23	1.65451656520244e-19	-83.8541666666667	48	143347	ENSMUST00000123285.1	+
chr1	81221297	81221297	+	7.67017398574458e-27	5.42113267574752e-23	-87.5	49	143716	ENSMUST00000123285.1	+
chr1	81224359	81224359	+	7.47034493396407e-37	4.07992065126104e-32	-91.1821705426357	50	146778	ENSMUST00000123285.1	+
chr1	81225228	81225228	+	9.77741242459515e-12	1.23701440402895e-08	-65.7894736842105	51	147647	ENSMUST00000123285.1	+
chr1	81226412	81226412	+	1.63089963636519e-21	5.28405341351201e-18	-95.1219512195122	52	148831	ENSMUST00000123285.1	+
chr1	81226949	81226949	+	3.25942221824021e-15	5.36477489550681e-12	-83.8709677419355	53	149368	ENSMUST00000123285.1	+
chr1	81228914	81228914	+	5.9300103555257e-22	2.02904539993644e-18	-91.0714285714286	54	151333	ENSMUST00000123285.1	+
chr1	81230722	81230722	+	3.25951233249534e-11	4.00071674762465e-08	-56.6666666666667	55	153141	ENSMUST00000123285.1	+
chr1	81240203	81240203	+	5.74443323968836e-25	2.99090780738558e-21	-93.75	56	162622	ENSMUST00000123285.1	+
chr1	81243957	81243957	+	1.5659707921377e-19	3.99416103017293e-16	-68.9655172413793	57	166376	ENSMUST00000123285.1	+
chr1	81261852	81261852	+	1.56622037375592e-18	3.56464236898347e-15	-81.3107822410148	58	184271	ENSMUST00000123285.1	+
chr1	81262694	81262694	+	3.17462049246017e-14	4.84154684663748e-11	-72.3076923076923	59	185113	ENSMUST00000123285.1	+
chr1	81262731	81262731	+	2.01414184665755e-14	3.12450199551668e-11	-68	60	185150	ENSMUST00000123285.1	+
chr1	81263146	81263146	+	5.84271062044745e-21	1.76318224498248e-17	-65.1761517615176	61	185565	ENSMUST00000123285.1	+
chr1	81263229	81263229	+	3.30417057843567e-18	7.26501644307289e-15	-53.5211267605634	62	185648	ENSMUST00000123285.1	+
chr1	81264210	81264210	+	1.38241026289221e-16	2.57889079904631e-13	-90.9090909090909	63	186629	ENSMUST00000123285.1	+
chr1	81321461	81321461	+	6.2586119542018e-18	1.33477106735384e-14	-76.8197088465845	64	200881	ENSMUST00000192484.1	-
