location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:13140104:13371429	  gene	  Ncoa2	1.766772327485	2.76686310145	0.441187117774017	0.0118910927961096
chr1:13140104:13373083	  gene	  Ncoa2	1.766772327485	2.76686310145	0.441187117774017	0.0118910927961096
chr1:13140158:13373083	  gene	  Ncoa2	1.766772327485	2.76686310145	0.441187117774017	0.0118910927961096
chr1:13565692:13588910	  gene	  Tram1	1.9185448498655	3.43630946802	0.5668742894032	0.00491336290007906
chr1:20891621:20937756	  gene	  Paqr8	1.221954838242	1.757251692522	0.359355317432609	0.0100175777888078
chr1:22289421:22431843	  gene	  Rims1	1.976761809838	3.87779699317	0.649420476349225	0.0452593760302464
chr1:24178609:24251738	  gene	  Col9a1	1.26466777864	1.700911201769	0.29420455567758	0.00904847493765928
chr1:24196202:24251738	  gene	  Col9a1	1.26466777864	1.700911201769	0.29420455567758	0.00904847493765928
chr1:24258682:24586437	  gene	  Col19a1	2.32710583846	2.59337583689	0.108229240955789	0.0241820732326193
chr1:33909224:34307662	  gene	  Dst	1.692937431907	1.738752592961	0.0267012234333504	0.030962032872086
chr1:34012824:34307662	  gene	  Dst	1.692937431907	1.738752592961	0.0267012234333504	0.030962032872086
chr1:34802721:34811754	  gene	  Arhgef4	1.415469180186	1.794505430875	0.236161525628838	0.0286325388791346
chr1:36069399:36105446	  gene	  Hs6st1	1.57390390629	2.47524431075	0.445200005604584	0.0381982785733974
chr1:36308732:36323029	  gene	  Arid5a	2.2015439010065	3.571664414155	0.474647869383238	0.0128769967946923
chr1:36512875:36527237	  gene	  Cnnm3	1.874403907215	2.69448123403	0.358983560086403	0.034088616910985
chr1:37612675:37718811	  gene	  2010300C02Rik	1.699682785768	2.206397674115	0.259449283521506	0.00860346934463422
chr1:38176990:38626244	  gene	  Aff3	1.373202645611	3.38089890141	0.84461647945112	0.0350066605851582
chr1:38176990:38626244	  gene	  Aff3	1.530573953005	2.110945171385	0.318752256162993	0.0258350418335857
chr1:38864872:38897160	  gene	  Chst10	1.88501572708	2.72670428725	0.365021535372755	0.0319610716515027
chr1:39195271:39362240	  gene	  Npas2	2.48230844486	3.17080806538	0.243582321104778	0.0465921008423909
chr1:39372495:39477747	  gene	  Tbc1d8	1.474919560939	1.883409775012	0.243269895956958	0.0262412233246061
chr1:39372495:39477747	  gene	  Tbc1d8	2.12004853023	2.491143950615	0.160954209535403	0.0299792254746375
chr1:39901912:40025310	  gene	  Map4k4	1.2153697199265	1.5053187930865	0.213143894843661	0.0296447272396264
chr1:39901912:40025310	  gene	  Map4k4	1.5542254652795	1.894300130174	0.19722902178418	0.0212732765317595
chr1:40226079:40315177	  gene	  Il1r1	1.485443194258	1.596488503203	0.0720621479291595	0.0117529657073977
chr1:42953871:43034449	  gene	  Gpr45	1.3720885632	1.865614774467	0.304861909690974	0.00513488286088862
chr1:54646339:54925387	  gene	  Ankrd44	1.693526504877	2.03996009481	0.185581804398089	0.0386484027867931
chr1:54646339:54925387	  gene	  Ankrd44	1.383071438353	2.0101537023	0.369608403777371	0.00350552937640405
chr1:58279325:58378264	  gene	  Aox2	1.62502907266	1.982111501997	0.197986422733721	0.0206503272813301
chr1:62704316:62817692	  gene	  Nrp2	1.461694179241	2.01495989206	0.318274813353497	0.0163691873494053
chr1:62704316:62817692	  gene	  Nrp2	1.488647989695	1.739622276737	0.155485300999526	0.044774803424475
chr1:62704316:62796091	  gene	  Nrp2	1.461694179241	2.01495989206	0.318274813353497	0.0163691873494053
chr1:63201357:63313575	  gene	  Zdbf2	1.572307749514	1.903497278979	0.19056853117483	0.0281049306156949
chr1:65159615:65185479	  gene	  Idh1	1.2501493099485	1.547661917834	0.212675254807169	0.0368416353772587
chr1:71586472:71652234	  gene	  Fn1	2.06517766189	3.25432851369	0.447090693214711	0.0299576970899905
chr1:72584250:72635790	  gene	  Smarcal1	2.162549594982	2.671028291225	0.210394332402912	0.00898419500748514
chr1:73911230:74123449	  gene	  Tns1	1.707812521457	2.13191607986	0.220902882697249	0.0303431724506618
chr1:73911230:74123449	  gene	  Tns1	1.468970651875	1.944915607302	0.278828829840241	0.0167476957373312
chr1:73911230:74123449	  gene	  Tns1	1.303290571175	2.029260728263	0.435684310222278	0.0259559192780284
chr1:73911230:74123449	  gene	  Tns1	1.435376002486	1.995571504318	0.326554399751708	0.0233089067534585
chr1:73911230:74123447	  gene	  Tns1	1.707812521457	2.13191607986	0.220902882697249	0.0303431724506618
chr1:73911230:74123447	  gene	  Tns1	1.468970651875	1.944915607302	0.278828829840241	0.0167476957373312
chr1:73911230:74123447	  gene	  Tns1	1.303290571175	2.029260728263	0.435684310222278	0.0259559192780284
chr1:73911230:74123447	  gene	  Tns1	1.435376002486	1.995571504318	0.326554399751708	0.0233089067534585
chr1:75181860:75191010	  gene	  Atg9a	2.42571132639	2.919456507525	0.18474450063184	0.031291790500605
chr1:75361291:75367579	  gene	  Des	2.41138283935	2.82451702861	0.157808284985772	0.00743506515151975
chr1:75376296:75431306	  gene	  Speg	1.513734496777	1.540088104074	0.0172594225281169	0.0453559651182758
chr1:75376296:75431306	  gene	  Speg	1.4895395227655	2.06023905706	0.321540919502959	0.00272815410934678
chr1:75386609:75431304	  gene	  Speg	1.4895395227655	2.06023905706	0.321540919502959	0.00272815410934678
chr1:75486824:75505452	  gene	  Obsl1	2.011262295128	3.39062044716	0.51069533266017	0.00541201529887526
chr1:82451722:82585849	  gene	  Col4a4	1.439072620599	3.178310781885	0.753343618964086	0.0130999407167451
chr1:84840840:84899486	  gene	  Fbxo36	2.38532993984	4.02398560599	0.511335619047852	0.025027724814018
chr1:85895509:85907698	  gene	  Itm2c	1.505853300165	1.887546809195	0.224962277791632	0.0030377965725903
chr1:86155779:86277284	  gene	  Armc9	2.899489094575	3.5012407572	0.188025952214848	0.00705961937309809
chr1:86155779:86277284	  gene	  Armc9	1.544791398567	2.429427727965	0.445187495320599	0.0416428219174857
chr1:86155814:86251491	  gene	  Armc9	2.899489094575	3.5012407572	0.188025952214848	0.00705961937309809
chr1:86155814:86251491	  gene	  Armc9	1.544791398567	2.429427727965	0.445187495320599	0.0416428219174857
chr1:87265363:87309791	  gene	  Efhd1	1.4398551978625	1.7563327020375	0.198034354729208	0.0239400159531851
chr1:87477828:87572870	  gene	  Ngef	1.441054308492	2.077639145855	0.361830233649119	0.0399622681835086
chr1:87477828:87572870	  gene	  Ngef	1.411354911842	1.9083605475805	0.299426647743454	0.0356566065656426
chr1:87477828:87509362	  gene	  Ngef	1.441054308492	2.077639145855	0.361830233649119	0.0399622681835086
chr1:87804679:87844157	  gene	  Sag	1.572649855519	2.26525959806	0.360930736338824	0.00937632102802361
chr1:88228019:88261289	  gene	  Mroh2a	4.55821120343	7.43154295514	0.479297859440464	0.0084644643754993
chr1:88259855:88276579	  gene	  Hjurp	4.17016238706	7.63746102356	0.58729830990061	0.0369971080777729
chr1:89455810:89894282	  gene	  Agap1	1.361487867944	1.7656194848785	0.258469934887099	0.00103497983846931
chr1:89455810:89894282	  gene	  Agap1	1.3898205090975	1.935684620971	0.328289442068764	0.0273829113531338
chr1:89455810:89894282	  gene	  Agap1	1.332920948194	2.21062973894	0.495383793398415	0.0448823209903279
chr1:89455810:89894282	  gene	  Agap1	1.683868948125	2.014610690326	0.178852812254238	0.0416688852126594
chr1:89455810:89894282	  gene	  Agap1	1.5670461681225	1.843692377268	0.162220707019234	0.00252733943852307
chr1:89953677:90013577	  gene	  Asb18	1.65385764581	1.985049768499	0.182028331573746	0.018198165347583
chr1:90767859:90842971	  gene	  Col6a3	2.03771623046	5.33012740704	0.893724497578278	0.0314627190665347
chr1:90999726:91127944	  gene	  Lrrfip1	1.494682016184	1.8721628892015	0.224234191728697	0.032251430200627
chr1:91054443:91116322	  gene	  Lrrfip1	1.438666556287	1.804517977114	0.225612460258835	0.0283591405241709
chr1:91054443:91127944	  gene	  Lrrfip1	1.438666556287	1.804517977114	0.225612460258835	0.0283591405241709
chr1:91299337:91320080	  gene	  Scly	1.9309122524935	2.68792183128	0.327792497005234	0.0216170115079426
chr1:91323074:91347303	  gene	  Espnl	1.6045771603965	2.41360803208	0.402684711097089	0.0137241955616076
