location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:4806892:4808892	  TSS	  Lypla1	1.00754338484416	2.9729906165	0.987529427454779	0.0312456000230837
chr1:16104881:16106881	  TSS	  Rdh10	1.30989976698	1.826239060554	0.329283441817533	0.0288250449998613
chr1:22804724:22806724	  TSS	  Rims1	1.3209212842025	1.702781598333	0.252577934383748	0.0375378277882826
chr1:25828707:25830707	  TSS	  Bai3	1.1675823290411	1.4210884957345	0.19585817112562	0.0323897692402626
chr1:34458745:34460745	  TSS	  Ptpn18	1.134802736484	1.3452626161545	0.16972123693966	0.0259327143446975
chr1:36067399:36069399	  TSS	  Hs6st1	1.166109204676	1.877886922768	0.467660068076151	0.00807866353768393
chr1:42696145:42698145	  TSS	  Pou3f3	1.254111437766	1.572550994103	0.22531134439456	0.0340090245716864
chr1:44146743:44148743	  TSS	  Ercc5	1.0785868918372	1.328845743302	0.207905174842269	0.0292894858073183
chr1:52726318:52728318	  TSS	  Mfsd6	1.2286975152575	1.7336271474125	0.340900940749619	0.0214083452833506
chr1:54556684:54558684	  TSS	  Pgap1	1.293856779519	1.830248030888	0.343388768252702	0.0329335586501674
chr1:64616168:64618168	  TSS	  Mettl21a	1.1304611725895	1.327941237982	0.160657233773695	0.0469991267919786
chr1:66862309:66864309	  TSS	  Acadl	1.304233553156	1.593467898092	0.199630189515508	0.0309824951525387
chr1:74390608:74392608	  TSS	  Ctdsp1	1.197896541723	1.394030797295	0.151342402712808	0.0150767912487684
chr1:75359291:75361291	  TSS	  Des	1.0568828167964	1.4266081202675	0.297746448721256	0.0495672592588942
chr1:75381113:75383113	  TSS	  Speg	1.165443736862	1.6002573568845	0.314432836582126	0.0129417225746155
chr1:75478471:75480471	  TSS	  Chpf	1.303852430253	1.684875171397	0.254973213974835	0.0469786198360804
chr1:75478531:75480531	  TSS	  Tmem198	1.303852430253	1.684875171397	0.254973213974835	0.0469786198360804
chr1:84934083:84936083	  TSS	  Slc16a14	1.0947045381827	1.308823591001	0.178170623608237	0.0409584946407353
chr1:86358455:86360455	  TSS	  Ncl	1.15931310173	1.547658127484	0.286922167153406	0.0107203229968012
