location	feature	gene	median_WT	median_KO	rratio	pvals
1:4489927:4491927	  TES	  Sox17	1.18333333333333	1.06274509803922	-0.107376691401135	0.0123124713203547
1:4772199:4774199	  TES	  Mrpl15	1.90909090909091	1.8125	-0.0519083969465649	0.0205941896160935
1:4896909:4898909	  TES	  Tcea1	1.95454545454546	1.76923076923077	-0.0995305164319253	0.00418180722538383
1:6859940:6861940	  TES	  St18	1.83666666666667	1.72200772200772	-0.0644391321801459	0.00751699545967929
1:9546455:9548455	  TES	  Rrs1	1.21052631578947	1	-0.190476190476191	0.023963339067982
1:9770256:9772256	  TES	  1700034P13Rik	1.80952380952381	1.72222222222222	-0.0494382022471913	0.00762477204856084
1:9901568:9903568	  TES	  Sgk3	1.94444444444444	1.85	-0.049780380673499	0.0139489930486027
1:12859372:12861372	  TES	  Sulf1	1.875	1.72413793103448	-0.0838323353293412	0.00186803048795444
1:12865549:12867549	  TES	  Slco5a1	1.8695652173913	1.79473684210526	-0.0408418160244802	0.0217129682198688
1:13112427:13114427	  TES	  Prdm14	1.98648648648649	1.88194444444444	-0.0540488088884575	0.000275190233135125
1:13138104:13140104	  TES	  Ncoa2	1.93333333333333	1.8	-0.0714285714285713	8.61240534144481e-05
1:13138158:13140158	  TES	  Ncoa2	1.9375	1.8	-0.0735785953177257	1.00733854921076e-05
1:13563692:13565692	  TES	  Tram1	1.9	1.83333333333333	-0.0357142857142858	0.00557371770421315
1:14167957:14169957	  TES	  Eya1	1.88888888888889	1.83333333333333	-0.029850746268657	0.0112263326905836
1:14752345:14754345	  TES	  Msc	1.89473684210526	1.8	-0.0512820512820511	0.000279501447274628
1:15843052:15845052	  TES	  Terf1	1.94868421052632	1.83333333333333	-0.060999652093239	0.00133005677274332
1:15852861:15854861	  TES	  Sbspon	1.9180602006689	1.7287784679089	-0.103805926152368	0.00649203551524644
1:16100295:16102295	  TES	  Rpl7	1.89285714285714	1.78461538461538	-0.0588674734797551	0.00589905845300947
1:16227809:16229809	  TES	  Stau2	1.80625	1.65384615384615	-0.0880922606641655	0.000105530251160236
1:16567673:16569673	  TES	  Ube2w	1.89473684210526	1.83333333333333	-0.0329411764705882	0.00154733401690535
1:20776145:20778145	  TES	  Il17f	1.93333333333333	1.82608695652174	-0.0570547417116422	0.00787479175350369
1:20802013:20804013	  TES	  Mcm3	1.89736842105263	1.8	-0.0526690391459073	0.00700539564413158
1:20989841:20991841	  TES	  Efhc1	1.92261904761905	1.86190476190476	-0.0320855614973264	0.00398186547422172
1:21000396:21002396	  TES	  Tram2	1.96	1.85714285714286	-0.0538922155688623	4.99496397008746e-05
1:22467190:22469190	  TES	  Rims1	1.93095238095238	1.82843137254902	-0.0545413903583937	0.0043079263613421
1:23846858:23848858	  TES	  B3gat2	1.95	1.83333333333333	-0.0616740088105728	0.0303497288893166
1:23994938:23996938	  TES	  1110058L19Rik	2	1.85714285714286	-0.0740740740740742	1.02623686883444e-08
1:25066475:25068475	  TES	  Bai3	1.90277777777778	1.75961538461538	-0.0781796966161029	0.000254568772976717
1:30801341:30803341	  TES	  Phf3	1.9375	1.8	-0.0735785953177257	1.25213329319336e-05
1:31267061:31269061	  TES	  Gm4850	1.625	1.4375	-0.122448979591837	0.00164482952215072
1:33452807:33454807	  TES	  Prim2	1.91666666666667	1.77346041055719	-0.0776158940397352	6.63117617441611e-05
1:33741564:33743564	  TES	  Rab23	1.5	1.33333333333333	-0.11764705882353	0.0243365381790413
1:33744483:33746483	  TES	  Bag2	2	1.88486842105263	-0.0592718035563083	0.00021473529464961
1:33760540:33762540	  TES	  Zfp451	1.92857142857143	1.82857142857143	-0.0532319391634981	0.000822944793073995
1:33800959:33802959	  TES	  Zfp451	1.90909090909091	1.77777777777778	-0.0712328767123287	0.00133389476182333
1:33834898:33836898	  TES	  Gm15455	1.94444444444444	1.85714285714286	-0.0459290187891439	0.00128762387106314
1:33851051:33853051	  TES	  Bend6	1.93333333333333	1.85714285714286	-0.0402010050251256	0.0291286650670695
1:34307662:34309662	  TES	  Dst	2	1.88888888888889	-0.0571428571428571	1.00642577288821e-07
1:34182903:34184903	  TES	  Dst	1.52753623188406	1.33333333333333	-0.135764944275583	0.000475567102482806
1:34435669:34437669	  TES	  Ccdc115	1.93333333333333	1.83333333333333	-0.0530973451327434	0.0123956449769503
1:34444747:34446747	  TES	  Imp4	1.92857142857143	1.83333333333333	-0.0506329113924056	0.0128656141472271
1:34472779:34474779	  TES	  Ptpn18	1.85416666666667	1.66433566433566	-0.107904434598982	0.00379061039680167
1:34502062:34504062	  TES	  Prss39	1.90476190476191	1.75	-0.0846905537459285	0.00685310122419549
1:34543311:34545311	  TES	  Cfc1	1.76923076923077	1.64583333333333	-0.072266541529798	0.00271622914077991
1:34551330:34553330	  TES	  Prss40	1.84962406015038	1.66666666666667	-0.104062722736992	0.00657029970050829
1:34589944:34591944	  TES	  Amer3	1.9	1.77777777777778	-0.066465256797583	0.0141553360383564
1:34632534:34634534	  TES	  AA619741	1.84857142857143	1.73214285714286	-0.0650309196090165	0.0151562635888944
1:34811754:34813754	  TES	  Arhgef4	1.72727272727273	1.42857142857143	-0.189300411522633	1.24958468327517e-05
1:34812217:34814217	  TES	  Fam168b	1.73400673400673	1.47727272727273	-0.159895150720839	0.00301112005213786
1:34878585:34880585	  TES	  Plekhb2	1.93333333333333	1.84697855750487	-0.0456865879441033	0.0132530333043312
1:36105446:36107446	  TES	  Hs6st1	1.90890688259109	1.77124183006536	-0.0748149399790762	0.000533554337355419
1:36263601:36265601	  TES	  Neurl3	1.61538461538461	1.5	-0.0740740740740738	5.78837732328188e-06
1:36334729:36336729	  TES	  Kansl3	2	1.875	-0.0645161290322581	0.000169161251115197
1:36421110:36423110	  TES	  Fer1l5	1.92307692307692	1.82352941176471	-0.0531400966183573	0.00125773572717967
1:36422185:36424185	  TES	  Lman2l	1.88888888888889	1.76363636363636	-0.0685840707964602	0.00787591291774396
1:36507776:36509776	  TES	  Cnnm4	1.90238095238095	1.75252525252525	-0.0820024873166592	0.000345896214763895
