chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand
chr1	7453169	7453169	+	1.97801953438467e-06	0.00317971870609112	-41.010101010101	1	42492	ENSMUST00000193998.1	+
chr1	11147640	11147640	+	9.73840433470005e-14	2.14287796467111e-10	-77.3109243697479	2	6951	ENSMUST00000187694.1	+
chr1	11852916	11852916	+	5.55707610716842e-06	0.0085352005297502	-49.6228448275862	3	148711	ENSMUST00000195360.1	+
chr1	12700543	12700543	+	3.74052913034364e-06	0.00586628205845164	-35.7371794871795	4	8013	ENSMUST00000186051.6	+
chr1	18600297	18600297	+	6.36616580056626e-06	0.0097138926496037	40.7019704433498	5	-108131	ENSMUST00000189030.1	+
chr1	21888165	21888165	+	4.24289709827652e-06	0.00662024486755373	-38.5714285714286	6	-32264	ENSMUST00000134505.1	-
chr1	24612996	24612996	+	1.27256050991232e-06	0.00207298446938551	34.375	7	124	ENSMUST00000188299.1	-
chr1	25248363	25248363	+	6.11763150654e-06	0.00935568548838666	26.027397260274	8	-19264	ENSMUST00000153568.7	-
chr1	25336513	25336513	+	5.37005769151252e-06	0.00827562551791221	40.75682382134	9	-8116	ENSMUST00000193079.1	-
chr1	27845980	27845980	+	5.18768548641675e-06	0.00800800978009475	33.5435435435435	10	-38066	ENSMUST00000185409.1	+
chr1	28619181	28619181	+	7.55872822341413e-09	1.34171737672343e-05	-45.7047791893527	11	-38410	ENSMUST00000145844.2	-
chr1	35859031	35859031	+	3.02628561033207e-06	0.00479038497286478	-27.5983717774762	12	-20814	ENSMUST00000194261.1	+
chr1	41476445	41476445	+	4.92491257296345e-06	0.0076249865759329	-35.8974358974359	13	53099	ENSMUST00000191087.1	-
chr1	46526781	46526781	+	3.39975778291351e-07	0.000569496872616083	-32.3479932708483	14	-82180	ENSMUST00000178395.1	+
chr1	47824201	47824201	+	3.01327105694644e-07	0.00050584111964694	43.0138826690551	15	-72634	ENSMUST00000157392.1	-
chr1	49436143	49436143	+	3.89894227577501e-10	7.23580259969375e-07	-57.9166666666667	16	-35415	ENSMUST00000189810.1	-
chr1	49959108	49959108	+	3.14555907601677e-06	0.00497162803243187	44.5454545454545	17	-97674	ENSMUST00000190905.1	+
chr1	50933496	50933496	+	5.82472327349935e-06	0.00892697107140105	54.0723981900453	18	5979	ENSMUST00000081851.3	+
chr1	55619789	55619789	+	7.02679218072848e-08	0.000120656935123913	46.1176470588235	19	60331	ENSMUST00000193032.1	+
chr1	57462590	57462590	+	2.47230309411293e-09	4.46097815254426e-06	-45.1388888888889	20	-5280	ENSMUST00000157728.1	+
chr1	59567041	59567041	+	1.12374022576937e-06	0.00183553563212747	43.7749224634471	21	9035	ENSMUST00000187979.1	+
chr1	59847166	59847166	+	1.21818651821624e-08	2.14166170246068e-05	-31.25	22	-3499	ENSMUST00000190659.1	+
chr1	61184455	61184455	+	2.04537526827406e-13	4.4301979978424e-10	-77.7777777777778	23	12788	ENSMUST00000120063.1	-
chr1	62794523	62794523	+	2.79507518604621e-06	0.00444014605873326	37.8851540616246	24	-14779	ENSMUST00000192219.1	+
chr1	67699351	67699351	+	1.10899903152486e-13	2.43377167725659e-10	-61.4035087719298	25	82378	ENSMUST00000174899.2	+
chr1	69189029	69189029	+	2.15852784597276e-06	0.00346098521442564	30.9723516620068	26	-57731	ENSMUST00000122454.1	-
chr1	73060626	73060626	+	3.42929015708689e-06	0.00540203192034423	42.5373134328358	27	36059	ENSMUST00000190525.1	+
chr1	75408417	75408417	+	3.6224892749456e-06	0.00568915744123448	-52	28	7409	ENSMUST00000122266.2	+
chr1	96910362	96910362	+	1.37114673866003e-09	2.49598679988914e-06	-61.1111111111111	29	38131	ENSMUST00000202118.1	+
chr1	103419473	103419473	+	6.22311819049107e-06	0.00950769672338217	-26.8292682926829	30	55489	ENSMUST00000190357.1	+
chr1	103419628	103419628	+	6.54288694944955e-06	0.0099611623478504	-34.7342995169082	31	55644	ENSMUST00000190357.1	+
chr1	104544824	104544824	+	6.43524320883845e-11	1.23189491772806e-07	63.6470588235294	32	31825	ENSMUST00000186157.1	+
chr1	109153898	109153898	+	9.31749605655483e-17	2.58531580170506e-13	-64.4067796610169	33	-155139	ENSMUST00000188261.1	-
chr1	114357811	114357811	+	9.77346260633587e-07	0.00160227819358973	30.8882417182381	34	-393678	ENSMUST00000180837.1	-
chr1	115678239	115678239	+	5.21732026751053e-06	0.00805136849206723	39.0688259109312	35	6381	ENSMUST00000186137.6	-
chr1	118012574	118012574	+	2.98162307428885e-11	5.79074317001729e-08	48.1502669717773	36	2065	ENSMUST00000189292.1	+
chr1	121874014	121874014	+	3.51881342142139e-06	0.00553579632441258	41.8105703819989	37	96511	ENSMUST00000119656.1	-
chr1	124464133	124464133	+	4.24836206178879e-06	0.0066281097689476	40.395256916996	38	-26723	ENSMUST00000083406.1	+
chr1	135978374	135978374	+	2.70038314150188e-06	0.00429496403913519	29.7596457938014	39	4109	ENSMUST00000124134.2	-
chr1	139613550	139613550	+	7.83881661793472e-07	0.00129229824915713	-29.0322580645161	40	47350	ENSMUST00000170441.3	-
chr1	140570616	140570616	+	1.24538185800643e-14	2.91885941631428e-11	65.2012711864407	41	57662	ENSMUST00000193606.1	+
chr1	145435859	145435859	+	4.61185039463972e-08	7.9636519520227e-05	-49.4285714285714	42	-109169	ENSMUST00000194549.1	-
chr1	149082087	149082087	+	3.88058658564386e-12	7.83477535773668e-09	75.609756097561	43	-24028	ENSMUST00000191166.1	+
chr1	149858410	149858410	+	3.75043185415356e-06	0.00588122198384167	41.5584415584416	44	16882	ENSMUST00000104328.1	+
chr1	153952367	153952367	+	6.21425927912883e-14	1.38675266017671e-10	64.6993932708218	45	13143	ENSMUST00000185385.1	+
chr1	154572197	154572197	+	1.68298844017457e-25	1.39006540746924e-21	-88.0123266563945	46	-95502	ENSMUST00000188384.1	-
chr1	157392244	157392244	+	2.81870143091256e-11	5.48318942784393e-08	59.2663476874003	47	-7916	ENSMUST00000154261.1	-
chr1	158534021	158534021	+	3.02783066330886e-06	0.00479217985089929	26.5555555555556	48	-786	ENSMUST00000191771.1	+
chr1	159383312	159383312	+	2.12118601817375e-25	1.72015706971256e-21	-94.4444444444444	49	4910	ENSMUST00000194705.1	+
