gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Egfl7	negative	up	hypo	DMRs_CHG	TSS	1.52022237911634	-0.0600000000000001	2:26580055:26582055	0
Kctd12	negative	up	hypo	DMRs_CHG	TES	6.05718618614277	-0.0600000000000001	14:102975580:102977580	0
Lyz2	negative	up	hypo	DMRs_CHG	TES	1.41914592859628	-0.0649999999999999	10:117276540:117278540	0
Sparc	negative	up	hypo	DMRs_CHG	TSS	3.39175011057374	-0.0600000000000001	11:55419080:55421080	0
D7Ertd443e	positive	down	hypo	DMRs_CHG	TSS	-1.94694884121265	-0.0600000000000001	7:134363884:134365884	0
Il1rap	positive	down	hypo	DMRs_CHG	TES	-1.08557734775242	-0.0600000000000001	16:26724147:26726147	0
Neil1	positive	down	hypo	DMRs_CHG	TES	-1.93343638674097	-0.0600000000000001	9:57142255:57144255	0
Rnaset2b	positive	down	hypo	DMRs_CHG	gene	-2.01398996506294	-0.0600000000000001	17:6979859:6997193	0
Sh2d5	positive	down	hypo	DMRs_CHG	gene	-2.39041506883651	-0.0600000000000001	4:138251410:138259968	0
Slc16a10	positive	down	hypo	DMRs_CHG	gene	-2.67837906198354	-0.0600000000000001	10:40034534:40141254	0
Tln2	positive	down	hypo	DMRs_CHG	TES	-4.14633559131979	-0.0600000000000001	9:67216084:67218084	0
