location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:12693429:12859372	  gene	  Sulf1	1.3539192634215	1.6419527073395	0.192286884572597	0.0123143507158589
chr1:13140104:13371429	  gene	  Ncoa2	1.656714820246	3.1694402678	0.626886380547902	0.00740104420274954
chr1:13140104:13373083	  gene	  Ncoa2	1.656714820246	3.1694402678	0.626886380547902	0.00740104420274954
chr1:13140158:13373083	  gene	  Ncoa2	1.656714820246	3.1694402678	0.626886380547902	0.00740104420274954
chr1:13565692:13588910	  gene	  Tram1	2.35374302054	2.38524526197	0.0132949226932104	0.00399862796028666
chr1:33720895:33741564	  gene	  Rab23	2.00386469355	2.904793316105	0.367077364437667	0.0140498012378044
chr1:33721418:33741564	  gene	  Rab23	2.00386469355	2.904793316105	0.367077364437667	0.0140498012378044
chr1:33909224:34307662	  gene	  Dst	1.682563905286	3.591318948945	0.723851892966372	0.0483436055897194
chr1:33909224:34307662	  gene	  Dst	1.433317194778	2.95720510476	0.694171584160888	0.0378601886090503
chr1:34012824:34307662	  gene	  Dst	1.682563905286	3.591318948945	0.723851892966372	0.0483436055897194
chr1:34012824:34307662	  gene	  Dst	1.433317194778	2.95720510476	0.694171584160888	0.0378601886090503
chr1:36472596:36507776	  gene	  Cnnm4	3.38184748263	6.03205838414	0.563041725510543	0.0137366809014958
chr1:36512875:36527237	  gene	  Cnnm3	1.726077071409	2.39632112613	0.325171913339727	0.0269516386238751
chr1:36715537:36756960	  gene	  4933424G06Rik	1.159229123654	2.32839255916	0.670464598420925	0.00497017311569413
chr1:36793188:36938527	  gene	  Tmem131	2.32902685524	3.791384412965	0.477862514018239	0.00259480166874286
chr1:37300837:37409740	  gene	  Inpp4a	1.843075080208	2.576727927655	0.331984410229055	0.0281343689542993
chr1:37370216:37403442	  gene	  Inpp4a	1.843075080208	2.576727927655	0.331984410229055	0.0281343689542993
chr1:38176990:38626244	  gene	  Aff3	1.380005720832	2.14817178347	0.435446380858874	0.0428625483738903
chr1:38176990:38626244	  gene	  Aff3	1.345593787897	1.629805683616	0.191041168380982	0.0182726184004335
chr1:38176990:38626244	  gene	  Aff3	1.530573953005	2.51500738707	0.486670938642776	0.0107963288133207
chr1:38176990:38626244	  gene	  Aff3	1.21140711061	1.732461809561	0.353993138336291	0.0350145169039047
chr1:39901912:40025310	  gene	  Map4k4	1.2255346183465	1.552432521184	0.235350446148725	0.02379087362202
chr1:40226079:40315177	  gene	  Il1r1	1.4359625895185	1.722311002678	0.181332240415785	0.00614006428896282
chr1:43048268:43097622	  gene	  Tgfbrap1	2.12770611558	4.37787806986	0.691766301115912	0.0240933849312467
chr1:43446750:43569518	  gene	  Nck2	1.55142118355	3.50978987146	0.773873551853344	0.0317486907681786
chr1:54646339:54925387	  gene	  Ankrd44	2.0118762896	3.32330057219	0.491614173836406	0.00876398810475572
chr1:58279325:58378264	  gene	  Aox2	2.42311623932	2.565370763025	0.0570331339494834	0.00353072299219324
chr1:68040965:69107059	  gene	  Erbb4	1.313252469047	1.665112081408	0.236277061723184	0.00546525759062024
chr1:71586472:71652234	  gene	  Fn1	1.9701367387385	4.29815783582	0.742792499424127	0.0134798523881218
chr1:71586472:71652234	  gene	  Fn1	2.79247028357	3.95818646413	0.345363784333181	0.0060436818159896
chr1:72160232:72211307	  gene	  Mreg	2.765823345675	3.52686722036	0.241881868081281	0.00619331659633675
chr1:72584250:72635790	  gene	  Smarcal1	2.59987760277	2.875976245945	0.100842225085971	0.0357943316374592
chr1:73911230:74123449	  gene	  Tns1	1.6178300024995	2.366357367595	0.375749077823991	0.0192430188021336
chr1:73911230:74123449	  gene	  Tns1	1.4837931546775	1.9103923749935	0.251370596325269	0.00964554207403499
chr1:73911230:74123447	  gene	  Tns1	1.6178300024995	2.366357367595	0.375749077823991	0.0192430188021336
chr1:73911230:74123447	  gene	  Tns1	1.4837931546775	1.9103923749935	0.251370596325269	0.00964554207403499
chr1:74286033:74352692	  gene	  Pnkd	1.794657203853	2.38336883592	0.281813290038272	0.0376368526472842
chr1:74376202:74385051	  gene	  Slc11a1	2.29691213382	3.64812372111	0.454568019524891	0.0107795381157478
chr1:74566127:74587028	  gene	  Zfp142	1.67539683998	2.287019732344	0.308712060531928	0.0415375094969312
chr1:75181860:75191010	  gene	  Atg9a	3.54707353812	3.85891352032	0.0842129427824536	0.0037937852436453
chr1:75361291:75367579	  gene	  Des	1.9861441247955	2.43054813225	0.201238384560567	0.0019648121130933
chr1:75376296:75431306	  gene	  Speg	1.773209132236	1.840701993848	0.0373516997276769	0.0330202313890047
chr1:75376296:75431306	  gene	  Speg	1.701831851781	2.30919115079	0.302845083969697	8.69189685241812e-05
chr1:75386609:75431304	  gene	  Speg	1.701831851781	2.30919115079	0.302845083969697	8.69189685241812e-05
chr1:75486824:75505452	  gene	  Obsl1	1.997223410026	3.426526907135	0.527053574935637	0.0109465271307957
chr1:75547265:75558431	  gene	  Slc4a3	2.39489616796	3.411831545155	0.350261085911834	0.00822678239111845
chr1:78311345:78419286	  gene	  Sgpp2	1.3641921049665	3.02218869033	0.755974760395342	0.000826527448988473
chr1:82451722:82585849	  gene	  Col4a4	1.617292209529	2.72899491716	0.511564319257432	0.00818985033908016
chr1:85895509:85907698	  gene	  Itm2c	1.490531310077	1.7699522815775	0.171398483473864	0.0418207554285736
chr1:87477828:87572870	  gene	  Ngef	1.329703709483	1.608633470362	0.189855516100922	0.0200164360802124
chr1:89455810:89894282	  gene	  Agap1	1.3850716302325	1.64090749346	0.169092946626355	0.0182394871288307
chr1:89455810:89894282	  gene	  Agap1	1.4809839157635	1.567075811338	0.0564896381845953	0.0431886524271416
chr1:89455810:89894282	  gene	  Agap1	1.5436305881335	2.5643227611	0.49693464662005	0.0110639804429394
chr1:89455810:89894282	  gene	  Agap1	1.587796805589	1.98513200563	0.222414283090873	0.0443636544541288
chr1:89953677:90013577	  gene	  Asb18	1.425234632401	2.07948815331	0.373355361272188	0.0021589093476986
chr1:90767859:90842971	  gene	  Col6a3	1.514037876844	4.51868398082	0.99611623902696	0.00932512328369982
chr1:91180821:91205790	  gene	  Ramp1	1.626344267121	1.8984224487855	0.154380816430586	0.0255497488969275
chr1:91180821:91224196	  gene	  Ramp1	1.626344267121	1.8984224487855	0.154380816430586	0.0255497488969275
chr1:91299337:91320080	  gene	  Scly	2.325636027947	4.887167563055	0.710273474881119	0.00533301224903852
chr1:91323074:91347303	  gene	  Espnl	1.645802198767	2.301517124865	0.332233028208453	0.0117710229761271
chr1:91416981:91458328	  gene	  Per2	1.444826935034	2.65589675939	0.590661509822164	0.0240984372784226
chr1:91802476:91847027	  gene	  Twist2	1.314121458368	4.95623050887	1.16169206115755	0.0421649000492072
chr1:93016454:93100874	  gene	  Kif1a	1.495588445867	1.758551751177	0.161617686631247	0.0207822364429431
