gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Cryab	negative	down	hyper	DMC_CG	nearby	-1.32564466708175	50.462962962963	9:50754122:50754122	-273
Tln2	negative	down	hyper	DMC_CG	nearby	-4.14633559131979	53.2967032967033	9:67507367:67507367	32026
3110070M22Rik	negative	up	hypo	DMC_CG	nearby	1.25092715390266	-52.9274004683841	13:119488228:119488228	156
Gm5617	negative	up	hypo	DMC_CG	nearby	1.18699620944565	-83.7837837837838	9:48499126:48499126	3686
Gramd1b	negative	up	hypo	DMC_CG	nearby	1.52141958420029	-79.0322580645161	9:40457270:40457270	-1507
Bco2	positive	down	hypo	DMC_CG	nearby	-1.18499278063135	-77.1929824561403	9:50558160:50558160	-2980
C2cd4a	positive	down	hypo	DMC_CG	nearby	-4.46490374983186	-96.5116279069768	9:67798926:67798926	33405
Cbl	positive	down	hypo	DMC_CG	nearby	-2.66848842610897	-90.4761904761905	9:44160192:44160192	-3136
Ddx6	positive	down	hypo	DMC_CG	nearby	-1.24597350233902	-63.3663366336634	9:44607756:44607756	2861
Gm39326	positive	down	hypo	DMC_CG	nearby	-1.98871142558275	-76.6666666666667	9:44874999:44874999	-2892
Gm40518	positive	down	hypo	DMC_CG	nearby	-9.21592190486654	-77.5862068965517	9:48120565:48120565	30866
Htr3a	positive	down	hypo	DMC_CG	nearby	-1.61309077531954	-93.8775510204082	9:48914134:48914134	-3036
Lactb	positive	down	hypo	DMC_CG	nearby	-2.25258206422985	-80.7692307692308	9:66970238:66970238	5183
Layn	positive	down	hypo	DMC_CG	nearby	-1.58039351697724	-82.7160493827161	9:51082787:51082787	-5694
Rab8b	positive	down	hypo	DMC_CG	nearby	-1.8574349855562	-77.8260869565217	9:66897254:66897254	22434
Rnf214	positive	down	hypo	DMC_CG	nearby	-2.58284415993025	-89.4444444444444	9:45865760:45865760	3730
Tmod2	positive	down	hypo	DMC_CG	nearby	-5.2756313155188	-81.8181818181818	9:75594795:75594795	2857
