chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand
chr1	16519020	16521020	-	2.13224487955815e-30	2.35306376891597e-27	-26.50799475519	1	0	ENSMUST00000162435.7	-
chr1	16519021	16521021	-	2.13224487955815e-30	2.35306376891597e-27	-26.50799475519	2	0	ENSMUST00000162435.7	-
chr1	16519067	16521067	-	2.13224487955815e-30	2.35306376891597e-27	-26.50799475519	3	0	ENSMUST00000162435.7	-
chr1	16519080	16521080	-	2.13224487955815e-30	2.35306376891597e-27	-26.50799475519	4	0	ENSMUST00000162435.7	-
chr1	16519112	16521112	-	2.13224487955815e-30	2.35306376891597e-27	-26.50799475519	5	0	ENSMUST00000162435.7	-
chr1	75506076	75508076	+	3.30876137624407e-45	1.37363029595296e-41	-26.4486703121909	6	0	ENSMUST00000037330.4	+
chr2	168206112	168208112	-	1.0928487639674e-29	1.17624761147987e-26	28.1131933359088	7	0	ENSMUST00000088001.5	-
chr5	25220903	25222903	+	1.79940066632313e-41	5.81015637014802e-38	28.2193266284928	8	0	ENSMUST00000045737.13	+
chr5	90890240	90892240	+	9.80626855430361e-84	2.13730990950451e-79	30.7238284090823	9	0	ENSMUST00000031327.8	+
chr5	90890242	90892242	+	9.80626855430361e-84	2.13730990950451e-79	30.7238284090823	10	0	ENSMUST00000031327.8	+
chr5	98853414	98855414	+	3.83391283447365e-62	2.78538156415635e-58	34.2995169082126	11	0	ENSMUST00000200388.1	+
chr5	98853438	98855438	+	3.83391283447365e-62	2.78538156415635e-58	34.2995169082126	12	0	ENSMUST00000200388.1	+
chr5	98853450	98855450	+	3.83391283447365e-62	2.78538156415635e-58	34.2995169082126	13	0	ENSMUST00000200388.1	+
chr7	45135056	45137056	-	1.65321430721721e-34	2.94141825276485e-31	26.4162051560286	14	0	ENSMUST00000146760.6	-
chr7	45135076	45137076	-	1.65321430721721e-34	2.94141825276485e-31	26.4162051560286	15	0	ENSMUST00000146760.6	-
chr7	45135081	45137081	-	1.65321430721721e-34	2.94141825276485e-31	26.4162051560286	16	0	ENSMUST00000146760.6	-
chr7	45135087	45137087	-	6.50078021775369e-34	1.0898979802856e-30	25.9003599806122	17	0	ENSMUST00000146760.6	-
chr7	45135122	45137122	-	1.13799870697797e-34	2.204717568571e-31	26.5384653578415	18	0	ENSMUST00000146760.6	-
chr7	45135417	45137417	-	4.60386890482787e-37	1.0562410937623e-33	25.43786384196	19	0	ENSMUST00000146760.6	-
chr7	45135432	45137432	-	4.60386890482787e-37	1.0562410937623e-33	25.43786384196	20	0	ENSMUST00000146760.6	-
chr7	71960172	71962172	+	5.72320741747319e-19	1.53525256873613e-16	29.8265406133867	21	0	ENSMUST00000205268.1	+
chr7	100862158	100864158	-	1.23503573147892e-35	2.76082337654038e-32	25.1479010223073	22	0	ENSMUST00000008462.10	-
chr9	33295243	33297243	+	4.30038602631561e-16	7.43876113839686e-14	-27.6637868970482	23	0	ENSMUST00000215382.1	+
chr9	36986272	36988272	-	6.13141380323786e-27	4.73048741874844e-24	-30.886047960763	24	0	ENSMUST00000175938.8	-
chr9	40464554	40466554	-	3.95763666009774e-52	2.15645125487946e-48	-28.808114124544	25	0	ENSMUST00000148170.1	-
chr9	40464564	40466564	-	3.95763666009774e-52	2.15645125487946e-48	-28.808114124544	26	0	ENSMUST00000148170.1	-
chr9	41512780	41514780	-	6.4910836536776e-38	1.57194886103285e-34	-30.4737452611328	27	0	ENSMUST00000215745.1	-
chr9	44633194	44635194	+	1.25010580815196e-48	5.73610219325044e-45	-40.3815140209411	28	0	ENSMUST00000217540.1	+
chr9	45404924	45406924	+	6.07347169402142e-24	3.28878015925369e-21	-26.5992830698713	29	0	ENSMUST00000213158.1	+
chr9	45404954	45406954	+	6.07347169402142e-24	3.28878015925369e-21	-26.5992830698713	30	0	ENSMUST00000213158.1	+
chr9	45404967	45406967	+	6.07347169402142e-24	3.28878015925369e-21	-26.5992830698713	31	0	ENSMUST00000213158.1	+
chr9	45405104	45407104	+	1.40043644261899e-23	7.18188075878852e-21	-25.7487867758568	32	0	ENSMUST00000213158.1	+
chr9	45405131	45407131	+	3.08162803689459e-23	1.49255869780043e-20	-25.2900259234496	33	0	ENSMUST00000213158.1	+
chr9	45897435	45899435	-	3.95560507557486e-34	6.89710168902291e-31	-30.4954984271613	34	0	ENSMUST00000160469.7	-
chr9	57146034	57148034	-	1.77712609057913e-108	7.7466146940609e-104	-45.0610407092791	35	0	ENSMUST00000034842.4	-
chr9	62241867	62243867	-	1.6877492844942e-27	1.41481058794687e-24	-25.7631533974125	36	0	ENSMUST00000158361.1	-
