chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand
chr1	51915071	51917071	-	4.37215932637265e-55	1.72389866064709e-51	28.9270814643715	1	0	ENSMUST00000046390.13	-
chr1	100281643	100283643	-	3.99100871698751e-51	1.19377673752406e-47	-43.3731809299228	2	0	ENSMUST00000190817.1	+
chr2	30358240	30360240	-	9.60338956832065e-37	1.15699233977182e-33	-26.9880223032973	3	0	ENSMUST00000128387.7	-
chr2	30358245	30360245	-	9.60338956832065e-37	1.15699233977182e-33	-26.9880223032973	4	0	ENSMUST00000128387.7	-
chr2	30358260	30360260	-	9.60338956832065e-37	1.15699233977182e-33	-26.9880223032973	5	0	ENSMUST00000128387.7	-
chr2	30358265	30360265	-	9.60338956832065e-37	1.15699233977182e-33	-26.9880223032973	6	0	ENSMUST00000128387.7	-
chr2	30358289	30360289	-	2.50241395859704e-34	2.46669194189055e-31	-25.7895510715855	7	0	ENSMUST00000128387.7	-
chr2	30358305	30360305	-	2.50241395859704e-34	2.46669194189055e-31	-25.7895510715855	8	0	ENSMUST00000128387.7	-
chr2	30358316	30360316	-	2.50241395859704e-34	2.46669194189055e-31	-25.7895510715855	9	0	ENSMUST00000128387.7	-
chr2	30358332	30360332	-	2.50241395859704e-34	2.46669194189055e-31	-25.7895510715855	10	0	ENSMUST00000128387.7	-
chr2	30358337	30360337	-	2.50241395859704e-34	2.46669194189055e-31	-25.7895510715855	11	0	ENSMUST00000128387.7	-
chr2	70824728	70826728	-	1.36293424087201e-31	1.14782614029079e-28	28.2268947803753	12	0	ENSMUST00000038584.8	-
chr5	67426679	67428679	+	2.53616795509011e-46	6.66657093149014e-43	26.199910289047	13	0	ENSMUST00000181689.1	+
chr5	67426799	67428799	-	1.13586551307324e-63	7.03780632844606e-60	28.8179013537865	14	0	ENSMUST00000181689.1	+
chr5	67426992	67428992	+	2.3805079839737e-88	2.29438115167901e-84	33.8274112833016	15	0	ENSMUST00000181689.1	+
chr5	107134688	107136688	-	3.40666344405061e-26	1.906496294038e-23	-25.6848438300051	16	0	ENSMUST00000199780.1	-
chr6	93912256	93914256	-	1.3502015293313e-41	2.16891867948757e-38	27.5740340499754	17	0	ENSMUST00000093769.7	-
chr6	93912554	93914554	-	8.73276106314103e-34	8.41680957185504e-31	25.7644593809642	18	0	ENSMUST00000093769.7	-
chr6	93912690	93914690	-	1.37428953630574e-36	1.63302868360351e-33	29.1764909098761	19	0	ENSMUST00000093769.7	-
chr7	98488282	98490282	+	2.56269006379965e-58	1.30763217164161e-54	-28.2016778969499	20	0	ENSMUST00000205956.1	+
chr7	98488696	98490696	+	5.70253069957457e-53	1.90253527299036e-49	-26.4466613038026	21	0	ENSMUST00000205956.1	+
chr9	36986272	36988272	-	1.57651695926028e-21	5.18004047824999e-19	-26.6800296391997	22	0	ENSMUST00000175938.8	-
chr9	40464554	40466554	-	2.20087664110128e-43	4.89518971113196e-40	-25.3794392167562	23	0	ENSMUST00000148170.1	-
chr9	40464564	40466564	-	2.20087664110128e-43	4.89518971113196e-40	-25.3794392167562	24	0	ENSMUST00000148170.1	-
chr9	41512780	41514780	-	4.86193415570227e-46	1.24041951233329e-42	-33.5688205005309	25	0	ENSMUST00000215745.1	-
chr9	41535715	41537715	+	1.93925745520413e-29	1.34574845540036e-26	-29.4620688126275	26	0	ENSMUST00000175029.1	+
chr9	44633194	44635194	+	3.78538387478814e-51	1.17270919325217e-47	-38.2469049810203	27	0	ENSMUST00000217540.1	+
chr9	50648895	50650895	-	3.85519227369983e-40	6.08025490478358e-37	-25.358024691358	28	0	ENSMUST00000155417.1	-
chr9	57146034	57148034	-	2.13159861431753e-93	2.64147085106253e-89	-40.8780182362012	29	0	ENSMUST00000034842.4	-
chr9	62241867	62243867	-	2.27120220766905e-27	1.36814378800914e-24	-25.7346335761367	30	0	ENSMUST00000158361.1	-
chr13	4942052	4944052	-	5.84682956783247e-76	4.22646835711976e-72	-29.6059324669519	31	0	ENSMUST00000222131.1	-
chr13	98993150	98995150	+	2.40582675494462e-90	2.60863187506637e-86	38.5200383873322	32	0	ENSMUST00000224873.1	+
chr14	54449064	54451064	-	9.06337879917011e-36	9.82739874461998e-33	-28.5007509772033	33	0	ENSMUST00000179714.1	-
chr14	54615785	54617785	-	2.60659384465492e-63	1.50737233250755e-59	26.5460253855969	34	0	ENSMUST00000102174.1	-
chr14	67168587	67170587	+	1.13716436255188e-26	6.57613038233512e-24	-32.8260205639825	35	0	ENSMUST00000225163.1	+
chr14	69762538	69764538	-	1.06105038248981e-41	1.73659509481291e-38	35.216530116143	36	0	ENSMUST00000223676.1	-
chr14	73547242	73549242	-	1.05560898227583e-18	2.40334730457204e-16	-25.8230273118026	37	0	ENSMUST00000043813.2	-
chr14	74731320	74733320	+	9.72054356560375e-44	2.2789104521853e-40	25.3444316877153	38	0	ENSMUST00000022573.16	+
chr18	30266248	30268248	+	0	0	73.8592629296495	39	0	ENSMUST00000234467.1	+
chr19	5405739	5407739	+	2.09811764880989e-135	6.06662311554049e-131	-26.9568665373633	40	0	ENSMUST00000128542.2	+
chr19	5405761	5407761	+	2.09811764880989e-135	6.06662311554049e-131	-26.9568665373633	41	0	ENSMUST00000128542.2	+
chr19	5405814	5407814	+	8.08963383058361e-120	1.16954260455114e-115	-25.7912466415868	42	0	ENSMUST00000128542.2	+
chr19	5405821	5407821	+	8.08963383058361e-120	1.16954260455114e-115	-25.7912466415868	43	0	ENSMUST00000128542.2	+
chr19	5405873	5407873	+	1.05989993585065e-122	2.29849364785575e-118	-25.8825668568871	44	0	ENSMUST00000128542.2	+
chrX	7721926	7723926	+	1.88679584652476e-18	4.14348956303965e-16	-26.4998515348469	45	0	ENSMUST00000208156.1	+
chrX	48462132	48464132	-	8.65690089717906e-21	2.57168651560286e-18	32.1853427021696	46	0	ENSMUST00000140486.1	-
chrX	99442797	99444797	-	9.33771470703091e-31	6.98266239775586e-28	34.4486381337541	47	0	ENSMUST00000156494.1	-
chrX	139870373	139872373	-	1.59667768348655e-21	5.20683783515826e-19	-25.9966957334245	48	0	ENSMUST00000087401.11	-
chrX	139870410	139872410	-	1.59667768348655e-21	5.20683783515826e-19	-25.9966957334245	49	0	ENSMUST00000087401.11	-
