gene	mean_KO	mean_WT	mean_dif	mean_pval	feature	location
1110028F18Rik	0	0.0600000000000001	-0.0600000000000001	0.00017232490382794	gene	8:106588142:106593820
1190002N15Rik	0	0.0600000000000001	-0.0600000000000001	3.67447493598416e-17	gene	9:94518863:94537081
1190005I06Rik	0	0.0600000000000001	-0.0600000000000001	3.9931218620753e-29	gene	8:120609601:120633382
1300002E11Rik	0	0.0600000000000001	-0.0600000000000001	3.4304175218579e-09	TES	16:21808039:21810039
1600015I10Rik	0	0.0600000000000001	-0.0600000000000001	1.26072061944921e-08	TES	6:48932687:48934687
1700001D01Rik	0.0125	0.0900000000000001	-0.0775000000000001	0.00012301284851687	TES	8:61280521:61282521
1700001K23Rik	0	0.0600000000000001	-0.0600000000000001	9.77282803337886e-12	gene	19:53249735:53254205
1700001L19Rik	0	0.0600000000000001	-0.0600000000000001	5.37737605741877e-25	gene	13:68598438:68613231
1700001O22Rik	0	0.0625	-0.0625	0.000143917869361266	TSS	2:30802664:30804664
1700006E09Rik	0	0.0625	-0.0625	0.0084077862682058	TSS	11:101986055:101988055
1700009C05Rik	0	0.0600000000000001	-0.0600000000000001	2.61572188729288e-06	TSS	6:81909800:81911800
1700011C11Rik	0	0.0600000000000001	-0.0600000000000001	2.37319373250318e-13	gene	7:71962174:72026317
1700011L22Rik	0	0.0649999999999999	-0.0649999999999999	0.000341655390562471	TES	8:79209429:79211429
1700013D24Rik	0	0.0600000000000001	-0.0600000000000001	2.32882443975376e-06	TES	6:124346593:124348593
1700018C11Rik	0	0.0649999999999999	-0.0649999999999999	2.53676824312946e-06	TES	4:63606090:63608090
1700019A02Rik	0	0.0600000000000001	-0.0600000000000001	2.16853495891748e-07	gene	1:53159576:53186617
1700019G24Rik	0	0.0600000000000001	-0.0600000000000001	1.02164942828244e-12	gene	6:5964896:5976393
1700020G17Rik	0	0.0625	-0.0625	0.0074406122967255	TES	10:110800173:110802173
1700022H16Rik	0	0.0600000000000001	-0.0600000000000001	1.15193332531972e-09	gene	12:9566235:9569585
1700024N05Rik	0	0.0625	-0.0625	0.00140627320002124	TSS	6:43173858:43175858
1700025G04Rik	0	0.0600000000000001	-0.0600000000000001	0.000109736561926229	TES	1:151883523:151885523
1700028D13Rik	0	0.0725	-0.0725	6.29772458781931e-05	TES	5:112209002:112211002
1700029H14Rik	0	0.0600000000000001	-0.0600000000000001	1.87393342348645e-16	gene	8:13551721:13561461
1700029M20Rik	0	0.0600000000000001	-0.0600000000000001	2.25198655514649e-06	TSS	4:135625654:135627654
1700034G24Rik	0	0.0600000000000001	-0.0600000000000001	0.00155181949772493	TES	5:112581935:112583935
1700037H04Rik	0	0.0600000000000001	-0.0600000000000001	3.24944695727836e-08	gene	2:131147324:131159020
1700039E15Rik	0	0.0600000000000001	-0.0600000000000001	1.39198346294262e-13	gene	7:45283872:45287993
1700042G15Rik	0	0.0600000000000001	-0.0600000000000001	1.02467013240713e-05	gene	4:57360791:57363292
1700044C05Rik	0	0.0600000000000001	-0.0600000000000001	6.88624819179219e-06	TES	14:118397165:118399165
1700048M11Rik	0	0.0600000000000001	-0.0600000000000001	2.91078641844271e-08	TSS	16:92311466:92313466
1700048O20Rik	0	0.0600000000000001	-0.0600000000000001	6.7317347081833e-15	gene	9:121938274:121946016
1700049E15Rik	0	0.0600000000000001	-0.0600000000000001	1.63753441112272e-14	gene	6:147691240:147701374
1700054A03Rik	0	0.0600000000000001	-0.0600000000000001	1.35981028134804e-08	TES	19:53083392:53085392
1700055N04Rik	0	0.0600000000000001	-0.0600000000000001	0.00595147421027442	TES	19:3969438:3971438
1700060C16Rik	0	0.0625	-0.0625	1.84763559859134e-06	TES	6:143592352:143594352
1700060C20Rik	0.00499999999999989	0.0700000000000001	-0.0650000000000002	0.0162419584000804	gene	2:158193007:158194734
1700063D05Rik	0	0.0600000000000001	-0.0600000000000001	2.69807799335109e-13	gene	9:41207154:41216627
1700065D16Rik	0	0.0600000000000001	-0.0600000000000001	7.38794077357762e-05	TES	9:95854417:95856417
1700065J11Rik	0	0.0625	-0.0625	2.55335107930893e-06	gene	6:35331845:35335829
1700067G17Rik	0	0.0600000000000001	-0.0600000000000001	2.8652127577282e-07	TES	1:89021210:89023210
1700072I22Rik	0	0.0600000000000001	-0.0600000000000001	6.34736193046194e-14	gene	11:103639935:103648013
1700092C02Rik	0	0.0674999999999999	-0.0674999999999999	0.000599611705735521	gene	8:77625171:77627956
1700092E19Rik	0	0.0600000000000001	-0.0600000000000001	2.31916951608537e-08	TES	13:26282158:26284158
1700108F19Rik	0	0.0600000000000001	-0.0600000000000001	3.84423164276644e-13	gene	14:76678567:76686108
1700108J01Rik	0	0.0625	-0.0625	0.00165595138142632	gene	14:122230904:122232638
1700121N20Rik	0	0.0625	-0.0625	0.00141451457529693	TSS	12:106446666:106448666
1700123M08Rik	0	0.0600000000000001	-0.0600000000000001	6.63160155211754e-06	TES	4:11993295:11995295
1700123O12Rik	0	0.0600000000000001	-0.0600000000000001	0.000791015774150223	TSS	4:10796802:10798802
1700125H03Rik	0.00499999999999989	0.0700000000000001	-0.0650000000000002	2.92425294755689e-05	TES	8:68371293:68373293
1810007D17Rik	0	0.0600000000000001	-0.0600000000000001	3.09962829835469e-08	TSS	19:58605328:58607328
1810010D01Rik	0.00499999999999989	0.0874999999999999	-0.0825	0.00883028338367838	TSS	7:145207119:145209119
1810021B22Rik	0	0.0600000000000001	-0.0600000000000001	2.12281502310936e-08	gene	15:89072197:89074854
2010001A14Rik	0	0.0600000000000001	-0.0600000000000001	2.42963833678937e-07	gene	11:57796498:57800467
2010310C07Rik	0	0.0625	-0.0625	1.98426665236282e-05	TSS	6:42369670:42371670
2210039B01Rik	0	0.0600000000000001	-0.0600000000000001	9.99871782086559e-06	TSS	12:73547482:73549482
2210408F21Rik	0	0.0625	-0.0625	5.43551288641037e-10	TES	6:31336394:31338394
2310007B03Rik	0	0.0600000000000001	-0.0600000000000001	8.20554545455574e-13	gene	1:93152354:93159870
2310015A10Rik	0	0.0600000000000001	-0.0600000000000001	1.55882672877521e-10	gene	12:80121545:80131844
2510003B16Rik	0	0.0600000000000001	-0.0600000000000001	6.83076530350971e-06	TES	4:116137841:116139841
2610027K06Rik	0	0.0600000000000001	-0.0600000000000001	2.53555730268396e-44	gene	11:85792659:85831388
2610100L16Rik	0	0.0600000000000001	-0.0600000000000001	7.90158661353352e-12	gene	3:17790920:17799071
2700089I24Rik	0	0.0600000000000001	-0.0600000000000001	5.9414564701767e-42	gene	19:59494135:59558391
2810006K23Rik	0	0.0600000000000001	-0.0600000000000001	4.53185980154226e-12	gene	5:124329088:124339121
2810032G03Rik	0	0.0600000000000001	-0.0600000000000001	3.6427297984987e-31	gene	12:5377501:5415132
2810471M01Rik	0	0.0600000000000001	-0.0600000000000001	8.71000242757283e-16	gene	11:28682563:28692276
2900057B20Rik	0	0.0600000000000001	-0.0600000000000001	5.67343702369986e-05	TES	18:76090556:76092556
3010026O09Rik	0	0.0600000000000001	-0.0600000000000001	1.13982227016891e-33	gene	11:50175850:50199115
3110062M04Rik	0	0.0600000000000001	-0.0600000000000001	2.25577356410146e-05	gene	6:34872770:34877065
3830406C13Rik	0	0.0675000000000001	-0.0675000000000001	0.00733665667049844	TES	14:12302231:12304231
3830432H09Rik	0	0.0600000000000001	-0.0600000000000001	7.56986282069788e-10	gene	1:119530479:119535165
4631405J19Rik	0	0.0600000000000001	-0.0600000000000001	0.00639084620542287	TES	2:93032445:93034445
4632428C04Rik	0	0.0600000000000001	-0.0600000000000001	9.52958336709905e-18	gene	16:30009666:30020430
4833412C05Rik	0	0.0600000000000001	-0.0600000000000001	4.53533383237121e-21	gene	7:67785537:67802496
4833422C13Rik	0	0.0625	-0.0625	1.36500491973153e-05	TES	13:91700664:91702664
4930401O10Rik	0	0.0600000000000001	-0.0600000000000001	1.96840969048716e-13	gene	11:71929470:71939122
4930405O22Rik	0	0.0600000000000001	-0.0600000000000001	0.000131483985840193	TES	17:63304445:63306445
