location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:75244692:75246692	  TES	  Dnajb2	1.3413909943735	1.721973752612	0.248473681505287	0.0298405115774017
chr1:154204674:154206674	  TES	  Zfp648	1.425958251373	1.78808913493	0.225342591462875	0.021895774391101
chr1:170906272:170908272	  TES	  Fcrlb	1.3406315696345	1.848592399727	0.318548233032499	0.0394367447851177
chr2:13075966:13077966	  TES	  Rsu1	1.324592386927	1.956484523927	0.385173620837514	0.0125128004160869
chr2:25053072:25055072	  TES	  Pnpla7	1.2143659123215	1.670711699095	0.316349054159029	0.0343222015311193
chr2:27182204:27184204	  TES	  Dbh	1.4988641850495	2.22718052703	0.390932690431419	0.0176679475290419
chr2:145752672:145754672	  TES	  BC039771	1.2431351381045	1.823131591624	0.378307893371595	0.0440798365656338
chr2:152922065:152924065	  TES	  Mylk2	1.327651411302	1.655061490712	0.219538447155893	0.0295005255997401
chr2:156763363:156765363	  TES	  Dlgap4	1.510402689238	2.41579330984	0.461205003934911	0.0109634862705738
chr2:163725158:163727158	  TES	  Pkig	1.257003769978	1.80020321618	0.355356669444642	0.0430420786779633
chr2:168633437:168635437	  TES	  Atp9a	2.42504351025	3.33953479563	0.317279508354392	0.0476290344159358
chr3:79252913:79254913	  TES	  4921511C10Rik	1.104335483873	1.243196932357	0.118304179762513	0.00949849614276009
chr3:89338639:89340639	  TES	  Adam15	1.244362744149	1.663540212003	0.288302239912912	0.00536978730796077
chr3:115937972:115939972	  TES	  Slc30a7	2.942774113705	5.22717362054	0.559220103027038	0.0353218675351355
chr4:41494600:41496600	  TES	  AI464131	1.305822767472	1.935042589638	0.388303587364764	0.00680159231680338
chr4:119204054:119206054	  TES	  4930538K18Rik	1.964488433327	3.26758565382	0.498118795257185	0.0162553141641457
chr4:134426412:134428412	  TES	  Pafah2	1.582965578182	2.30429522388	0.37112490384765	0.0152607853214746
chr4:148944130:148946130	  TES	  Casz1	1.6775554027355	3.51827766929	0.708537876809398	0.0273254920048949
chr4:151981637:151983637	  TES	  Thap3	1.245423745109	1.919836239974	0.426134028827534	0.0195109825427105
chr5:30895687:30897687	  TES	  Agbl5	1.446726535143	2.02637210439	0.33379159615515	0.0410259517359028
chr5:31250562:31252562	  TES	  Nrbp1	1.46657807338	1.78272892115	0.194595862011327	0.048532213879924
chr5:111733283:111735283	  TES	  E130006D01Rik	2.14583671343	3.68894311325	0.528933891477454	0.0155682132219494
chr5:112352772:112354772	  TES	  Gm6583	1.9845297642325	2.92915628107	0.384487941691174	0.019190452081164
chr5:120679263:120681263	  TES	  Dtx1	1.533177122158	1.818771748414	0.170405120891515	0.0208456513716592
chr5:143331704:143333704	  TES	  0610040B10Rik	1.3266611156665	2.01404883802	0.411521941074209	0.00820668525550127
chr6:88834913:88836913	  TES	  Abtb1	1.5733950851705	2.28630882665	0.369413694815383	0.00456759299586443
chr6:88841557:88843557	  TES	  Podxl2	1.477630138231	1.9683989512	0.284831497490368	0.00499580861445807
chr6:113280392:113282392	  TES	  Mtmr14	1.307403206414	2.526010961015	0.635781943393974	0.0334444587643881
chr6:115275563:115277563	  TES	  Syn2	1.88482562899	3.26514142282	0.536048397958149	0.027562766007828
chr6:135083708:135085708	  TES	  Gprc5a	1.329931301636	2.16127062856	0.476248205372256	0.0182005903422386
chr7:3660109:3662109	  TES	  Cnot3	1.471092535458	2.77538615003	0.614294200523987	0.0360063671590854
chr7:19755137:19757137	  TES	  Bcam	1.262842036722	1.762696692973	0.330423571408976	0.00198662428365103
chr7:24352833:24354833	  TES	  Lypd5	2.97817205263	10.27568147545	1.10119059447266	0.0118514054939918
chr7:25703996:25705996	  TES	  Tgfb1	1.202490203532	1.354208831759	0.118683213106256	0.0424825311487201
chr7:35465034:35467034	  TES	  Slc7a9	1.44124335702	3.41863178399	0.813760999859371	0.0318750431483471
chr7:45232619:45234619	  TES	  Tead2	1.234613518175	2.07990546349	0.510054068171533	0.0317038899306586
chr7:45232631:45234631	  TES	  Cd37	1.234613518175	2.07990546349	0.510054068171533	0.0317038899306586
chr7:118524061:118526061	  TES	  Coq7	2.33273223773	4.82728251693	0.696800318065394	0.0169998171547649
chr8:3642644:3644644	  TES	  Stxbp2	1.157672657858	2.02048628947	0.542964430609992	0.0174752834894988
chr8:11513016:11515016	  TES	  Cars2	2.38031576743	3.11720966265	0.268082032395174	0.0143378137024301
chr8:27122436:27124436	  TES	  Gpr124	1.162958332804	1.942585465541	0.502087353044241	0.0174164074863383
chr8:27122831:27124831	  TES	  Brf2	1.162958332804	1.942585465541	0.502087353044241	0.0174164074863383
chr8:85029286:85031286	  TES	  2310036O22Rik	1.749795464083	2.88734748379	0.490626246589522	0.0334754829624878
chr8:122355966:122357966	  TES	  Trhr2	1.710167603494	2.12841549567	0.217917852171594	0.0193773114598468
chr9:15004784:15006784	  TES	  Panx1	4.36836119665	6.47923730002	0.389187727406762	0.0337399129475618
chr9:45752713:45754713	  TES	  Dscaml1	1.627268497363	1.952251836827	0.181579267121297	0.0117436604918009
chr9:46297783:46299783	  TES	  Bud13	3.461996580785	6.61015931452	0.625121923540217	0.040990748246909
chr9:67026889:67028889	  TES	  Tpm1	1.3530228325225	2.29234446562	0.515350885808479	0.00669129057017984
chr10:80900362:80902362	  TES	  Lmnb2	1.255928043426	1.507953858177	0.182370899859961	0.0148557365873761
chr10:81485458:81487458	  TES	  Ncln	1.64466696135	2.21686745426	0.296359131539482	0.0350026642213823
chr11:66927700:66929700	  TES	  Pirt	2.65448563531	5.11139516076	0.632744588789811	0.00508084505265255
chr11:70668462:70670462	  TES	  Camta2	1.312906807614	2.03826561703	0.432898530724247	0.0112363270557991
chr11:79932955:79934955	  TES	  Utp6	2.00894585047	6.66430111991	1.07349768439398	0.00927133990556246
chr11:85765832:85767832	  TES	  Bcas3os2	1.0694593033184	1.967573820853	0.591442029648349	5.88249179937957e-06
chr11:87734539:87736539	  TES	  Rnf43	1.430664912889	2.07065399813	0.365570290228	0.0120786391181137
chr11:94342294:94344294	  TES	  Abcc3	1.388731205577	2.07854456861	0.397899335362066	0.0437948271114971
chr11:98380112:98382112	  TES	  Stard3	1.918904075791	2.74553628454	0.354440037771365	0.0325430808371269
chr11:120063429:120065429	  TES	  Cep131	2.29673217015	4.35759031053	0.619404348485799	0.00951789199956662
chr12:100911699:100913699	  TES	  Ccdc88c	2.53617466051	5.32593624785	0.709672407285318	0.0267367586552019
chr13:55505772:55507772	  TES	  Pdlim7	1.981856596181	2.55249360925	0.251695165664761	0.0425490285836385
chr13:95349682:95351682	  TES	  Aggf1	1.589601371603	3.90472191692	0.842731824737367	0.0113751508070379
chr14:66310424:66312424	  TES	  Trim35	1.141661978947	1.45195092031	0.239271590183631	0.0366053558814683
chr15:75713419:75715419	  TES	  Rhpn1	1.441810429121	1.816970555743	0.230245682888478	0.0325011656850555
chr15:75915462:75917462	  TES	  Pycrl	3.42028316704	5.95239822545	0.540318176277473	0.021186884430659
chr15:89287235:89289235	  TES	  Sbf1	1.202077030999	1.674026569931	0.328186744579989	0.0171084619442965
chr15:97743769:97745769	  TES	  Rapgef3	1.4335925073995	1.960496387264	0.310483252629563	0.0287658303723472
chr16:18565680:18567680	  TES	  Gnb1l	1.947357006664	3.41518530538	0.547437470253365	0.0451666302623915
chr16:20662414:20664414	  TES	  Psmd2	1.649499740351	4.49074638214	0.925450408700018	0.0324952184662997
chr16:43968145:43970145	  TES	  Zdhhc23	1.2829966577155	2.72143654197	0.718423713182416	0.000190215485583154
chr17:34196225:34198225	  TES	  Tap1	1.3383366476195	1.792870267574	0.290324869780387	0.0428195625888179
chr19:47130145:47132145	  TES	  Pdcd11	1.4492640386765	2.59717522037	0.567368547113194	0.00193162201136265
chr19:47893595:47895595	  TES	  Itprip	2.79651614345	5.32677510985	0.622963990210768	0.00755042773524776
chr19:57032263:57034263	  TES	  Ablim1	2.0928606189	3.00810392942	0.358851076830728	0.0453444020595888
