location	feature	gene	median_WT	median_KO	rratio	pvals
1:4291845:4408241	  gene	  Rp1	1.94590643274854	1.82758620689655	-0.0627112530226715	0.00981438102591323
1:4291845:4408241	  gene	  Rp1	1.92857142857143	1.8421052631579	-0.045862412761715	0.000155369845203195
1:4291845:4408241	  gene	  Rp1	1.83333333333333	1.72727272727273	-0.0595744680851063	0.00054720699529442
1:4291845:4408241	  gene	  Rp1	1.92582417582418	1.82575757575758	-0.0533463518551396	0.00326894164579462
1:4491927:4496354	  gene	  Sox17	1.10263157894737	1	-0.097622027534418	3.27262622590958e-19
1:4774199:4784726	  gene	  Mrpl15	1.90476190476191	1.77777777777778	-0.0689655172413794	7.7266889165825e-06
1:4808892:4845735	  gene	  Lypla1	1.94281045751634	1.83333333333333	-0.057983556901774	1.98139711324345e-07
1:4808892:4845735	  gene	  Lypla1	1.96153846153846	1.8125	-0.0789808917197455	0.000140805750951753
1:4808892:4845735	  gene	  Lypla1	1.92980295566502	1.83333333333333	-0.051270862877714	0.0014061053701826
1:4858693:4896909	  gene	  Tcea1	2	1.88888888888889	-0.0571428571428571	0.00668473402875293
1:4858693:4896909	  gene	  Tcea1	1.96296296296296	1.875	-0.0458383594692401	3.89640309829607e-05
1:4858693:4896909	  gene	  Tcea1	1.95238095238095	1.9	-0.0271940667490728	4.81701623116623e-05
1:4859327:4896909	  gene	  Tcea1	2	1.88888888888889	-0.0571428571428571	0.00527031218505262
1:4859327:4896909	  gene	  Tcea1	2	1.88235294117647	-0.0606060606060604	2.86679146528752e-05
1:4859327:4896909	  gene	  Tcea1	1.94736842105263	1.875	-0.0378657487091225	0.0155571277147463
1:4910575:5069285	  gene	  Rgs20	1.90833333333333	1.82085561497326	-0.046915144055543	0.023570386395347
1:4910575:5069285	  gene	  Rgs20	1.93218390804598	1.8	-0.0708346165691408	1.69019134220537e-05
1:4910575:5069285	  gene	  Rgs20	1.95238095238095	1.85	-0.0538509705698182	1.335959052924e-09
1:4910575:5069285	  gene	  Rgs20	2	1.8695652173913	-0.0674157303370787	0.000117048428751824
1:4910575:5069285	  gene	  Rgs20	1.90238095238095	1.79473684210526	-0.0582313663017323	2.31545559829113e-05
1:4910575:5069285	  gene	  Rgs20	1.89473684210526	1.80625	-0.0478179717358456	0.0253735498844268
1:4910575:5069285	  gene	  Rgs20	1.88444444444444	1.75252525252525	-0.0725434649780592	0.00355514762331245
1:4910575:5069285	  gene	  Rgs20	1.95119047619048	1.85449735449735	-0.0508150568280559	1.35793238076864e-06
1:4910575:5069285	  gene	  Rgs20	1.92153846153846	1.8	-0.0653162463828028	0.00120678376853982
1:4910575:5069285	  gene	  Rgs20	1.17156862745098	1	-0.158013544018059	0.00212944951724489
1:4910575:5069285	  gene	  Rgs20	2	1.83484162895928	-0.0861356932153393	0.0116482819812495
1:4910575:5069285	  gene	  Rgs20	1.93333333333333	1.83333333333333	-0.0530973451327434	8.42038530398713e-07
1:4910575:5069285	  gene	  Rgs20	2	1.75	-0.133333333333333	0.000111415539697513
1:4910575:5017734	  gene	  Rgs20	1.90833333333333	1.82085561497326	-0.046915144055543	0.023570386395347
1:4910575:5017734	  gene	  Rgs20	1.93218390804598	1.8	-0.0708346165691408	1.69019134220537e-05
1:4910575:5017734	  gene	  Rgs20	1.95238095238095	1.85	-0.0538509705698182	1.335959052924e-09
1:4910575:5017734	  gene	  Rgs20	2	1.8695652173913	-0.0674157303370787	0.000117048428751824
1:4910575:5017734	  gene	  Rgs20	1.90238095238095	1.79473684210526	-0.0582313663017323	2.31545559829113e-05
