location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:36781820:36783820	  TES	  Zap70	1.238342273335	1.7076120528605	0.318585916524735	0.0374872753196492
chr1:62817692:62819692	  TES	  Nrp2	1.922440779355	3.81180258706	0.65897510341847	0.0138731879997577
chr1:65047556:65049556	  TES	  Cryge	1.5895555027375	2.80413917708	0.552875774423611	0.0380329370872129
chr1:68038965:68040965	  TES	  Erbb4	1.350081468243	1.739255190376	0.251946463035834	0.0429972053838042
chr1:74803175:74805175	  TES	  Wnt10a	1.2781555512035	1.724591011761	0.297351408915943	0.019522682233613
chr1:75219094:75221094	  TES	  A630095N17Rik	1.2408300723575	1.8064666802915	0.371238283532639	0.027044651662701
chr1:75484693:75486693	  TES	  Tmem198	1.1774015692335	2.13691076385	0.5790095188306	0.0227373457567386
chr1:75484824:75486824	  TES	  Obsl1	1.123767220373	2.11671639544	0.612840114494997	0.0425912540447492
chr1:87097001:87099001	  TES	  Alpi	1.4217168836545	1.8606389175105	0.267443300144496	0.0412335930777697
chr1:92510047:92512047	  TES	  Olfr1414	1.4050424961075	2.02878181855	0.36329134241378	0.0377734822071621
chr1:120342174:120344174	  TES	  C1ql2	1.383365244188	1.986251704376	0.357836792365926	0.0157054295610812
chr1:135367065:135369065	  TES	  Lmod1	1.340519533894	2.35173252135	0.547748621885011	0.00185209104511094
chr1:135370455:135372455	  TES	  Shisa4	1.387928993146	1.66900652904	0.183894971846186	0.0386655674071021
chr1:177019432:177021432	  TES	  Sdccag8	1.944987324999	4.10229901002	0.713480912100459	0.0147524851586044
chr1:188213884:188215884	  TES	  Esrrg	1.093409902694	1.76862125011	0.471840669347347	0.0468891317533835
chr2:4989723:4991723	  TES	  Mcm10	1.670180582414	2.69346535234	0.469004490843819	0.0458168298198628
chr2:9882040:9884040	  TES	  9230102O04Rik	1.159665797039	1.665022497273	0.357814135635159	2.8957948507229e-05
chr2:25290176:25292176	  TES	  Grin1	1.112884556377	1.570074205158	0.340810045488309	4.64596812226379e-05
chr2:25297928:25299928	  TES	  Grin1os	1.15093005218155	1.781145041407	0.429876431612216	0.00101376187630416
chr2:25400323:25402323	  TES	  Entpd2	1.182498979596	1.85174218774	0.441127234939984	0.0232654575837153
chr2:25489844:25491844	  TES	  Lcn12	1.3252677709235	2.25694928813	0.520170331304642	0.000243778336169525
chr2:25607628:25609628	  TES	  Ccdc183	1.339349654353	1.682790630478	0.227283278575008	0.0205684490418989
chr2:28904575:28906575	  TES	  Ddx31	1.119067611331	2.145291422505	0.628744449085962	0.00865591381277633
chr2:29193820:29195820	  TES	  Ntng2	1.127088885936	1.767887700293	0.442697061803671	0.0290219296598631
chr2:29843996:29845996	  TES	  Urm1	1.0505875635049	1.77151900232	0.510917232924811	0.0108304547695569
chr2:32754007:32756007	  TES	  Sh2d3c	1.286198846157	1.6568142475825	0.25186119777305	0.00474407912508877
chr2:39065214:39067214	  TES	  Scai	1.303657232137	1.756905079858	0.296185995589519	0.0381849990782325
chr2:74699208:74701208	  TES	  Hoxd9	1.0144955895655	1.779193046482	0.547446445569819	0.00970752881979631
chr2:92382675:92384675	  TES	  Mapk8ip1	1.860220090708	2.65853789327	0.353335055956777	0.0471862936255303
chr2:122347891:122349891	  TES	  Shf	1.3527677127295	1.9413473523015	0.357352204129191	0.010605299333705
chr2:127602986:127604986	  TES	  Mrps5	1.4317349724245	1.835196455074	0.246997215340043	0.0451701472417143
chr2:155700672:155702672	  TES	  Edem2	1.157343525646	1.750834498923	0.40815312423314	0.0235356202423921
chr2:164890437:164892437	  TES	  Pcif1	1.405074145874	1.697355248039	0.18842079225942	0.0486900958748377
chr2:164890891:164892891	  TES	  Zfp335	1.405074145874	1.697355248039	0.18842079225942	0.0486900958748377
chr2:168633437:168635437	  TES	  Atp9a	1.331061118199	1.874597437401	0.339110550780582	0.0158666576140723
chr2:172380086:172382086	  TES	  Cstf1	1.289103009545	1.6098937861385	0.221311577212604	0.0416150881904435
chr2:181355616:181357616	  TES	  Rtel1	1.64994503241	2.15162961832	0.263935148985521	0.0182927804976587
chr2:181379793:181381793	  TES	  Zgpat	1.223391514915	1.568388131061	0.24715175256992	0.0075358478216039
chr3:37643599:37645599	  TES	  Spry1	1.702095121565	2.362861239465	0.325103671092091	0.0134212105648256
chr3:53450995:53452995	  TES	  Nhlrc3	1.3683528621145	1.651283026573	0.18739356325605	0.0375581490272724
chr3:79252913:79254913	  TES	  4921511C10Rik	2.2876620947	2.9772888088	0.261968905974623	0.0366562539685612
chr3:84441195:84443195	  TES	  Fhdc1	1.730538074091	2.701354731065	0.438104755532248	0.00542717676383774
chr3:86129521:86131521	  TES	  Sh3d19	1.127095191221	1.782026859573	0.450260701968999	0.00436114073480756
chr3:87777243:87779243	  TES	  Ntrk1	1.159893429106	1.884035315944	0.475794243223065	0.0229423982496023
chr3:87986530:87988530	  TES	  Bcan	1.434859849519	1.803603223035	0.227727391206714	0.0286088737484731
chr3:88120048:88122048	  TES	  Iqgap3	1.337413587621	1.9712334591505	0.383129335084542	0.0284170600930086
chr3:89181770:89183770	  TES	  Scamp3	1.389544169399	1.595418085741	0.137940716662325	0.0104751985669338
chr3:90605045:90607045	  TES	  S100a4	1.563259003691	2.23546800005	0.35391276903921	0.047292737310264
chr3:98149367:98151367	  TES	  Notch2	1.662412801713	2.28824451307	0.316824093557897	0.0156756340566439
chr3:102520013:102522013	  TES	  Ngf	1.340359487764	1.874941906071	0.332523986293792	0.0151881716689367
chr4:11050045:11052045	  TES	  Ndufaf6	1.0592073081323	2.08540572568	0.652670714338172	0.000893520677730193
chr4:43426092:43428092	  TES	  Rusc2	1.239311543762	1.622379563286	0.267721431275758	0.0153486041002669
chr4:43426019:43428019	  TES	  Fam166b	1.239311543762	1.622379563286	0.267721431275758	0.0153486041002669
chr4:43653226:43655226	  TES	  Hint2	1.310203986263	1.653512392261	0.231674264437527	0.0295896156460408
chr4:44704110:44706110	  TES	  5730488B01Rik	1.277095927541	1.7143491387905	0.292335778564516	0.0330999477193926
chr4:106482457:106484457	  TES	  Bsnd	1.572402469109	2.493183145625	0.452963368022072	0.0173138835475938
chr4:107216914:107218914	  TES	  Ldlrad1	1.702320347531	2.63476972718	0.429988477798047	0.0325234523242387
chr4:115835183:115837183	  TES	  Mob3c	1.4142642094555	1.982815491363	0.33472943350167	0.0241924095740674
chr4:117871999:117873999	  TES	  B4galt2	1.00365920131933	1.565982961208	0.437666977985453	0.0172984117330468
chr4:118539940:118541940	  TES	  Tmem125	1.3723491643845	1.936581854844	0.341036236283375	0.0235185551518227
chr4:120696472:120698472	  TES	  Kcnq4	1.282264112679	1.7289621590265	0.296688462467816	0.00144046720657921
chr4:126149601:126151601	  TES	  Sh3d21	1.4696971099075	2.0179586128015	0.314401160254512	0.0385939879059695
chr4:126321120:126323120	  TES	  Tekt2	1.30428344119	1.653534704086	0.236154655724049	0.00991761753032784
