location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:9547045:9549045	  TSS	  Adhfe1	1.354217223362	1.620190744136	0.178841318124716	0.00814396990047601
chr1:15804645:15806645	  TSS	  Terf1	1.252515986429	1.498705877474	0.178967675617222	0.0138766842328079
chr1:22804724:22806724	  TSS	  Rims1	1.231948632385	1.7125678636535	0.326450357411899	0.0116071901537418
chr1:59684005:59686005	  TSS	  Nop58	1.15459788898	1.550604399343	0.292774046563809	0.00681089358622928
chr1:60342371:60344371	  TSS	  Cyp20a1	1.222432059643	1.627707426875	0.28438984768926	0.0273956876343406
chr1:63272268:63274268	  TSS	  Zdbf2	1.277535425025	1.645922901402	0.252021705284396	0.00338047758174824
chr1:78487897:78489897	  TSS	  Farsb	1.210827413118	1.674332330544	0.321302776003449	0.0254611416320663
chr1:93802964:93804964	  TSS	  Ing5	1.623520470638	1.967743571552	0.191700246414679	0.0454532033505979
chr1:131278563:131280563	  TSS	  Ikbke	1.348152372146	1.85773758533	0.317905617437472	0.0362946679734248
chr1:134454554:134456554	  TSS	  Klhl12	1.269515505307	1.466546295421	0.14402510210959	0.0224012411993032
chr1:166408828:166410828	  TSS	  Pogk	1.257289950867	1.553878380264	0.211007235755018	0.0179820700823464
chr1:175879777:175881777	  TSS	  Exo1	1.39426321415085	1.932554122969	0.323607132145204	0.0456581356643884
chr2:26915530:26917530	  TSS	  Surf1	1.458460124752	1.776471410245	0.196610829040804	0.0140720566105053
chr2:33886946:33888946	  TSS	  Mvb12b	1.291775553903	1.842007506173	0.351161482286305	0.0156799545898041
chr2:60672693:60674693	  TSS	  Itgb6	1.295109886037	2.11530686503	0.480995162093541	0.00864359462038709
chr2:74710992:74712992	  TSS	  Hoxd3	1.323158277445	1.623222843873	0.203683470720701	0.0227129795070299
chr2:93402546:93404546	  TSS	  Gm13807	1.115028250806	2.18730841298	0.64940693293498	0.0186099993967877
chr2:122636886:122638886	  TSS	  AA467197	1.239734360187	1.388940527623	0.113521963577859	0.0399060322575023
chr2:127007710:127009710	  TSS	  Ap4e1	1.3516623024515	1.890650269365	0.332471317909694	0.0197208028083559
chr2:130641844:130643844	  TSS	  Lzts3	1.2446306299785	1.501276955303	0.186930053072554	0.0385394150414337
chr2:154557853:154559853	  TSS	  Necab3	1.354325939922	2.13551104064	0.447691456689303	0.0241182292717519
chr2:167931326:167933326	  TSS	  Ptpn1	1.378211889525	1.728676519287	0.225604903457739	0.034194380359633
chr2:178406658:178408658	  TSS	  Sycp2	1.7015827279	3.5660329237	0.707891508839939	0.00259556877816189
chr2:178413463:178415463	  TSS	  Ppp1r3d	1.173832555989	1.599432268718	0.30693045174578	0.0143843835738557
chr2:178413533:178415533	  TSS	  Fam217b	1.173832555989	1.599432268718	0.30693045174578	0.0143843835738557
chr3:10300183:10302183	  TSS	  Fabp12	1.26208529193985	1.85669053481	0.381306817739319	0.0358610396837303
chr3:31148919:31150919	  TSS	  Cldn11	1.179269613995	1.706349671079	0.365315036401611	0.0126989539431993
chr3:33799182:33801182	  TSS	  Ttc14	1.1664172649595	1.360065820768	0.153294955269997	0.0472870805159687
chr3:90051475:90053475	  TSS	  Ubap2l	1.829946076014	1.976926858749	0.0772186438863374	0.0345422057990773
chr3:90051515:90053515	  TSS	  Ubap2l	1.829946076014	1.976926858749	0.0772186438863374	0.0345422057990773
chr3:90051801:90053801	  TSS	  4933434E20Rik	1.829946076014	1.976926858749	0.0772186438863374	0.0345422057990773
chr3:108839502:108841502	  TSS	  Stxbp3a	1.1434082460199	1.447463068871	0.234712408218471	0.0376203644210725
chr4:16012877:16014877	  TSS	  Osgin2	1.27777042705	1.829227553497	0.35497746049382	0.0103206058744977
chr4:24897082:24899082	  TSS	  Ndufaf4	1.103983734373	1.709347330983	0.43035361466312	0.0210750271431992
