location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:4491927:4496354	  gene	  Sox17	1.276471054032	1.6184873430055	0.236284078778815	0.00658077494350021
chr1:13565692:13588910	  gene	  Tram1	1.6539836788735	2.932347999005	0.557467017179548	5.58927619735173e-05
chr1:19209913:19237845	  gene	  Tfap2b	1.1821494806575	1.327315975484	0.115695152902965	0.0180935479176541
chr1:19213053:19237845	  gene	  Tfap2b	1.1821494806575	1.327315975484	0.115695152902965	0.0180935479176541
chr1:20891621:20937756	  gene	  Paqr8	1.546251362346	2.09109051816	0.299580943289392	0.00983555546189803
chr1:21002396:21078225	  gene	  Tram2	1.534158549288	2.54994989093	0.497436028700442	0.00394452197690845
chr1:24178609:24251738	  gene	  Col9a1	1.829198361479	3.461663207005	0.61708847392647	0.00328977791353362
chr1:24178609:24251738	  gene	  Col9a1	1.218820062227	2.08291032661	0.523416610456414	0.0113956411301597
chr1:24196202:24251738	  gene	  Col9a1	1.829198361479	3.461663207005	0.61708847392647	0.00328977791353362
chr1:24196202:24251738	  gene	  Col9a1	1.218820062227	2.08291032661	0.523416610456414	0.0113956411301597
chr1:32173805:32656738	  gene	  Khdrbs2	1.596224237726	2.0166634556535	0.232744139098451	0.00865507212634955
chr1:33720895:33741564	  gene	  Rab23	1.767548129228	2.828257609535	0.461598918927543	0.0414638964794217
chr1:33720895:33741564	  gene	  Rab23	1.5907300793535	2.40133181949	0.40610679928151	0.00189559099593545
chr1:33721418:33741564	  gene	  Rab23	1.767548129228	2.828257609535	0.461598918927543	0.0414638964794217
chr1:33721418:33741564	  gene	  Rab23	1.5907300793535	2.40133181949	0.40610679928151	0.00189559099593545
chr1:33909224:34307662	  gene	  Dst	1.5151929065535	2.04020308951	0.295331481240226	0.0160476671067745
chr1:33909224:34307662	  gene	  Dst	1.3108775118825	2.0495382152835	0.439624596105523	0.0288654380008888
chr1:33909224:34307662	  gene	  Dst	1.33967103881465	1.847120088056	0.318470228539674	0.00832622691444952
chr1:33909224:34307662	  gene	  Dst	1.603634728156	2.28219881862	0.349250209663248	0.000868030283892491
