location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:20891621:20937756	  gene	  Paqr8	3.06815338813	2.18750981164	-0.335121769800066	0.0257113111021169
chr1:24178609:24251738	  gene	  Col9a1	2.416449880925	1.5536258478655	-0.434663765631676	0.044342048894969
chr1:24196202:24251738	  gene	  Col9a1	2.416449880925	1.5536258478655	-0.434663765631676	0.044342048894969
chr1:33746483:33756750	  gene	  Bag2	2.24896872214	1.512149702256	-0.391808465856709	0.00297548753143405
chr1:33909224:34307662	  gene	  Dst	3.30639585271	2.11252884914	-0.44062874804753	0.0238901774514744
chr1:33909224:34307662	  gene	  Dst	3.07505920992	2.09319800848	-0.379958334095441	0.0122947672466796
chr1:33909224:34307662	  gene	  Dst	5.16530984316	1.934231651934	-0.910221651203468	0.0323608720916459
chr1:34012824:34307662	  gene	  Dst	3.30639585271	2.11252884914	-0.44062874804753	0.0238901774514744
chr1:34012824:34307662	  gene	  Dst	3.07505920992	2.09319800848	-0.379958334095441	0.0122947672466796
chr1:34012824:34307662	  gene	  Dst	5.16530984316	1.934231651934	-0.910221651203468	0.0323608720916459
chr1:34161329:34182903	  gene	  Dst	3.07505920992	2.09319800848	-0.379958334095441	0.0122947672466796
chr1:36563695:36682183	  gene	  Fam178b	2.69280180516	1.760157553358	-0.418887385539668	0.0200106967627788
chr1:36563695:36682183	  gene	  Fam178b	3.83273452593	1.878301201285	-0.684440937860525	0.0276148706147233
chr1:36563695:36592332	  gene	  Fam178b	2.69280180516	1.760157553358	-0.418887385539668	0.0200106967627788
chr1:36563695:36592332	  gene	  Fam178b	3.83273452593	1.878301201285	-0.684440937860525	0.0276148706147233
chr1:36793188:36938527	  gene	  Tmem131	2.55177365043	1.695717232211	-0.403088054511242	0.00489735268208979
chr1:37440339:37535404	  gene	  Mgat4a	2.7159885674	2.361774631283	-0.139515736460051	0.0308236237071992
chr1:37440339:37540016	  gene	  Mgat4a	2.7159885674	2.361774631283	-0.139515736460051	0.0308236237071992
chr1:38176990:38626244	  gene	  Aff3	4.6772388328	2.26046468006	-0.696707245635439	0.0128278340403323
chr1:38176990:38626244	  gene	  Aff3	2.74191000337	2.11896539007	-0.256309640909823	0.00663731771169523
chr1:38864872:38897160	  gene	  Chst10	2.942848250055	2.280929120095	-0.25342547473113	0.029722697719218
chr1:39901912:40025310	  gene	  Map4k4	3.32632261566	2.34941194004	-0.344241143074217	0.0129391310408192
chr1:42953871:43034449	  gene	  Gpr45	4.19634825519	1.869777560328	-0.767069713229589	0.0326034284141281
chr1:51750757:51914978	  gene	  Myo1b	3.19864133032	1.839459172301	-0.539561351470422	0.0208166759678616
chr1:58211396:58267596	  gene	  Aox4	2.715996569815	2.0191750571675	-0.294317320486038	0.00571958331277238
chr1:58279325:58378264	  gene	  Aox2	2.62488366024	1.806627385238	-0.369289962996691	0.00182896250893857
chr1:59121934:59162389	  gene	  Mpp4	3.15125990799	2.34443477945	-0.293620797524993	0.0399923335046778
chr1:59121934:59160636	  gene	  Mpp4	3.15125990799	2.34443477945	-0.293620797524993	0.0399923335046778
chr1:62704316:62817692	  gene	  Nrp2	2.97835520838	2.41476284291	-0.209004275489646	0.0014602963276381
chr1:66831838:66862309	  gene	  Acadl	4.55180953513	1.913973901562	-0.815936895937102	0.0316810287406824
chr1:69532209:69684960	  gene	  Ikzf2	6.12567901174	1.693192106658	-1.133792036718	0.0395419516065182
chr1:71586472:71652234	  gene	  Fn1	2.52958597152	1.824798281126	-0.323714054388161	0.0429718972801964
chr1:73911230:74123449	  gene	  Tns1	2.63087880026	2.09701193995	-0.225837224100609	0.0167854818200528
chr1:73911230:74123449	  gene	  Tns1	3.35631762652	2.2889836806555	-0.378131790594723	0.0146172243017155
chr1:73911230:74123449	  gene	  Tns1	1.9415401325835	1.727258613945	-0.116812904409792	0.0248099323951995
chr1:73911230:74123449	  gene	  Tns1	2.80223190861	2.025649944795	-0.321707111895165	0.0123158632654431
chr1:73911230:74123447	  gene	  Tns1	2.63087880026	2.09701193995	-0.225837224100609	0.0167854818200528
chr1:73911230:74123447	  gene	  Tns1	3.35631762652	2.2889836806555	-0.378131790594723	0.0146172243017155
chr1:73911230:74123447	  gene	  Tns1	1.9415401325835	1.727258613945	-0.116812904409792	0.0248099323951995
chr1:73911230:74123447	  gene	  Tns1	2.80223190861	2.025649944795	-0.321707111895165	0.0123158632654431
chr1:74286033:74352692	  gene	  Pnkd	3.226373913765	1.955328124073	-0.490590072686745	0.0257419037508859
chr1:75309564:75316637	  gene	  Dnpep	2.68979231864	2.0221536445545	-0.283381294819803	0.0435663280335814
chr1:75309564:75316017	  gene	  Dnpep	2.68979231864	2.0221536445545	-0.283381294819803	0.0435663280335814
chr1:75376296:75431306	  gene	  Speg	2.036804250151	1.5250455009085	-0.287355607344343	0.0266878330614374
chr1:75386609:75431304	  gene	  Speg	2.036804250151	1.5250455009085	-0.287355607344343	0.0266878330614374
chr1:78102266:78196136	  gene	  Pax3	2.34514870556	1.578627507819	-0.390705869069379	0.0427272141076463
chr1:78311345:78419286	  gene	  Sgpp2	2.93321339771	1.618384060388	-0.57774412145464	0.0200046991943074
chr1:83160761:83209572	  gene	  Daw1	4.17313178271	2.36361419784	-0.553644761553897	0.00125350045468281
chr1:84370838:84695221	  gene	  Dner	3.29381697259	1.907175763265	-0.533221744289573	0.0473997005282481
chr1:85895509:85907698	  gene	  Itm2c	2.57639495494	2.00860909962	-0.247670819289815	0.0201918387598758
