location	feature	gene	median_WT	median_KO	rratio	pvals
chr1:6358330:6360330	  TSS	  Fam150a	2.04414198825	1.534629017291	-0.284741868183308	0.0320029852440498
chr1:9544407:9546407	  TSS	  Rrs1	3.04843815483	1.5520922834245	-0.650510149422349	0.0466269304880933
chr1:9600266:9602266	  TSS	  3110035E14Rik	2.29838579139	1.834012986442	-0.224747334375907	0.037702961722633
chr1:12990135:12992135	  TSS	  Slco5a1	2.18117538902	1.7392505411465	-0.225447365028897	0.0217606063339534
chr1:15891722:15893722	  TSS	  Sbspon	2.70669050644	1.540844295896	-0.548951928494064	0.00847164950901698
chr1:20819213:20821213	  TSS	  Mcm3	1.851681732194	1.324571865172	-0.331906663535381	0.0384813358459704
chr1:33668794:33670794	  TSS	  Prim2	2.0208782881905	1.412440469935	-0.354431301675986	0.0200702452907737
chr1:33837914:33839914	  TSS	  Gm15455	11.0689259218	2.84375546265	-1.18239902601998	0.00196711700538332
chr1:34010824:34012824	  TSS	  Dst	2.51831156544	1.903449134381	-0.278107510921561	0.00844496498105345
chr1:36067399:36069399	  TSS	  Hs6st1	2.52361857238	1.677921182767	-0.402565458806857	0.0197020672966274
chr1:38128662:38130662	  TSS	  Rev1	2.21171175432	1.426045658203	-0.431950791117814	0.000413075498557036
chr1:39576347:39578347	  TSS	  Rnf149	2.23515956205	1.622614663832	-0.317563891690916	0.0454191995202372
chr1:42696145:42698145	  TSS	  Pou3f3	2.290004397155	1.858655775197	-0.207945989325732	0.00587976083907117
chr1:50926522:50928522	  TSS	  Tmeff2	1.9845997221065	1.5118868254665	-0.270393087579943	0.0369386444114487
chr1:52118621:52120621	  TSS	  Stat1	1.9717553923375	1.329882823383	-0.38882065630224	0.0112821348673921
chr1:52726318:52728318	  TSS	  Mfsd6	2.65353807797	1.473650987358	-0.571763043532018	0.00243250400174242
chr1:56970334:56972334	  TSS	  Satb2	2.05953366286	1.681441472769	-0.202135633829829	0.0211402290592057
chr1:56970468:56972468	  TSS	  9130024F11Rik	2.05953366286	1.681441472769	-0.202135633829829	0.0211402290592057
